family,taxon,author,native to
Betulaceae,Alnus alnobetula,(Ehrh.) K.Koch,Monaco
Cupressaceae,Juniperus communis,L.,Monaco
Cupressaceae,Juniperus oxycedrus,L.,Monaco
Cupressaceae,Juniperus phoenicea,L.,Monaco
Fabaceae,Ceratonia siliqua,L.,Monaco
Pinaceae,Pinus halepensis,Mill.,Monaco
Pinaceae,Pinus pinaster,Aiton,Monaco
Pinaceae,Pinus sylvestris,L.,Monaco
Rosaceae,Sorbus aucuparia,L.,Monaco
Salicaceae,Populus nigra,L.,Monaco
Sapindaceae,Acer campestre,L.,Monaco
Sapindaceae,Acer platanoides,L.,Monaco
Taxaceae,Taxus baccata,L.,Monaco
