family,taxon,author,native to
Amaranthaceae,Haloxylon ammodendron,(C.A.Mey.) Bunge ex Fenzl,Mongolia
Betulaceae,Alnus alnobetula,(Ehrh.) K.Koch,Mongolia
Betulaceae,Betula dahurica,Pall.,Mongolia
Betulaceae,Betula microphylla,Bunge,Mongolia
Betulaceae,Betula pendula,Roth,Mongolia
Betulaceae,Betula tianschanica,Rupr.,Mongolia
Betulaceae,Corylus heterophylla,Fisch. ex Trautv.,Mongolia
Cupressaceae,Juniperus communis,L.,Mongolia
Cupressaceae,Juniperus pseudosabina,Fisch. & C.A.Mey.,Mongolia
Cupressaceae,Juniperus rigida,Siebold & Zucc.,Mongolia
Elaeagnaceae,Elaeagnus angustifolia,L.,Mongolia
Elaeagnaceae,Hippophae rhamnoides,L.,Mongolia
Fabaceae,Caragana arborescens,Lam.,Mongolia
Fabaceae,Caragana gobica,Sanchir,Mongolia
Fagaceae,Quercus dentata,Thunb.,Mongolia
Fagaceae,Quercus mongolica,Fisch. ex Ledeb.,Mongolia
Fagaceae,Quercus wutaishanica,Mayr,Mongolia
Juglandaceae,Juglans mandshurica,Maxim.,Mongolia
Moraceae,Morus mongolica,(Bureau) C.K. Schneid.,Mongolia
Pinaceae,Larix gmelinii,(Rupr.) Kuzen.,Mongolia
Pinaceae,Larix sibirica,Ledeb.,Mongolia
Pinaceae,Picea obovata,Ledeb.,Mongolia
Pinaceae,Pinus sibirica,Du Tour,Mongolia
Pinaceae,Pinus sylvestris,L.,Mongolia
Rhamnaceae,Rhamnus davurica,Pall.,Mongolia
Rhamnaceae,Rhamnus erythroxylum,Pall.,Mongolia
Rhamnaceae,Rhamnus ussuriensis,J.J. Vassil.,Mongolia
Rosaceae,Crataegus dahurica,Koehne ex C.K.Schneid.,Mongolia
Rosaceae,Crataegus maximowiczii,C.K.Schneid.,Mongolia
Rosaceae,Crataegus sanguinea,Pall.,Mongolia
Rosaceae,Malus baccata,(L.) Borkh.,Mongolia
Rosaceae,Prunus padus,L.,Mongolia
Rosaceae,Prunus sibirica,L.,Mongolia
Rosaceae,Sorbus aucuparia,L.,Mongolia
Salicaceae,Populus euphratica,Olivier,Mongolia
Salicaceae,Populus laurifolia,Ledeb.,Mongolia
Salicaceae,Populus simonii,Carrière,Mongolia
Salicaceae,Populus suaveolens,Fisch. ex Camuzet,Mongolia
Salicaceae,Populus tremula,L.,Mongolia
Salicaceae,Salix bebbiana,Sarg.,Mongolia
Salicaceae,Salix glauca,L.,Mongolia
Salicaceae,Salix miyabeana,Seemen,Mongolia
Salicaceae,Salix nipponica,Franch. & Sav.,Mongolia
Salicaceae,Salix pentandra,L.,Mongolia
Salicaceae,Salix pseudopentandra,(Flod.) Flod.,Mongolia
Salicaceae,Salix pyrolifolia,Ledeb.,Mongolia
Salicaceae,Salix rorida,Laksch.,Mongolia
Salicaceae,Salix sajanensis,Nasarow,Mongolia
Salicaceae,Salix schwerinii,E.L.Wolf,Mongolia
Salicaceae,Salix taraikensis,Kimura,Mongolia
Salicaceae,Salix triandra,L.,Mongolia
Salicaceae,Salix turanica,Nasarow,Mongolia
Salicaceae,Salix viminalis,L.,Mongolia
Sapindaceae,Acer pictum,Thunb.,Mongolia
Sapindaceae,Acer tataricum,L.,Mongolia
Tamaricaceae,Tamarix androssowii,Litv.,Mongolia
Tamaricaceae,Tamarix arceuthoides,Bunge,Mongolia
Tamaricaceae,Tamarix chinensis,Lour.,Mongolia
Tamaricaceae,Tamarix elongata,Ledeb.,Mongolia
Tamaricaceae,Tamarix florida,Bunge,Mongolia
Tamaricaceae,Tamarix hispida,Willd.,Mongolia
Tamaricaceae,Tamarix hohenackeri,Bunge,Mongolia
Tamaricaceae,Tamarix karelinii,Bunge,Mongolia
Tamaricaceae,Tamarix leptostachya,Bunge,Mongolia
Tamaricaceae,Tamarix ramosissima,Ledeb.,Mongolia
Ulmaceae,Ulmus davidiana,Planch.,Mongolia
Ulmaceae,Ulmus macrocarpa,Hance,Mongolia
Ulmaceae,Ulmus pumila,L.,Mongolia
Viburnaceae,Sambucus racemosa,L.,Mongolia
Viburnaceae,Sambucus williamsii,Hance,Mongolia
