family,taxon,author,native to
Anacardiaceae,Cotinus coggygria,Scop.,Montenegro
Anacardiaceae,Pistacia terebinthus,L.,Montenegro
Anacardiaceae,Rhus coriaria,L.,Montenegro
Aquifoliaceae,Ilex aquifolium,L.,Montenegro
Betulaceae,Alnus alnobetula,(Ehrh.) K.Koch,Montenegro
Betulaceae,Alnus glutinosa,(L.) Gaertn.,Montenegro
Betulaceae,Alnus incana,(L.) Moench,Montenegro
Betulaceae,Alnus rohlenae,"Vít, Douda & Mandák",Montenegro
Betulaceae,Betula pendula,Roth,Montenegro
Betulaceae,Betula pubescens,Ehrh.,Montenegro
Betulaceae,Carpinus betulus,L.,Montenegro
Betulaceae,Carpinus orientalis,Mill.,Montenegro
Betulaceae,Corylus avellana,L.,Montenegro
Betulaceae,Corylus colurna,L.,Montenegro
Betulaceae,Ostrya carpinifolia,Scop.,Montenegro
Cannabaceae,Celtis australis,L.,Montenegro
Celastraceae,Euonymus europaeus,L.,Montenegro
Celastraceae,Euonymus latifolius,(L.) Mill.,Montenegro
Cornaceae,Cornus mas,L.,Montenegro
Cupressaceae,Juniperus communis,L.,Montenegro
Cupressaceae,Juniperus deltoides,R.P.Adams,Montenegro
Cupressaceae,Juniperus oxycedrus,L.,Montenegro
Cupressaceae,Juniperus phoenicea,L.,Montenegro
Ericaceae,Erica arborea,L.,Montenegro
Euphorbiaceae,Euphorbia dendroides,L.,Montenegro
Fabaceae,Laburnum anagyroides,Medik.,Montenegro
Fagaceae,Castanea sativa,Mill.,Montenegro
Fagaceae,Quercus cerris,L.,Montenegro
Fagaceae,Quercus coccifera,L.,Montenegro
Fagaceae,Quercus frainetto,Ten.,Montenegro
Fagaceae,Quercus ilex,L.,Montenegro
Fagaceae,Quercus petraea,(Matt.) Liebl.,Montenegro
Fagaceae,Quercus pubescens,Willd.,Montenegro
Fagaceae,Quercus robur,L.,Montenegro
Fagaceae,Quercus trojana,Webb,Montenegro
Lamiaceae,Vitex agnus-castus,L.,Montenegro
Lauraceae,Laurus nobilis,L.,Montenegro
Malvaceae,Tilia cordata,Mill.,Montenegro
Malvaceae,Tilia platyphyllos,Scop.,Montenegro
Malvaceae,Tilia tomentosa,Moench,Montenegro
Myrtaceae,Myrtus communis,L.,Montenegro
Oleaceae,Fraxinus angustifolia,Vahl,Montenegro
Oleaceae,Fraxinus excelsior,L.,Montenegro
Oleaceae,Fraxinus ornus,L.,Montenegro
Oleaceae,Phillyrea latifolia,L.,Montenegro
Pinaceae,Abies alba,Mill.,Montenegro
Pinaceae,Picea abies,(L.) H.Karst.,Montenegro
Pinaceae,Pinus halepensis,Mill.,Montenegro
Pinaceae,Pinus heldreichii,Christ,Montenegro
Pinaceae,Pinus mugo,Turra,Montenegro
Pinaceae,Pinus nigra,J.F.Arnold,Montenegro
Pinaceae,Pinus peuce,Griseb.,Montenegro
Pinaceae,Pinus sylvestris,L.,Montenegro
Rhamnaceae,Frangula alnus,Mill.,Montenegro
Rhamnaceae,Rhamnus alaternus,L.,Montenegro
Rhamnaceae,Rhamnus cathartica,L.,Montenegro
Rosaceae,Crataegus monogyna,Jacq.,Montenegro
Rosaceae,Malus sylvestris,(L.) Mill.,Montenegro
Rosaceae,Prunus avium,(L.) L.,Montenegro
Rosaceae,Prunus cocomilia,Ten.,Montenegro
Rosaceae,Prunus mahaleb,L.,Montenegro
Rosaceae,Prunus padus,L.,Montenegro
Rosaceae,Prunus spinosa,L.,Montenegro
Rosaceae,Prunus webbii,(Spach) Vierh.,Montenegro
Rosaceae,Pyrus communis,L.,Montenegro
Rosaceae,Pyrus spinosa,Forssk.,Montenegro
Rosaceae,Sorbus aria,(L.) Crantz,Montenegro
Rosaceae,Sorbus aucuparia,L.,Montenegro
Rosaceae,Sorbus austriaca,(Beck) Hedl.,Montenegro
Rosaceae,Sorbus domestica,L.        ,Montenegro
Rosaceae,Sorbus torminalis,Garsault,Montenegro
Rosaceae,Sorbus umbellata,(Desf.) Fritsch,Montenegro
Salicaceae,Populus alba,L.,Montenegro
Salicaceae,Populus nigra,L.,Montenegro
Salicaceae,Populus tremula,L.,Montenegro
Salicaceae,Salix appendiculata,Vill.,Montenegro
Salicaceae,Salix caprea,L.,Montenegro
Salicaceae,Salix cinerea,L.,Montenegro
Salicaceae,Salix eleagnos,Scop.,Montenegro
Salicaceae,Salix pentandra,L.,Montenegro
Salicaceae,Salix purpurea,L.,Montenegro
Salicaceae,Salix triandra,L.,Montenegro
Salicaceae,Salix viminalis,L.,Montenegro
Sapindaceae,Acer campestre,L.,Montenegro
Sapindaceae,Acer heldreichii,Orph. ex Boiss.,Montenegro
Sapindaceae,Acer hyrcanum,Fisch. & C.A.Mey.,Montenegro
Sapindaceae,Acer monspessulanum,L.,Montenegro
Sapindaceae,Acer opalus,Mill.,Montenegro
Sapindaceae,Acer platanoides,L.,Montenegro
Sapindaceae,Acer pseudoplatanus,L.,Montenegro
Sapindaceae,Acer tataricum,L.,Montenegro
Staphyleaceae,Staphylea pinnata,L.,Montenegro
Tamaricaceae,Tamarix dalmatica,B.R.Baum,Montenegro
Tamaricaceae,Tamarix parviflora,DC.,Montenegro
Taxaceae,Taxus baccata,L.,Montenegro
Ulmaceae,Ulmus glabra,Huds.,Montenegro
Ulmaceae,Ulmus laevis,Pall.,Montenegro
Ulmaceae,Ulmus minor,Mill.,Montenegro
Viburnaceae,Sambucus nigra,L.,Montenegro
Viburnaceae,Viburnum tinus,L.,Montenegro
