family,taxon,author,native to
Acanthaceae,Avicennia germinans,(L.) L.,Montserrat
Acanthaceae,Avicennia schaueriana,Stapf & Leechm. ex Moldenke,Montserrat
Anacardiaceae,Comocladia dodonaea,(L.) Britton,Montserrat
Anacardiaceae,Spondias mombin,L.,Montserrat
Annonaceae,Annona glabra,L.,Montserrat
Annonaceae,Annona montana,Macfad.,Montserrat
Annonaceae,Annona mucosa,Jacq.,Montserrat
Annonaceae,Guatteria caribaea,Urb.,Montserrat
Apocynaceae,Rauvolfia viridis,Roem. & Schult.,Montserrat
Apocynaceae,Tabernaemontana citrifolia,L.,Montserrat
Aquifoliaceae,Ilex dioica,(Vahl) Griseb.,Montserrat
Aquifoliaceae,Ilex nitida,(Vahl) Maxim.,Montserrat
Aquifoliaceae,Ilex sideroxyloides,(Sw.) Griseb.,Montserrat
Araliaceae,Oreopanax capitatus,(Jacq.) Decne. & Planch.,Montserrat
Araliaceae,Sciodaphyllum attenuatum,"(Sw.) Lowry, G.M.Plunkett & M.M.Mora",Montserrat
Arecaceae,Acrocomia aculeata,(Jacq.) Lodd. ex R.Keith,Montserrat
Arecaceae,Prestoea acuminata,(Willd.) H.E.Moore,Montserrat
Arecaceae,Syagrus amara,(Jacq.) Mart.,Montserrat
Asteraceae,Baccharis dioica,Vahl,Montserrat
Bignoniaceae,Crescentia cujete,L.,Montserrat
Bignoniaceae,Tabebuia heterophylla,(DC.) Britton,Montserrat
Bignoniaceae,Tabebuia pallida,(Lindl.) Miers,Montserrat
Bignoniaceae,Tecoma stans,(L.) Juss. ex Kunth,Montserrat
Boraginaceae,Bourreria succulenta,Jacq.,Montserrat
Boraginaceae,Cordia alliodora,(Ruiz & Pav.) Oken,Montserrat
Boraginaceae,Cordia collococca,L.,Montserrat
Boraginaceae,Cordia elliptica,Sw.,Montserrat
Boraginaceae,Cordia sulcata,A.DC.,Montserrat
Boraginaceae,Heliotropium filiflorum,(Griseb.) Feuillet,Montserrat
Boraginaceae,Rochefortia spinosa,(Jacq.) Urb.,Montserrat
Burseraceae,Bursera simaruba,(L.) Sarg.,Montserrat
Burseraceae,Dacryodes excelsa,Vahl,Montserrat
Cactaceae,Consolea rubescens,(Salm-Dyck ex DC.) Lem.,Montserrat
Calophyllaceae,Mammea americana,L.,Montserrat
Calophyllaceae,Marila racemosa,Sw.,Montserrat
Canellaceae,Canella winterana,(L.) Gaertn.,Montserrat
Cannabaceae,Celtis iguanaea,(Jacq.) Sarg.,Montserrat
Cannabaceae,Trema lamarckianum,(Schult.) Blume,Montserrat
Capparaceae,Capparidastrum frondosum,(Jacq.) Cornejo & Iltis,Montserrat
Capparaceae,Cynophalla flexuosa,(L.) J.Presl,Montserrat
Capparaceae,Cynophalla hastata,(Jacq.) J.Presl,Montserrat
Capparaceae,Morisonia americana,L.,Montserrat
Capparaceae,Quadrella cynophallophora,(L.) Hutch.,Montserrat
Capparaceae,Quadrella indica,(L.) Iltis & Cornejo,Montserrat
Celastraceae,Crossopetalum rhacoma,Crantz,Montserrat
Celastraceae,Elaeodendron xylocarpum,(Vent.) DC.,Montserrat
Celastraceae,Gyminda latifolia,(Sw.) Urb.,Montserrat
Celastraceae,Monteverdia laevigata,(Vahl) Biral,Montserrat
Celastraceae,Schaefferia frutescens,Jacq.,Montserrat
Chloranthaceae,Hedyosmum arborescens,Sw.,Montserrat
Chrysobalanaceae,Chrysobalanus icaco,L.,Montserrat
Chrysobalanaceae,Hirtella triandra,Sw.,Montserrat
Clusiaceae,Clusia major,L.,Montserrat
Clusiaceae,Garcinia humilis,(Vahl) C.D.Adams,Montserrat
Combretaceae,Conocarpus erectus,L.,Montserrat
Combretaceae,Laguncularia racemosa,(L.) C.F.Gaertn.,Montserrat
Combretaceae,Terminalia buceras,(L.) C.Wright,Montserrat
Combretaceae,Terminalia tetraphylla,(Aubl.) Gere & Boatwr.,Montserrat
Cunoniaceae,Weinmannia pinnata,L.,Montserrat
Ebenaceae,Diospyros revoluta,Poir.,Montserrat
Elaeocarpaceae,Sloanea berteroana,Choisy ex DC.,Montserrat
Elaeocarpaceae,Sloanea dentata,L.,Montserrat
Erythroxylaceae,Erythroxylum havanense,Jacq.,Montserrat
Euphorbiaceae,Adelia ricinella,L.,Montserrat
Euphorbiaceae,Croton astroites,Aiton,Montserrat
Euphorbiaceae,Croton corylifolius,Lam.,Montserrat
Euphorbiaceae,Croton flavens,L.,Montserrat
Euphorbiaceae,Hippomane mancinella,L.,Montserrat
Euphorbiaceae,Jatropha curcas,L.,Montserrat
Euphorbiaceae,Jatropha multifida,L.,Montserrat
Euphorbiaceae,Sapium glandulosum,(L.) Morong,Montserrat
Fabaceae,Acaciella glauca,(L.) L.Rico,Montserrat
Fabaceae,Calliandra purpurea,(L.) Benth.,Montserrat
Fabaceae,Dalbergia ecastaphyllum,(L.) Taub.,Montserrat
Fabaceae,Erythrina corallodendron,L.,Montserrat
Fabaceae,Hymenaea courbaril,L.,Montserrat
Fabaceae,Inga laurina,(Sw.) Willd.,Montserrat
