family,taxon,author,native to
Anacardiaceae,Pistacia atlantica,Desf.,Morocco
Anacardiaceae,Pistacia lentiscus,L.,Morocco
Anacardiaceae,Pistacia terebinthus,L.,Morocco
Anacardiaceae,Searsia pentaphylla,(Jacq.) F.A.Barkley,Morocco
Anacardiaceae,Searsia tripartita,(Ucria) Moffett,Morocco
Apocynaceae,Calotropis procera,(Aiton) W.T.Aiton,Morocco
Arecaceae,Chamaerops humilis,L.,Morocco
Asparagaceae,Dracaena ajgal,"(Benabid & Cuzin) Rivas Mart., Molero Mesa, MarfÃ­l & G.BenÃ­tez",Morocco
Asparagaceae,Dracaena draco,(L.) L.,Morocco
Betulaceae,Alnus glutinosa,(L.) Gaertn.,Morocco
Betulaceae,Alnus lusitanica,"Vít, Douda & Mandák",Morocco
Betulaceae,Betula pendula,Roth,Morocco
Buxaceae,Buxus sempervirens,L.,Morocco
Cannabaceae,Celtis australis,L.,Morocco
Capparaceae,Boscia senegalensis,Lam.,Morocco
Capparaceae,Cadaba farinosa,Forssk.,Morocco
Capparaceae,Capparis decidua,(Forssk.) Edgew.,Morocco
Capparaceae,Maerua crassifolia,Forssk.,Morocco
Caprifoliaceae,Lonicera arborea,Boiss.,Morocco
Celastraceae,Euonymus latifolius,(L.) Mill.,Morocco
Celastraceae,Gymnosporia senegalensis,(Lam.) Loes.,Morocco
Cupressaceae,Cupressus atlantica,Gaussen,Morocco
Cupressaceae,Cupressus dupreziana,A.Camus,Morocco
Cupressaceae,Juniperus oxycedrus,L.,Morocco
Cupressaceae,Juniperus phoenicea,L.,Morocco
Cupressaceae,Juniperus thurifera,L.,Morocco
Cupressaceae,Juniperus turbinata,Guss.,Morocco
Cupressaceae,Tetraclinis articulata,(Vahl) Mast.,Morocco
Ericaceae,Arbutus unedo,L.,Morocco
Ericaceae,Erica arborea,L.,Morocco
Fabaceae,Anagyris foetida,L.,Morocco
Fabaceae,Argyrocytisus battandieri,(Maire) J.Raynal,Morocco
Fabaceae,Ceratonia siliqua,L.,Morocco
Fabaceae,Cytisus arboreus,(Desf.) DC.,Morocco
Fabaceae,Tamarindus indica,L.,Morocco
Fabaceae,Vachellia flava,(Forssk.) Kyal. & Boatwr.,Morocco
Fabaceae,Vachellia gummifera,(Willd.) Kyal. & Boatwr.,Morocco
Fabaceae,Vachellia tortilis,(Forssk.) Galasso & Banfi,Morocco
Fagaceae,Castanea sativa,Mill.,Morocco
Fagaceae,Quercus canariensis,Willd.,Morocco
Fagaceae,Quercus coccifera,L.,Morocco
Fagaceae,Quercus estremadurensis,O.Schwarz,Morocco
Fagaceae,Quercus faginea,Lam.,Morocco
Fagaceae,Quercus ilex,L.,Morocco
Fagaceae,Quercus lusitanica,Lam.,Morocco
Fagaceae,Quercus pseudococcifera,Desf.,Morocco
Fagaceae,Quercus pyrenaica,Willd.,Morocco
Fagaceae,Quercus rotundifolia,Lam.,Morocco
Fagaceae,Quercus suber,L.,Morocco
Lamiaceae,Vitex agnus-castus,L.,Morocco
Lauraceae,Laurus nobilis,L.,Morocco
Malvaceae,Grewia tenax,(Forssk.) Fiori,Morocco
Moraceae,Ficus carica,L.,Morocco
Myrtaceae,Myrtus communis,L.,Morocco
Oleaceae,Fraxinus angustifolia,Vahl,Morocco
Oleaceae,Fraxinus dimorpha,Coss. & Durieu,Morocco
Oleaceae,Olea europaea,L.,Morocco
Oleaceae,Phillyrea latifolia,L.,Morocco
Pinaceae,Abies pinsapo,Boiss.,Morocco
Pinaceae,Cedrus atlantica,(Endl.) Manetti ex Carrière,Morocco
Pinaceae,Pinus halepensis,Mill.,Morocco
Pinaceae,Pinus nigra,J.F.Arnold,Morocco
Pinaceae,Pinus pinaster,Aiton,Morocco
