family,taxon,author,native to
Acanthaceae,Anisotes pubinervius,(T.Anderson) Heine,Mozambique
Acanthaceae,Avicennia marina,(Forssk.) Vierh.,Mozambique
Achariaceae,Caloncoba welwitschii,(Oliv.) Gilg,Mozambique
Achariaceae,Grandidiera boivinii,Jaub.,Mozambique
Achariaceae,Kiggelaria africana,L.,Mozambique
Achariaceae,Rawsonia lucida,Harv. & Sond.,Mozambique
Achariaceae,Xylotheca kraussiana,Hochst.,Mozambique
Achariaceae,Xylotheca tettensis,(Klotzsch) Gilg,Mozambique
Anacardiaceae,Harpephyllum caffrum,Bernh.,Mozambique
Anacardiaceae,Lannea antiscorbutica,(Hiern) Engl.,Mozambique
Anacardiaceae,Lannea discolor,(Sond.) Engl.,Mozambique
Anacardiaceae,Lannea schimperi,(Hochst. ex A.Rich.) Engl.,Mozambique
Anacardiaceae,Lannea schweinfurthii,Engl.,Mozambique
Anacardiaceae,Lannea welwitschii,(Hiern) Engl.,Mozambique
Anacardiaceae,Ozoroa engleri,R.Fern. & A.Fern.,Mozambique
Anacardiaceae,Ozoroa gomesiana,R.Fern. & A.Fern.,Mozambique
Anacardiaceae,Ozoroa insignis,Delile,Mozambique
Anacardiaceae,Ozoroa obovata,(Oliv.) R.Fern. & A.Fern.,Mozambique
Anacardiaceae,Ozoroa sphaerocarpa,R.Fern. & A.Fern.,Mozambique
Anacardiaceae,Sclerocarya birrea,(A.Rich.) Hochst.,Mozambique
Anacardiaceae,Searsia acuminatissima,(R.Fern. & A.Fern.) Moffett,Mozambique
Anacardiaceae,Searsia chirindensis,(Baker f.) Moffett,Mozambique
Anacardiaceae,Searsia crenulata,(A.Rich.) Moffett,Mozambique
Anacardiaceae,Searsia dentata,(Thunb.) F.A.Barkley,Mozambique
Anacardiaceae,Searsia gueinzii,(Sond.) F.A.Barkley,Mozambique
Anacardiaceae,Searsia leptodictya,"(Diels) T.S.Yi, A.J.Mill. & J.Wen",Mozambique
Anacardiaceae,Searsia longipes,(Engl.) Moffett,Mozambique
Anacardiaceae,Searsia natalensis,(Bernh. ex C.Krauss) F.A.Barkley,Mozambique
Anacardiaceae,Searsia nebulosa,(Schönland) Moffett,Mozambique
Anacardiaceae,Searsia pentheri,(Zahlbr.) Moffett,Mozambique
Anacardiaceae,Searsia pyroides,(Burch.) Moffett,Mozambique
Anacardiaceae,Searsia quartiniana,(A.Rich.) A.J.Mill.,Mozambique
Anacardiaceae,Searsia refracta,(Eckl. & Zeyh.) Moffett,Mozambique
Anacardiaceae,Searsia rehmanniana,(Engl.) Moffett,Mozambique
Anacardiaceae,Searsia tenuinervis,(Engl.) Moffett,Mozambique
Anacardiaceae,Searsia tumulicola,(S.Moore) Moffett,Mozambique
