family,taxon,author,native to
Acanthaceae,Avicennia alba,Blume,Myanmar
Acanthaceae,Avicennia marina,(Forssk.) Vierh.,Myanmar
Acanthaceae,Avicennia officinalis,L.,Myanmar
Achariaceae,Gynocardia odorata,R.Br.,Myanmar
Achariaceae,Hydnocarpus castaneus,Hook.f. & Thomson,Myanmar
Achariaceae,Hydnocarpus dawnensis,C.E.Parkinson & C.E.C.Fisch.,Myanmar
Achariaceae,Hydnocarpus kurzii,(King) Warb.,Myanmar
Achariaceae,Hydnocarpus macrocarpus,(Bedd.) Warb.,Myanmar
Achariaceae,Hydnocarpus verrucosus,C.E.Parkinson & C.E.C.Fisch.,Myanmar
Actinidiaceae,Saurauia armata,Kurz,Myanmar
Actinidiaceae,Saurauia cerea,Griff. ex Dyer,Myanmar
Actinidiaceae,Saurauia macrotricha,Kurz,Myanmar
Actinidiaceae,Saurauia napaulensis,DC.,Myanmar
Actinidiaceae,Saurauia roxburghii,Wall.,Myanmar
Actinidiaceae,Saurauia subspinosa,J.Anthony,Myanmar
Altingiaceae,Liquidambar excelsa,(Noronha) Oken,Myanmar
Anacardiaceae,Allospondias laxiflora,(Kurz) Lace,Myanmar
Anacardiaceae,Bouea oppositifolia,(Roxb.) Meisn.,Myanmar
Anacardiaceae,Buchanania arborescens,(Blume) Blume,Myanmar
Anacardiaceae,Buchanania glabra,Wall. ex Engl.,Myanmar
Anacardiaceae,Buchanania lancifolia,Roxb.,Myanmar
Anacardiaceae,Buchanania lanzan,Spreng.,Myanmar
Anacardiaceae,Buchanania sessifolia,Blume,Myanmar
Anacardiaceae,Dracontomelon dao,(Blanco) Merr. & Rolfe,Myanmar
Anacardiaceae,Drimycarpus racemosus,(Roxb.) Hook.f. ex Marchand.,Myanmar
Anacardiaceae,Gluta glabra,(Wall.) Ding Hou,Myanmar
Anacardiaceae,Gluta renghas,L.,Myanmar
Anacardiaceae,Gluta tavoyana,Hook.f.,Myanmar
Anacardiaceae,Gluta usitata,(Wall.) Ding Hou,Myanmar
Anacardiaceae,Gluta velutina,Blume,Myanmar
Anacardiaceae,Holigarna albicans,Hook.f.,Myanmar
Anacardiaceae,Holigarna caustica,(Dennst.) Oken,Myanmar
Anacardiaceae,Holigarna helferi,Hook.f.,Myanmar
Anacardiaceae,Holigarna kurzii,King,Myanmar
Anacardiaceae,Lannea coromandelica,(Houtt.) Merr.,Myanmar
Anacardiaceae,Mangifera caloneura,Kurz,Myanmar
Anacardiaceae,Mangifera mariana,Buch.-Ham.,Myanmar
Anacardiaceae,Mangifera sylvatica,Roxb.,Myanmar
Anacardiaceae,Parishia insignis,Hook.f.,Myanmar
Anacardiaceae,Pistacia weinmanniifolia,J.Poiss. ex Franch.,Myanmar
Anacardiaceae,Rhus amherstensis,W.W.Sm.,Myanmar
Anacardiaceae,Searsia paniculata,(Wall. ex G.Don) Moffett,Myanmar
Anacardiaceae,Searsia parviflora,(Roxb.) F.A.Barkley,Myanmar
Anacardiaceae,Semecarpus anacardium,L.f.,Myanmar
Anacardiaceae,Semecarpus kurzii,Engl.,Myanmar
Anacardiaceae,Semecarpus microcarpus,Wall.,Myanmar
Anacardiaceae,Semecarpus panduratus,Kurz,Myanmar
Anacardiaceae,Semecarpus prainii,King,Myanmar
Anacardiaceae,Semecarpus subpanduriformis,Wall.,Myanmar
Anacardiaceae,Semecarpus subracemosus,Kurz,Myanmar
Anacardiaceae,Semecarpus subspathulatus,King,Myanmar
Anacardiaceae,Spondias malayana,Kosterm.,Myanmar
Anacardiaceae,Swintonia floribunda,Griff.,Myanmar
Anacardiaceae,Swintonia parkinsonii,(C.E.C.Fisch.) Kosterm,Myanmar
Anacardiaceae,Swintonia schwenckii,Teijsm. & Binn. ex Hook.f.,Myanmar
Anacardiaceae,Toxicodendron succedaneum,(L.) Kuntze,Myanmar
Annonaceae,Alphonsea lutea,(Roxb.) Hook.f. & Thomson,Myanmar
Annonaceae,Anaxagorea luzonensis,A.Gray,Myanmar
Annonaceae,Cananga brandisiana,(Pierre) Saff.,Myanmar
Annonaceae,Cyathocalyx martabanicus,Hook.f. & Thomson,Myanmar
Annonaceae,Dasymaschalon dasymaschalum,(Blume) I.M.Turner,Myanmar
Annonaceae,Friesodielsia maclellandii,(Hook.f. & Thomson) D.Das,Myanmar
Annonaceae,Goniothalamus griffithii,Hook.f. & Thomson,Myanmar
Annonaceae,Goniothalamus latestigma,C.E.C.Fisch.,Myanmar
Annonaceae,Goniothalamus macranthus,(Kurz) Boerl.,Myanmar
Annonaceae,Goniothalamus peduncularis,King & Prain,Myanmar
Annonaceae,Goniothalamus sawtehii,C.E.C.Fisch.,Myanmar
Annonaceae,Goniothalamus tavoyensis,Chatterjee,Myanmar
Annonaceae,Huberantha cerasoides,(Roxb.) Chaowasku,Myanmar
Annonaceae,Meiogyne caudata,(C.E.C.Fisch.) I.M.Turner,Myanmar
Annonaceae,Miliusa dioeca,(Roxb.) Chaowasku & Kessler,Myanmar
Annonaceae,Miliusa glandulifera,C.E.C.Fisch.,Myanmar
Annonaceae,Miliusa horsfieldii,(Bennett) Baill. ex Pierre,Myanmar
Annonaceae,Miliusa macrocarpa,Hook.f. & Thomson,Myanmar
Annonaceae,Miliusa saccata,C.E.C.Fisch.,Myanmar
Annonaceae,Miliusa sclerocarpa,(A.DC.) Kurz,Myanmar
Annonaceae,Miliusa thorelii,Finet & Gagnep.,Myanmar
Annonaceae,Miliusa tristis,Kurz,Myanmar
Annonaceae,Miliusa velutina,(Dunal) Hook.f. & Thomson,Myanmar
Annonaceae,Mitrephora keithii,Ridl.,Myanmar
Annonaceae,Mitrephora maingayi,Hook.f. & Thomson,Myanmar
Annonaceae,Monoon membranifolium,(J.Sinclair) B.Xue & R.M.K.Saunders,Myanmar
Annonaceae,Monoon nitidum,(A.DC.) I.M.Turner,Myanmar
Annonaceae,Monoon simiarum,(Buch.-Ham. ex Hook.f. & Thomson) B.Xue & R.M.K.Saunders,Myanmar
Annonaceae,Monoon viride,(Craib ) B.Xue & R.M.K.Saunders,Myanmar
Annonaceae,Orophea acuminata,A.DC.,Myanmar
Annonaceae,Orophea brandisii,Hook.f. & Thomson,Myanmar
Annonaceae,Orophea polycarpa,A.DC.,Myanmar
Annonaceae,Polyalthia suberosa,(Roxb.) Thwaites,Myanmar
Annonaceae,Popowia helferi,Hook.f. & Thomson,Myanmar
Annonaceae,Popowia pisocarpa,(Blume) Endl. ex Walp.,Myanmar
Annonaceae,Pseuduvaria multiovulata,(C.E.C.Fisch.) J.Sinclair,Myanmar
Annonaceae,Pseuduvaria trimera,(W. G. Craib) Y.C.F. Su & R.M.K. Saunders,Myanmar
Annonaceae,Sageraea elliptica,(A.DC.) Hook.f. & Thomson,Myanmar
Annonaceae,Sageraea listeri,King,Myanmar
Annonaceae,Trivalvaria costata,(Hook.f. & Thomson) I.M.Turner,Myanmar
Annonaceae,Uvaria siamensis,"(Scheff.) L.L.Zhou, Y.C.F.Su & R.M.K.Saunders",Myanmar
Annonaceae,Wuodendron praecox,"(Hook.f. & Thomson) B.Xue, Y.H.Tan & X.L.Hou",Myanmar
Apocynaceae,Alstonia rostrata,C.E.C.Fisch.,Myanmar
Apocynaceae,Alstonia scholaris,(L.) R.Br.,Myanmar
Apocynaceae,Calotropis procera,(Aiton) W.T.Aiton,Myanmar
Apocynaceae,Carissa spinarum,L.,Myanmar
Apocynaceae,Cerbera manghas,L.,Myanmar
Apocynaceae,Cerbera odollam,Gaertn.,Myanmar
Apocynaceae,Holarrhena pubescens,Wall. ex G.Don,Myanmar
Apocynaceae,Hunteria zeylanica,(Retz.) Gardner ex Thwaites,Myanmar
Apocynaceae,Kibatalia macrophylla,(Pierre ex Hua) Woodson,Myanmar
Apocynaceae,Kopsia fruticosa,(Roxb.) A.DC.,Myanmar
Apocynaceae,Rauvolfia sumatrana,Jack,Myanmar
Apocynaceae,Rauvolfia verticillata,(Lour.) Baill.,Myanmar
Apocynaceae,Tabernaemontana bufalina,Lour.,Myanmar
Apocynaceae,Tabernaemontana corymbosa,Roxb. ex Wall.,Myanmar
Apocynaceae,Tabernaemontana dichotoma,Roxb. ex Wall.,Myanmar
Apocynaceae,Tabernaemontana divaricata,(L.) R.Br. ex Roem. & Schult.,Myanmar
Apocynaceae,Tabernaemontana pauciflora,Blume,Myanmar
Apocynaceae,Tabernaemontana peduncularis,Wall.,Myanmar
Apocynaceae,Wrightia arborea,(Dennst.) Mabb.,Myanmar
Apocynaceae,Wrightia coccinea,(Roxb. ex Hornem.) Sims,Myanmar
Apocynaceae,Wrightia collettii,Ngan,Myanmar
Apocynaceae,Wrightia laevis,Hook.f.,Myanmar
Apocynaceae,Wrightia tinctoria,(Roxb.) R.Br.,Myanmar
Aquifoliaceae,Ilex atrata,W.W. Sm.,Myanmar
Aquifoliaceae,Ilex cymosa,Blume,Myanmar
Aquifoliaceae,Ilex cyrtura,Merr.,Myanmar
Aquifoliaceae,Ilex delavayi,Franch.,Myanmar
Aquifoliaceae,Ilex dipyrena,Wall.,Myanmar
Aquifoliaceae,Ilex embelioides,Hook.f.,Myanmar
Aquifoliaceae,Ilex excelsa,(Wall.) Voigt,Myanmar
Aquifoliaceae,Ilex fragilis,Hook.f.,Myanmar
Aquifoliaceae,Ilex georgei,H.F.Comber,Myanmar
Aquifoliaceae,Ilex glomerata,King,Myanmar
Aquifoliaceae,Ilex godajam,Colebr. ex Hook.f.,Myanmar
Aquifoliaceae,Ilex hookeri,King,Myanmar
Aquifoliaceae,Ilex nothofagifolia,Kingdon-Ward,Myanmar
Aquifoliaceae,Ilex odorata,Buch.-Ham. ex D.Don,Myanmar
Aquifoliaceae,Ilex sikkimensis,Kurz,Myanmar
Aquifoliaceae,Ilex triflora,Blume,Myanmar
Aquifoliaceae,Ilex umbellulata,(Wall.) Loes.,Myanmar
Aquifoliaceae,Ilex wallichii,Hook.f.,Myanmar
Aquifoliaceae,Ilex yunnanensis,Franch.,Myanmar
Araliaceae,Aralia armata,(Wall. ex G.Don) Seem.,Myanmar
Araliaceae,Aralia foliolosa,Seem. ex C.B.Clarke,Myanmar
Araliaceae,Aralia leschenaultii,(DC.) J.Wen,Myanmar
Araliaceae,Aralia searelliana,Dunn,Myanmar
Araliaceae,Aralia stellata,(King) J.Wen,Myanmar
Araliaceae,Aralia thomsonii,Seem. ex C.B.Clarke,Myanmar
Araliaceae,Brassaiopsis castaneifolia,Philipson,Myanmar
Araliaceae,Brassaiopsis glomerulata,(Blume) Regel,Myanmar
Araliaceae,Brassaiopsis hainla,(Buch.-Ham.) Seem.,Myanmar
Araliaceae,Brassaiopsis hispida,Seem.,Myanmar
Araliaceae,Dendropanax burmanicus,Merr.,Myanmar
Araliaceae,Gamblea ciliata,C.B.Clarke,Myanmar
Araliaceae,Heptapleurum calyptratum,(Hook.f. & Thomson) Y.F.Deng,Myanmar
Araliaceae,Heptapleurum digitatum,(G.Don ex Loudon) Lowry & G.M.Plunkett,Myanmar
Araliaceae,Heptapleurum glabrescens,(C.J.Tseng & G.Hoo) Lowry & G.M.Plunkett,Myanmar
Araliaceae,Heptapleurum glaucum,Kurz,Myanmar
Araliaceae,Heptapleurum hypoleucum,Kurz,Myanmar
Araliaceae,Heptapleurum lawranceanum,Prain,Myanmar
Araliaceae,Heptapleurum venulosum,(Wight & Arn.) Seem.,Myanmar
Araliaceae,Heteropanax fragrans,(Roxb.) Seem.,Myanmar
Araliaceae,Macropanax dispermus,(Blume) Kuntze,Myanmar
Araliaceae,Macropanax undulatus,(Wall. ex G.Don) Seem.,Myanmar
Araliaceae,Merrilliopanax listeri,(King) H.L.Li,Myanmar
Araliaceae,Merrilliopanax membranifolius,(W.W.Sm.) C.B.Shang,Myanmar
Araliaceae,Woodburnia penduliflora,Prain,Myanmar
Arecaceae,Areca triandra,Roxb. ex Buch.-Ham.,Myanmar
Arecaceae,Arenga pinnata,(Wurmb) Merr.,Myanmar
Arecaceae,Arenga westerhoutii,Griff.,Myanmar
Arecaceae,Borassus flabellifer,L.,Myanmar
Arecaceae,Caryota maxima,Blume,Myanmar
Arecaceae,Caryota mitis,Lour.,Myanmar
Arecaceae,Caryota obtusa,Griff.,Myanmar
Arecaceae,Corypha utan,Lam.,Myanmar
Arecaceae,Licuala peltata,Roxb. ex Buch.-Ham.,Myanmar
Arecaceae,Licuala spinosa,Wurmb,Myanmar
Arecaceae,Livistona jenkinsiana,Griff.,Myanmar
Arecaceae,Livistona speciosa,Kurz,Myanmar
Arecaceae,Nypa fruticans,Wurmb,Myanmar
Arecaceae,Phoenix loureiroi,Kunth,Myanmar
