family,taxon,author,native to
Achariaceae,Kiggelaria africana,L.,Namibia
Amaranthaceae,Caroxylon arboreum,(C.A.Sm. ex Aellen) Mucina,Namibia
Anacardiaceae,Lannea discolor,(Sond.) Engl.,Namibia
Anacardiaceae,Lannea schweinfurthii,Engl.,Namibia
Anacardiaceae,Ozoroa concolor,(C.Presl ex Sond.) De Winter,Namibia
Anacardiaceae,Ozoroa crassinervia,(Engl.) R.Fern. & A.Fern.,Namibia
Anacardiaceae,Ozoroa dispar,(C.Presl) R.Fern. & A.Fern.,Namibia
Anacardiaceae,Ozoroa insignis,Delile,Namibia
Anacardiaceae,Ozoroa longipes,(Engl. & Gilg) R.Fern. & A.Fern.,Namibia
Anacardiaceae,Ozoroa namaensis,(Schinz & Dinter) R.Fern.,Namibia
Anacardiaceae,Ozoroa namaquensis,(Sprague) Von Teichman & A.E.van Wyk,Namibia
Anacardiaceae,Ozoroa paniculosa,(Sond.) R.Fern. & A.Fern.,Namibia
Anacardiaceae,Ozoroa schinzii,(Engl.) R.Fern. & A.Fern.,Namibia
Anacardiaceae,Sclerocarya birrea,(A.Rich.) Hochst.,Namibia
Anacardiaceae,Searsia burchellii,(Sond. ex Engl.) Moffett,Namibia
Anacardiaceae,Searsia lancea,(L.f.) F.A.Barkley,Namibia
Anacardiaceae,Searsia leptodictya,"(Diels) T.S.Yi, A.J.Mill. & J.Wen",Namibia
Anacardiaceae,Searsia lucens,(Hutch.) Moffett,Namibia
Anacardiaceae,Searsia marlothii,(Engl.) Moffett,Namibia
Anacardiaceae,Searsia pendulina,(Jacq.) Moffett,Namibia
Anacardiaceae,Searsia populifolia,(E.Mey. ex Sond.) Moffett,Namibia
Anacardiaceae,Searsia pyroides,(Burch.) Moffett,Namibia
Anacardiaceae,Searsia quartiniana,(A.Rich.) A.J.Mill.,Namibia
Anacardiaceae,Searsia tenuinervis,(Engl.) Moffett,Namibia
Anacardiaceae,Searsia undulata,"(Jacq.) T.S.Yi, A.J.Mill. & J.Wen",Namibia
Annonaceae,Artabotrys brachypetalus,Benth.,Namibia
Annonaceae,Hexalobus monopetalus,(A.Rich.) Engl. & Diels,Namibia
Annonaceae,Monanthotaxis obovata,(Benth.) P.H.Hoekstra,Namibia
Annonaceae,Xylopia odoratissima,Welw. ex Oliv.,Namibia
Apiaceae,Steganotaenia araliacea,Hochst.,Namibia
Apocynaceae,Adenium boehmianum,Schinz,Namibia
Apocynaceae,Carissa bispinosa,(L.) Desf. ex Brenan,Namibia
Apocynaceae,Carissa spinarum,L.,Namibia
Apocynaceae,Diplorhynchus condylocarpon,(Müll.Arg.) Pichon,Namibia
Apocynaceae,Pachypodium lealii,Welw.,Namibia
Apocynaceae,Pachypodium namaquanum,(Wyley ex Harv.) Welw.,Namibia
Araliaceae,Cussonia angolensis,(Seem.) Hiern,Namibia
Arecaceae,Hyphaene petersiana,Klotzsch ex Mart.,Namibia
Arecaceae,Phoenix reclinata,Jacq.,Namibia
Asphodelaceae,Aloe littoralis,Baker,Namibia
Asphodelaceae,Aloidendron dichotomum,(Masson) Klopper & Gideon F.Sm.,Namibia
Asphodelaceae,Aloidendron pillansii,(L.Guthrie) Klopper & Gideon F.Sm.,Namibia
Asphodelaceae,Aloidendron ramosissimum,(Pillans) Klopper & Gideon F.Sm.,Namibia
Asteraceae,Brachylaena discolor,DC.,Namibia
Asteraceae,Brachylaena huillensis,O.Hoffm.,Namibia
Asteraceae,Chrysanthemoides monilifera,(L.) Norl.,Namibia
Asteraceae,Didelta spinosa,(L.f.) Aiton,Namibia
