family,taxon,author,native to
Apocynaceae,Cerbera manghas,L.,Nauru
Apocynaceae,Ochrosia elliptica,Labill.,Nauru
Asparagaceae,Cordyline fruticosa,(L.) A.Chev.,Nauru
Boraginaceae,Cordia subcordata,Lam.,Nauru
Boraginaceae,Heliotropium arboreum,(Blanco) Mabb.,Nauru
Calophyllaceae,Calophyllum inophyllum,L.,Nauru
Casuarinaceae,Casuarina equisetifolia,L.,Nauru
Combretaceae,Lumnitzera littorea,(Jack) Voigt,Nauru
Gentianaceae,Fagraea berteroana,A.Gray ex Benth.,Nauru
Hernandiaceae,Hernandia nymphaeifolia,(C.Presl) Kubitzki,Nauru
Lamiaceae,Premna serratifolia,L.,Nauru
Lamiaceae,Vitex negundo,L.,Nauru
Lamiaceae,Vitex trifolia,L.,Nauru
Lecythidaceae,Barringtonia asiatica,(L.) Kurz,Nauru
Malvaceae,Hibiscus tiliaceus,L.,Nauru
Moraceae,Artocarpus altilis,(Parkinson ex F.A.Zorn) Fosberg,Nauru
Moraceae,Ficus prolixa,G.Forst.,Nauru
Pandanaceae,Pandanus tectorius,Parkinson ex Du Roi,Nauru
Rhizophoraceae,Bruguiera gymnorhiza,(L.) Lam.,Nauru
Rhizophoraceae,Rhizophora apiculata,Blume,Nauru
Rhizophoraceae,Rhizophora stylosa,Griff.,Nauru
Rubiaceae,Aidia racemosa,(Cav.) Tirveng.,Nauru
Rubiaceae,Guettarda speciosa,L.,Nauru
