family,taxon,author,native to
Achariaceae,Gynocardia odorata,R.Br.,Nepal
Actinidiaceae,Saurauia napaulensis,DC.,Nepal
Actinidiaceae,Saurauia roxburghii,Wall.,Nepal
Actinidiaceae,Saurauia tristyla,DC.,Nepal
Anacardiaceae,Buchanania lanzan,Spreng.,Nepal
Anacardiaceae,Choerospondias axillaris,(Roxb.) B.L.Burtt & A.W.Hill,Nepal
Anacardiaceae,Cotinus coggygria,Scop.,Nepal
Anacardiaceae,Drimycarpus racemosus,(Roxb.) Hook.f. ex Marchand.,Nepal
Anacardiaceae,Lannea coromandelica,(Houtt.) Merr.,Nepal
Anacardiaceae,Mangifera indica,L.,Nepal
Anacardiaceae,Mangifera sylvatica,Roxb.,Nepal
Anacardiaceae,Pistacia khinjuk,Stocks,Nepal
Anacardiaceae,Searsia parviflora,(Roxb.) F.A.Barkley,Nepal
Anacardiaceae,Semecarpus anacardium,L.f.,Nepal
Anacardiaceae,Spondias pinnata,(L. f.) Kurz,Nepal
Anacardiaceae,Toxicodendron acuminatum,(DC.) C.Y.Wu & T.L.Ming,Nepal
Anacardiaceae,Toxicodendron hookeri,(K.C. Sahni & Bahadur) C.Y. Wu & T.L. Ming,Nepal
Anacardiaceae,Toxicodendron wallichii,(Hook.f.) Kuntze,Nepal
Annonaceae,Alphonsea ventricosa,(Roxb.) Hook.f. & Thomson,Nepal
Annonaceae,Miliusa dioeca,(Roxb.) Chaowasku & Kessler,Nepal
Annonaceae,Miliusa macrocarpa,Hook.f. & Thomson,Nepal
Annonaceae,Miliusa tomentosa,(Roxb.) Finet & Gagnep.,Nepal
Annonaceae,Miliusa velutina,(Dunal) Hook.f. & Thomson,Nepal
Apocynaceae,Alstonia scholaris,(L.) R.Br.,Nepal
Apocynaceae,Calotropis procera,(Aiton) W.T.Aiton,Nepal
Apocynaceae,Carissa spinarum,L.,Nepal
Apocynaceae,Holarrhena pubescens,Wall. ex G.Don,Nepal
Apocynaceae,Tabernaemontana divaricata,(L.) R.Br. ex Roem. & Schult.,Nepal
Apocynaceae,Wrightia arborea,(Dennst.) Mabb.,Nepal
Aquifoliaceae,Ilex dipyrena,Wall.,Nepal
Aquifoliaceae,Ilex excelsa,(Wall.) Voigt,Nepal
Aquifoliaceae,Ilex fragilis,Hook.f.,Nepal
Aquifoliaceae,Ilex godajam,Colebr. ex Hook.f.,Nepal
Aquifoliaceae,Ilex kingiana,Cockerell,Nepal
Aquifoliaceae,Ilex odorata,Buch.-Ham. ex D.Don,Nepal
Aquifoliaceae,Ilex pseudo-odorata,Loes.,Nepal
Aquifoliaceae,Ilex sikkimensis,Kurz,Nepal
Araliaceae,Aralia gigantea,J.Wen,Nepal
Araliaceae,Aralia leschenaultii,(DC.) J.Wen,Nepal
Araliaceae,Brassaiopsis aculeata,(Buch.-Ham. ex D.Don) Seem.,Nepal
Araliaceae,Brassaiopsis glomerulata,(Blume) Regel,Nepal
Araliaceae,Brassaiopsis hainla,(Buch.-Ham.) Seem.,Nepal
Araliaceae,Brassaiopsis mitis,C.B.Clarke,Nepal
Araliaceae,Gamblea ciliata,C.B.Clarke,Nepal
Araliaceae,Heptapleurum digitatum,(G.Don ex Loudon) Lowry & G.M.Plunkett,Nepal
Araliaceae,Heptapleurum rhododendrifolium,(Griff.) G.M.Plunkett & Lowry,Nepal
Araliaceae,Heteropanax fragrans,(Roxb.) Seem.,Nepal
Araliaceae,Macropanax dispermus,(Blume) Kuntze,Nepal
Araliaceae,Macropanax undulatus,(Wall. ex G.Don) Seem.,Nepal
Araliaceae,Merrilliopanax alpinus,(C.B.Clarke) C.B.Shang,Nepal
Araliaceae,Trevesia palmata,(Roxb. ex Lindl.) Vis.,Nepal
Arecaceae,Phoenix loureiroi,Kunth,Nepal
Arecaceae,Phoenix sylvestris,(L.) Roxb.,Nepal
Arecaceae,Pinanga gracilis,Blume,Nepal
Arecaceae,Trachycarpus martianus,(Wall. ex Mart.) H.Wendl.,Nepal
Arecaceae,Trachycarpus takil,Becc.,Nepal
Asteraceae,Blumea balsamifera,DC.,Nepal
Asteraceae,Gymnanthemum extensum,(Wall. ex DC.) Steetz,Nepal
Asteraceae,Monosis volkameriifolia,(DC.) H.Rob. & Skvarla,Nepal
Asteraceae,Senecio scandens,Buch.-Ham. ex D.Don,Nepal
Asteraceae,Strobocalyx arborea,(Buch.-Ham.) Sch.Bip.,Nepal
Berberidaceae,Berberis aristata,DC.,Nepal
Berberidaceae,Berberis petiolaris,Wall. ex G.Don,Nepal
Berberidaceae,Berberis wallichiana,DC.,Nepal
Berberidaceae,Mahonia napaulensis,DC.,Nepal
Betulaceae,Alnus nepalensis,D.Don,Nepal
Betulaceae,Alnus nitida,(Spach) Endl.,Nepal
Betulaceae,Betula alnoides,Buch.-Ham. ex D.Don,Nepal
Betulaceae,Betula cylindrostachya,Wall.,Nepal
Betulaceae,Betula utilis,D.Don,Nepal
Betulaceae,Carpinus faginea,Lindl.,Nepal
Betulaceae,Carpinus viminea,Wall. ex Lindl.,Nepal
Betulaceae,Corylus ferox,Wall.,Nepal
Betulaceae,Corylus jacquemontii,Decne.,Nepal
Bignoniaceae,Oroxylum indicum,(L.) Kurz,Nepal
Bignoniaceae,Pauldopia ghorta,(Buch.-Ham. ex G.Don) Steenis,Nepal
Bignoniaceae,Stereospermum chelonoides,(L.f.) DC.,Nepal
Bignoniaceae,Stereospermum colais,(Buch.-Ham. ex Dillwyn) Mabb.,Nepal
Boraginaceae,Cordia dichotoma,G.Forst.,Nepal
Boraginaceae,Cordia grandis,Roxb.,Nepal
