family,taxon,author,native to
Aquifoliaceae,Ilex aquifolium,L.,Netherlands (Kingdom of the)
Betulaceae,Alnus glutinosa,(L.) Gaertn.,Netherlands (Kingdom of the)
Betulaceae,Alnus incana,(L.) Moench,Netherlands (Kingdom of the)
Betulaceae,Betula pendula,Roth,Netherlands (Kingdom of the)
Betulaceae,Betula pubescens,Ehrh.,Netherlands (Kingdom of the)
Betulaceae,Carpinus betulus,L.,Netherlands (Kingdom of the)
Betulaceae,Corylus avellana,L.,Netherlands (Kingdom of the)
Celastraceae,Euonymus europaeus,L.,Netherlands (Kingdom of the)
Cupressaceae,Juniperus communis,L.,Netherlands (Kingdom of the)
Elaeagnaceae,Hippophae rhamnoides,L.,Netherlands (Kingdom of the)
Fagaceae,Fagus sylvatica,L.,Netherlands (Kingdom of the)
Fagaceae,Quercus petraea,(Matt.) Liebl.,Netherlands (Kingdom of the)
Fagaceae,Quercus robur,L.,Netherlands (Kingdom of the)
Malvaceae,Tilia cordata,Mill.,Netherlands (Kingdom of the)
Malvaceae,Tilia platyphyllos,Scop.,Netherlands (Kingdom of the)
Oleaceae,Fraxinus excelsior,L.,Netherlands (Kingdom of the)
Rhamnaceae,Frangula alnus,Mill.,Netherlands (Kingdom of the)
Rhamnaceae,Rhamnus cathartica,L.,Netherlands (Kingdom of the)
Rosaceae,Crataegus laevigata,(Poir.) DC.,Netherlands (Kingdom of the)
Rosaceae,Crataegus monogyna,Jacq.,Netherlands (Kingdom of the)
Rosaceae,Crataegus rhipidophylla,Gand.,Netherlands (Kingdom of the)
Rosaceae,Malus sylvestris,(L.) Mill.,Netherlands (Kingdom of the)
Rosaceae,Prunus avium,(L.) L.,Netherlands (Kingdom of the)
Rosaceae,Prunus padus,L.,Netherlands (Kingdom of the)
Rosaceae,Prunus spinosa,L.,Netherlands (Kingdom of the)
Rosaceae,Pyrus communis,L.,Netherlands (Kingdom of the)
Rosaceae,Sorbus aucuparia,L.,Netherlands (Kingdom of the)
Salicaceae,Populus nigra,L.,Netherlands (Kingdom of the)
Salicaceae,Populus tremula,L.,Netherlands (Kingdom of the)
Salicaceae,Salix alba,L.,Netherlands (Kingdom of the)
Salicaceae,Salix atrocinerea,Brot.,Netherlands (Kingdom of the)
Salicaceae,Salix caprea,L.,Netherlands (Kingdom of the)
Salicaceae,Salix cinerea,L.,Netherlands (Kingdom of the)
Salicaceae,Salix pentandra,L.,Netherlands (Kingdom of the)
Salicaceae,Salix purpurea,L.,Netherlands (Kingdom of the)
Salicaceae,Salix triandra,L.,Netherlands (Kingdom of the)
Salicaceae,Salix viminalis,L.,Netherlands (Kingdom of the)
Sapindaceae,Acer campestre,L.,Netherlands (Kingdom of the)
Sapindaceae,Acer pseudoplatanus,L.,Netherlands (Kingdom of the)
Taxaceae,Taxus baccata,L.,Netherlands (Kingdom of the)
Ulmaceae,Ulmus glabra,Huds.,Netherlands (Kingdom of the)
Ulmaceae,Ulmus minor,Mill.,Netherlands (Kingdom of the)
Viburnaceae,Sambucus nigra,L.,Netherlands (Kingdom of the)
Viburnaceae,Sambucus racemosa,L.,Netherlands (Kingdom of the)
