family,taxon,author,native to
Acanthaceae,Avicennia marina,(Forssk.) Vierh.,New Caledonia
Alseuosmiaceae,Periomphale balansae,Baill.,New Caledonia
Alseuosmiaceae,Platyspermation crassifolium,Guillaumin,New Caledonia
Amborellaceae,Amborella trichopoda,Baill.,New Caledonia
Anacardiaceae,Euroschinus aoupiniensis,Hoff,New Caledonia
Anacardiaceae,Euroschinus elegans,Engl.,New Caledonia
Anacardiaceae,Euroschinus jaffrei,Hoff,New Caledonia
Anacardiaceae,Euroschinus obtusifolius,Engl.,New Caledonia
Anacardiaceae,Euroschinus rubromarginatus,Baker f.,New Caledonia
Anacardiaceae,Euroschinus verrucosus,Engl.,New Caledonia
Anacardiaceae,Euroschinus vieillardii,Engl.,New Caledonia
Anacardiaceae,Pleiogynium timoriense,(DC.) Leenh.,New Caledonia
Anacardiaceae,Semecarpus ater,(G. Forst.) Vieill.,New Caledonia
Anacardiaceae,Semecarpus balansae,Engl.,New Caledonia
Anacardiaceae,Semecarpus neocaledonicus,Engl.,New Caledonia
Annonaceae,Goniothalamus hmoope,Munzinger & D.M.Johnson,New Caledonia
Annonaceae,Goniothalamus obtusatus,(Baill.) R.M.K.Saunders,New Caledonia
Annonaceae,Huberantha nitidissima,(Dunal) Chaowasku,New Caledonia
Annonaceae,Meiogyne baillonii,(Guillaumin) Heusden,New Caledonia
Annonaceae,Meiogyne lecardii,(Guillaumin) Heusden,New Caledonia
Annonaceae,Xylopia dibaccata,Däniker,New Caledonia
Annonaceae,Xylopia vieillardii,Baill.,New Caledonia
Apiaceae,Apiopetalum glabratum,Baill.,New Caledonia
Apiaceae,Apiopetalum velutinum,Baill.,New Caledonia
Apocynaceae,Alstonia balansae,Guillaumin,New Caledonia
Apocynaceae,Alstonia boulindaensis,Boiteau,New Caledonia
Apocynaceae,Alstonia costata,(G.Forst.) R.Br.,New Caledonia
Apocynaceae,Alstonia lanceolata,Van Heurck & Müll.Arg.,New Caledonia
Apocynaceae,Alstonia lanceolifera,S.Moore,New Caledonia
Apocynaceae,Alstonia lenormandii,Van Heurck & Müll.Arg.,New Caledonia
Apocynaceae,Alstonia odontophora,Boiteau,New Caledonia
Apocynaceae,Alstonia quaternata,Van Heurck & Müll.Arg.,New Caledonia
Apocynaceae,Alstonia sphaerocapitata,Boiteau,New Caledonia
Apocynaceae,Alstonia vieillardii,Van Heurck & Müll.Arg.,New Caledonia
Apocynaceae,Alyxia torquata,(Baill.) Guillaumin,New Caledonia
Apocynaceae,Carissa spinarum,L.,New Caledonia
Apocynaceae,Cerbera manghas,L.,New Caledonia
Apocynaceae,Cerbera odollam,Gaertn.,New Caledonia
Apocynaceae,Cerberiopsis candelabra,Vieill. ex Pancher & Sebert,New Caledonia
Apocynaceae,Cerberiopsis neriifolia,(S.Moore) Boiteau,New Caledonia
Apocynaceae,Cerberiopsis obtusifolia,(Van Heurck & Müll.Arg.) Boiteau,New Caledonia
Apocynaceae,Leichhardtia koniamboensis,"(Guillaumin) Liede, Gâteblé & Meve",New Caledonia
Apocynaceae,Ochrosia balansae,(Guillaumin) Baill. ex Guillaumin,New Caledonia
Apocynaceae,Ochrosia brevituba,Boiteau,New Caledonia
Apocynaceae,Ochrosia elliptica,Labill.,New Caledonia
Apocynaceae,Ochrosia grandiflora,Boiteau,New Caledonia
Apocynaceae,Ochrosia inventorum,L.Allorge,New Caledonia
Apocynaceae,Ochrosia lifuana,Guillaumin,New Caledonia
Apocynaceae,Ochrosia miana,Baill. ex Guillaumin,New Caledonia
Apocynaceae,Ochrosia oppositifolia,(Lam.) K.Schum.,New Caledonia
Apocynaceae,Ochrosia sevenetii,Boiteau,New Caledonia
Apocynaceae,Ochrosia silvatica,Däniker,New Caledonia
Apocynaceae,Ochrosia thiollierei,Montrouz.,New Caledonia
Apocynaceae,Rauvolfia balansae,(Baill.) Boiteau,New Caledonia
Apocynaceae,Rauvolfia semperflorens,(Müll.Arg.) Schltr.,New Caledonia
Apocynaceae,Tabernaemontana cerifera,Pancher & Sebert,New Caledonia
Apocynaceae,Tabernaemontana pandacaqui,Poir.,New Caledonia
Aquifoliaceae,Ilex sebertii,Pancher,New Caledonia
Araliaceae,Meryta balansae,Baill.,New Caledonia
Araliaceae,Meryta coriacea,Baill.,New Caledonia
Araliaceae,Meryta denhamii,Seem.,New Caledonia
Araliaceae,Meryta oxylaena,Baill.,New Caledonia
Araliaceae,Meryta pandanicarpa,Guillaumin,New Caledonia
Araliaceae,Meryta rivularis,Lowry,New Caledonia
Araliaceae,Meryta schizolaena,Baill.,New Caledonia
Araliaceae,Meryta sonchifolia,(Linden) Linden & André,New Caledonia
Araliaceae,Plerandra baillonii,"(R.Vig.) Lowry, G.M.Plunkett & Frodin",New Caledonia
Araliaceae,Plerandra crassipes,"(Baill.) Lowry, G.M.Plunkett & Frodin",New Caledonia
