family,taxon,author,native to
Acanthaceae,Avicennia marina,(Forssk.) Vierh.,New Zealand
Araliaceae,Meryta sinclairii,(Hook.f.) Seem.,New Zealand
Araliaceae,Pseudopanax arboreus,(L.f.) Allan,New Zealand
Araliaceae,Pseudopanax chathamicus,Kirk,New Zealand
Araliaceae,Pseudopanax colensoi,(Hook.f.) Philipson,New Zealand
Araliaceae,Pseudopanax crassifolius,(Sol. ex A.Cunn.) K.Koch,New Zealand
Araliaceae,Pseudopanax discolor,(Kirk) Harms,New Zealand
Araliaceae,Pseudopanax ferox,Kirk,New Zealand
Araliaceae,Pseudopanax gilliesii,Kirk,New Zealand
Araliaceae,Pseudopanax kermadecensis,(W.R.B.Oliv.) Philipson,New Zealand
Araliaceae,Pseudopanax laetus,(Kirk) Allan,New Zealand
Araliaceae,Pseudopanax lessonii,(DC.) K.Koch,New Zealand
Araliaceae,Pseudopanax macintyrei,(Cheeseman) Wardle,New Zealand
Araliaceae,Raukaua edgerleyi,(Hook.f.) Seem.,New Zealand
Araliaceae,Raukaua simplex,"(G.Forst.) A.D.Mitch., Frodin & Heads",New Zealand
Araucariaceae,Agathis australis,(D.Don) Lindl.,New Zealand
Arecaceae,Rhopalostylis baueri,(Hook.f.) H.Wendl. & Drude,New Zealand
Arecaceae,Rhopalostylis sapida,(Sol. ex G.Forst.) H.Wendl. & Drude,New Zealand
Argophyllaceae,Corokia macrocarpa,Kirk,New Zealand
Asparagaceae,Cordyline australis,(G.Forst.) Endl.,New Zealand
Asparagaceae,Cordyline banksii,Hook.f.,New Zealand
Asparagaceae,Cordyline indivisa,(G.Forst.) Endl.,New Zealand
Asparagaceae,Cordyline obtecta,(Graham) Baker,New Zealand
Asteraceae,Brachyglottis arborescens,W.R.B.Oliv.,New Zealand
Asteraceae,Brachyglottis huntii,(F.Muell.) B.Nord.,New Zealand
Asteraceae,Brachyglottis repanda,J.R.Forst. & G.Forst.,New Zealand
Asteraceae,Brachyglottis rotundifolia,J.R.Forst. & G.Forst.,New Zealand
Asteraceae,Brachyglottis stewartiae,(J.B.Armstr.) B.Nord.,New Zealand
Asteraceae,Macrolearia angustifolia,(Hook.f.) Saldivia,New Zealand
Asteraceae,Macrolearia chathamica,(Kirk) Saldivia,New Zealand
Asteraceae,Macrolearia lyallii,(Hook.f.) Saldivia,New Zealand
Asteraceae,Macrolearia oporina,(G.Forst.) Saldivia,New Zealand
Asteraceae,Olearia albida,(Hook.f.) Hook.f.,New Zealand
Asteraceae,Olearia angulata,Kirk,New Zealand
Asteraceae,Olearia arborescens,(G.Forst.) Cockayne & Laing,New Zealand
Asteraceae,Olearia avicenniifolia,(Raoul) Hook.f.,New Zealand
Asteraceae,Olearia cheesemanii,Cockayne & Allan,New Zealand
Asteraceae,Olearia crebra,E.K.Cameron & Heenan,New Zealand
Asteraceae,Olearia fragrantissima,Petrie,New Zealand
Asteraceae,Olearia furfuracea,(A.Rich.) Hook.f.,New Zealand
Asteraceae,Olearia hectorii,Hook.f.,New Zealand
Asteraceae,Olearia ilicifolia,Hook.f.,New Zealand
Asteraceae,Olearia polita,H.D.Wilson & Garn.-Jones,New Zealand
Asteraceae,Olearia rani,(A.Cunn.) Druce,New Zealand
Asteraceae,Olearia telmatica,Heenan & de Lange,New Zealand
Asteraceae,Olearia townsonii,Cheeseman,New Zealand
Asteraceae,Olearia traversiorum,(F.Muell.) Hook.f.,New Zealand
Asteraceae,Shawia fimbriata, (Heads) Saldivia & Nicol,New Zealand
Atherospermataceae,Laurelia novae-zelandiae,A.Cunn.,New Zealand
Cannabaceae,Trema orientale,(L.) Blume,New Zealand
Chloranthaceae,Ascarina lucida,Hook.f.,New Zealand
Coriariaceae,Coriaria arborea,Linds.,New Zealand
Corynocarpaceae,Corynocarpus laevigatus,J.R.Forst. & G.Forst.,New Zealand
Cunoniaceae,Ackama nubicola,de Lange,New Zealand
