family,taxon,author,native to
Acanthaceae,Aphelandra scabra,(Vahl) Sm.,Nicaragua
Acanthaceae,Avicennia bicolor,Standl.,Nicaragua
Acanthaceae,Avicennia germinans,(L.) L.,Nicaragua
Acanthaceae,Bravaisia integerrima,(Spreng.) Standl.,Nicaragua
Acanthaceae,Justicia aurea,Schltdl.,Nicaragua
Acanthaceae,Justicia spicigera,Schltdl.,Nicaragua
Achariaceae,Carpotroche platyptera,Pittier,Nicaragua
Achariaceae,Lindackeria laurina,C.Presl,Nicaragua
Achariaceae,Mayna odorata,Aubl.,Nicaragua
Achatocarpaceae,Achatocarpus nigricans,Triana,Nicaragua
Achatocarpaceae,Achatocarpus pubescens,C.H.Wright,Nicaragua
Actinidiaceae,Saurauia aspera,Turcz.,Nicaragua
Actinidiaceae,Saurauia montana,Seem.,Nicaragua
Actinidiaceae,Saurauia rubiformis,Vatke,Nicaragua
Actinidiaceae,Saurauia waldheimii,Buscal.,Nicaragua
Actinidiaceae,Saurauia yasicae,Loes.,Nicaragua
Altingiaceae,Liquidambar styraciflua,L.,Nicaragua
Anacardiaceae,Amphipterygium adstringens,(Schltdl.) Standl.,Nicaragua
Anacardiaceae,Amphipterygium simplicifolium,(Standl.) Cuevas-Figueroa,Nicaragua
Anacardiaceae,Anacardium excelsum,(Bertero ex Kunth) Skeels,Nicaragua
Anacardiaceae,Astronium graveolens,Jacq.,Nicaragua
Anacardiaceae,Campnosperma panamense,Standl.,Nicaragua
Anacardiaceae,Mosquitoxylum jamaicense,Krug & Urb.,Nicaragua
Anacardiaceae,Rhus terebinthifolia,Schltdl. & Cham.,Nicaragua
Anacardiaceae,Spondias mombin,L.,Nicaragua
Anacardiaceae,Spondias purpurea,L.,Nicaragua
Anacardiaceae,Spondias radlkoferi,Donn.Sm.,Nicaragua
Anacardiaceae,Tapirira guianensis,Aubl.,Nicaragua
Anacardiaceae,Tapirira mexicana,Marchand,Nicaragua
Anacardiaceae,Toxicodendron striatum,(Ruiz & Pav.) Kuntze,Nicaragua
Annonaceae,Anaxagorea crassipetala,Hemsl.,Nicaragua
Annonaceae,Anaxagorea phaeocarpa,Mart.,Nicaragua
Annonaceae,Annona cherimola,Mill.,Nicaragua
