family,taxon,author,native to
Anacardiaceae,Lannea acida,A.Rich.,Niger
Anacardiaceae,Lannea fruticosa,(Hochst. ex A.Rich.) Engl.,Niger
Anacardiaceae,Lannea humilis,(Oliv.) Engl.,Niger
Anacardiaceae,Lannea microcarpa,Engl. & K.Krause,Niger
Anacardiaceae,Ozoroa insignis,Delile,Niger
Anacardiaceae,Sclerocarya birrea,(A.Rich.) Hochst.,Niger
Anacardiaceae,Searsia natalensis,(Bernh. ex C.Krauss) F.A.Barkley,Niger
Anacardiaceae,Searsia tripartita,(Ucria) Moffett,Niger
Annonaceae,Annona senegalensis,Pers.,Niger
Annonaceae,Hexalobus monopetalus,(A.Rich.) Engl. & Diels,Niger
Apocynaceae,Adenium obesum,(Forssk.) Roem. & Schult.,Niger
Apocynaceae,Calotropis procera,(Aiton) W.T.Aiton,Niger
Arecaceae,Borassus aethiopum,Mart.,Niger
Arecaceae,Borassus akeassii,"Bayton, Ouédr. & Guinko",Niger
Arecaceae,Hyphaene thebaica,(L.) Mart.,Niger
Bignoniaceae,Kigelia africana,(Lam.) Benth.,Niger
Bignoniaceae,Stereospermum kunthianum,Cham.,Niger
Boraginaceae,Cordia crenata,Delile,Niger
Boraginaceae,Cordia sinensis,Lam.,Niger
Burseraceae,Boswellia dalzielii,Hutch.,Niger
Burseraceae,Commiphora pedunculata,(Kotschy & Peyr.) Engl.,Niger
Burseraceae,Commiphora quadricincta,Schweinf.,Niger
Burseraceae,Dacryodes klaineana,(Pierre) H.J.Lam,Niger
Cannabaceae,Celtis toka,(Forssk.) Hepper & J.R.I.Wood,Niger
Capparaceae,Boscia angustifolia,A.Rich.,Niger
Capparaceae,Boscia salicifolia,Oliv.,Niger
Capparaceae,Boscia senegalensis,Lam.,Niger
Capparaceae,Cadaba farinosa,Forssk.,Niger
Capparaceae,Cadaba glandulosa,Forssk.,Niger
Capparaceae,Capparis decidua,(Forssk.) Edgew.,Niger
Capparaceae,Crateva adansonii,DC.,Niger
Capparaceae,Maerua angolensis,DC.,Niger
Capparaceae,Maerua crassifolia,Forssk.,Niger
Celastraceae,Gymnosporia senegalensis,(Lam.) Loes.,Niger
Chrysobalanaceae,Neocarya macrophylla,(Sabine) Prance ex F.White,Niger
Chrysobalanaceae,Parinari curatellifolia,Planch. ex Benth.,Niger
Combretaceae,Combretum aculeatum,Vent.,Niger
Combretaceae,Combretum glutinosum,Perr. ex DC.,Niger
Combretaceae,Combretum micranthum,G.Don,Niger
Combretaceae,Combretum molle,R.Br. ex G.Don,Niger
Combretaceae,Combretum nigricans,Lepr. ex Guill. & Perr.,Niger
Combretaceae,Guiera senegalensis,J.F.Gmel.,Niger
Combretaceae,Terminalia avicennioides,Guill. & Perr.,Niger
Combretaceae,Terminalia engleri,Gere & Boatwr.,Niger
Combretaceae,Terminalia laxiflora,Engl.,Niger
Combretaceae,Terminalia leiocarpa,(DC.) Baill.,Niger
Combretaceae,Terminalia macroptera,Guill. & Perr.,Niger
Ebenaceae,Diospyros mespiliformis,Hochst. ex A.DC.,Niger
Euphorbiaceae,Euphorbia desmondii,Keay & Milne-Redh.,Niger
Euphorbiaceae,Euphorbia drupifera,Thonn.,Niger
Euphorbiaceae,Euphorbia sudanica,A.Chev.,Niger
Fabaceae,Afzelia africana,Sm.,Niger
Fabaceae,Albizia chevalieri,Harms,Niger
Fabaceae,Albizia malacophylla,(A.Rich.) Walp.,Niger
Fabaceae,Albizia zygia,(DC.) J.F.Macbr.,Niger
Fabaceae,Andira inermis,(W.Wright) DC.,Niger
Fabaceae,Anonychium africanum,(Guill. & Perr.) C.E.Hughes & G.P.Lewis,Niger
Fabaceae,Bauhinia rufescens,Lam.,Niger
Fabaceae,Berlinia grandiflora,(Vahl) Hutch. & Dalziel,Niger
Fabaceae,Bobgunnia madagascariensis,(Desv.) J.H.Kirkbr. & Wiersema,Niger
Fabaceae,Burkea africana,Hook.,Niger
Fabaceae,Cassia sieberiana,DC.,Niger
Fabaceae,Cordyla pinnata,(A.Rich.) Milne-Redh.,Niger
Fabaceae,Daniellia oliveri,(Rolfe) Hutch. & Dalziel,Niger
Fabaceae,Detarium microcarpum,Guill. & Perr.,Niger
Fabaceae,Dichrostachys cinerea,(L.) Wight & Arn.,Niger
Fabaceae,Entada africana,Guill. & Perr.,Niger
Fabaceae,Erythrina senegalensis,DC.,Niger
Fabaceae,Faidherbia albida,(Delile) A.Chev.,Niger
Fabaceae,Isoberlinia doka,Craib & Stapf,Niger
Fabaceae,Newtonia duparquetiana,(Baill.) Keay,Niger
Fabaceae,Parkia biglobosa,(Jacq.) R.Br. ex G.Don,Niger
Fabaceae,Pericopsis laxiflora,(Benth. ex Baker) Meeuwen,Niger
Fabaceae,Philenoptera laxiflora,(Guill. & Perr.) Roberty,Niger
Fabaceae,Piliostigma thonningii,(Schumach.) Milne-Redh.,Niger
Fabaceae,Pterocarpus erinaceus,Poir.,Niger
Fabaceae,Pterocarpus lucens,Lepr. ex Guill. & Perr.,Niger
Fabaceae,Senegalia ataxacantha,(DC.) Kyal. & Boatwr.,Niger
Fabaceae,Senegalia dudgeonii,(Craib) Kyal. & Boatwr.,Niger
Fabaceae,Senegalia gourmaensis,(A.Chev.) Kyal. & Boatwr.,Niger
Fabaceae,Senegalia laeta,(R.Br. ex Benth.) Seigler & Ebinger,Niger
Fabaceae,Senegalia macrostachya,(Rchb. ex DC.) Kyal. & Boatwr.,Niger
Fabaceae,Senegalia polyacantha,(Willd.) Seigler & Ebinger,Niger
Fabaceae,Senegalia senegal,(L.) Britton,Niger
Fabaceae,Senna alexandrina,Mill.,Niger
Fabaceae,Senna singueana,(Delile) Lock,Niger
Fabaceae,Sesbania sesban,(L.) Merr.,Niger
Fabaceae,Tamarindus indica,L.,Niger
Fabaceae,Vachellia amythethophylla,(Steud. ex A.Rich.) Kyal. & Boatwr.,Niger
Fabaceae,Vachellia flava,(Forssk.) Kyal. & Boatwr.,Niger
Fabaceae,Vachellia nilotica,(L.) P.J.H.Hurter & Mabb.,Niger
Fabaceae,Vachellia seyal,(Delile) P.J.H.Hurter,Niger
Fabaceae,Vachellia sieberiana,(DC.) Kyal. & Boatwr.,Niger
Fabaceae,Vachellia tortilis,(Forssk.) Galasso & Banfi,Niger
Lamiaceae,Premna angolensis,Gürke,Niger
Lamiaceae,Vitex chrysocarpa,Planch.,Niger
Lamiaceae,Vitex doniana,Sweet,Niger
Lamiaceae,Vitex madiensis,Oliv.,Niger
Loganiaceae,Strychnos innocua,Delile,Niger
Loganiaceae,Strychnos spinosa,Lam.,Niger
Malvaceae,Adansonia digitata,L.,Niger
Malvaceae,Bombax costatum,Pellegr. & Vuillet,Niger
Malvaceae,Cola laurifolia,Mast.,Niger
Malvaceae,Grewia bicolor,Juss.,Niger
Malvaceae,Grewia flavescens,Juss.,Niger
Malvaceae,Grewia tenax,(Forssk.) Fiori,Niger
Malvaceae,Grewia villosa,Willd.,Niger
Malvaceae,Hibiscus diversifolius,Jacq.,Niger
Malvaceae,Sterculia setigera,Delile,Niger
Meliaceae,Khaya senegalensis,(Desv.) A.Juss.,Niger
Meliaceae,Pseudocedrela kotschyi,(Schweinf.) Harms,Niger
Moraceae,Ficus adolphi-friderici,Mildbr.,Niger
Moraceae,Ficus ingens,(Miq.) Miq.,Niger
Moraceae,Ficus platyphylla,Delile,Niger
Moraceae,Ficus sycomorus,L.,Niger
Moraceae,Ficus thonningii,Blume,Niger
Moraceae,Ficus trichopoda,Baker,Niger
Moraceae,Ficus verruculosa,Warb.,Niger
Olacaceae,Ximenia americana,L.,Niger
Oleaceae,Olea europaea,L.,Niger
Phyllanthaceae,Antidesma venosum,E.Mey. ex Tul.,Niger
Phyllanthaceae,Phyllanthus reticulatus,Poir.,Niger
Rhamnaceae,Ziziphus abyssinica,Hochst. ex A.Rich.,Niger
Rhamnaceae,Ziziphus mauritiana,Lam.,Niger
Rhamnaceae,Ziziphus mucronata,Willd.,Niger
Rhamnaceae,Ziziphus spina-christi,(L.) Desf.,Niger
Rubiaceae,Mitragyna inermis,(Willd.) Kuntze,Niger
Salicaceae,Salix ledermannii,Seemen,Niger
Salvadoraceae,Salvadora persica,L.,Niger
Simaroubaceae,Odyendea klaineana,(Pierre) Engl.,Niger
Tamaricaceae,Tamarix aphylla,(L.) H.Karst.,Niger
Tamaricaceae,Tamarix senegalensis,DC.,Niger
Zygophyllaceae,Balanites aegyptiaca,(L.) Delile,Niger
