family,taxon,author,native to
Acanthaceae,Anisotes pubinervius,(T.Anderson) Heine,Nigeria
Acanthaceae,Avicennia germinans,(L.) L.,Nigeria
Achariaceae,Caloncoba echinata,(Oliv.) Gilg,Nigeria
Achariaceae,Caloncoba gilgiana,(Sprague) Gilg,Nigeria
Achariaceae,Caloncoba glauca,(P.Beauv.) Gilg,Nigeria
Achariaceae,Caloncoba welwitschii,(Oliv.) Gilg,Nigeria
Achariaceae,Camptostylus mannii,(Oliv.) Gilg,Nigeria
Achariaceae,Dasylepis blackii,(Oliv.) Chipp,Nigeria
Achariaceae,Dasylepis racemosa,Oliv.,Nigeria
Achariaceae,Dasylepis thomasii,Obama & Breteler,Nigeria
Achariaceae,Lindackeria dentata,(Oliv.) Gilg,Nigeria
Achariaceae,Scottellia klaineana,Pierre,Nigeria
Achariaceae,Scottellia orientalis,Gilg,Nigeria
Anacardiaceae,Antrocaryon klaineanum,Pierre,Nigeria
Anacardiaceae,Antrocaryon micraster,A.Chev. & Guillaumin,Nigeria
Anacardiaceae,Haematostaphis barteri,Hook.f.,Nigeria
Anacardiaceae,Lannea acida,A.Rich.,Nigeria
Anacardiaceae,Lannea barteri,(Oliv.) Engl.,Nigeria
Anacardiaceae,Lannea fruticosa,(Hochst. ex A.Rich.) Engl.,Nigeria
Anacardiaceae,Lannea humilis,(Oliv.) Engl.,Nigeria
Anacardiaceae,Lannea microcarpa,Engl. & K.Krause,Nigeria
Anacardiaceae,Lannea nigritana,(Scott Elliot) Keay,Nigeria
Anacardiaceae,Lannea schimperi,(Hochst. ex A.Rich.) Engl.,Nigeria
Anacardiaceae,Lannea welwitschii,(Hiern) Engl.,Nigeria
Anacardiaceae,Ozoroa insignis,Delile,Nigeria
Anacardiaceae,Pseudospondias longifolia,Engl.,Nigeria
Anacardiaceae,Pseudospondias microcarpa,(A.Rich.) Engl.,Nigeria
Anacardiaceae,Sclerocarya birrea,(A.Rich.) Hochst.,Nigeria
Anacardiaceae,Searsia longipes,(Engl.) Moffett,Nigeria
Anacardiaceae,Searsia natalensis,(Bernh. ex C.Krauss) F.A.Barkley,Nigeria
Anacardiaceae,Sorindeia africana,(Engl.) Van der Veken,Nigeria
Anacardiaceae,Sorindeia grandifolia,Engl.,Nigeria
Anacardiaceae,Sorindeia winkleri,Engl.,Nigeria
Anacardiaceae,Trichoscypha acuminata,Engl.,Nigeria
Anacardiaceae,Trichoscypha arborea,(A.Chev.) A.Chev.,Nigeria
Anacardiaceae,Trichoscypha laxiflora,Engl.,Nigeria
Anacardiaceae,Trichoscypha lucens,Oliv.,Nigeria
Anacardiaceae,Trichoscypha mannii,Hook.f.,Nigeria
Anacardiaceae,Trichoscypha patens,(Oliv.) Engl.,Nigeria
Anisophylleaceae,Anisophyllea myriosticta,Floret,Nigeria
Anisophylleaceae,Anisophyllea obanica,"Li Bing Zhang, Xin Chen & H.He",Nigeria
Anisophylleaceae,Anisophyllea polyneura,Floret,Nigeria
Anisophylleaceae,Anisophyllea purpurascens,Hutch. & Dalziel,Nigeria
Anisophylleaceae,Poga oleosa,Pierre,Nigeria
Annonaceae,Annickia affinis,(Exell) Versteegh & Sosef,Nigeria
Annonaceae,Annickia chlorantha,(Oliv.) Setten & Maas,Nigeria
Annonaceae,Annickia polycarpa,(DC.) Setten & Maas ex I.M.Turner,Nigeria
Annonaceae,Annona glabra,L.,Nigeria
Annonaceae,Annona senegalensis,Pers.,Nigeria
Annonaceae,Anonidium mannii,(Oliv.) Engl. & Diels,Nigeria
Annonaceae,Cleistopholis patens,(Benth.) Engl. & Diels,Nigeria
Annonaceae,Cleistopholis staudtii,(Engl. & Diels) Engl. & Diels,Nigeria
Annonaceae,Duguetia barteri,(Benth.) Chatrou,Nigeria
Annonaceae,Duguetia staudtii,(Engl. & Diels) Chatrou,Nigeria
Annonaceae,Greenwayodendron suaveolens,(Engl. & Diels) Verdc.,Nigeria
Annonaceae,Hexalobus crispiflorus,A.Rich.,Nigeria
Annonaceae,Hexalobus monopetalus,(A.Rich.) Engl. & Diels,Nigeria
Annonaceae,Isolona campanulata,Engl. & Diels,Nigeria
Annonaceae,Isolona deightonii,Keay,Nigeria
Annonaceae,Isolona hexaloba,(Pierre) Engl. & Diels,Nigeria
Annonaceae,Isolona pleurocarpa,Diels,Nigeria
Annonaceae,Isolona thonneri,(De Wild. & T.Durand) Engl. & Diels,Nigeria
Annonaceae,Mischogyne elliotiana,(Engl. & Diels) R.E.Fr. ex Le Thomas,Nigeria
Annonaceae,Monodora angolensis,Welw.,Nigeria
Annonaceae,Monodora crispata,Engl.,Nigeria
Annonaceae,Monodora myristica,(Gaertn.) Dunal,Nigeria
Annonaceae,Monodora tenuifolia,Benth.,Nigeria
Annonaceae,Monodora undulata,(P.Beauv.) Couvreur,Nigeria
Annonaceae,Neostenanthera myristicifolia,(Oliv.) Exell,Nigeria
Annonaceae,Piptostigma glabrescens,Oliv.,Nigeria
Annonaceae,Piptostigma pilosum,Oliv.,Nigeria
Annonaceae,Polyceratocarpus parviflorus,(Baker f.) Ghesq.,Nigeria
Annonaceae,Uvaria afzelii,Scott Elliot,Nigeria
Annonaceae,Uvariastrum insculptum,(Engl. & Diels) Sprague & Hutch.,Nigeria
Annonaceae,Uvariastrum pierreanum,Engl.,Nigeria
Annonaceae,Uvariastrum zenkeri,Engl. & Diels,Nigeria
Annonaceae,Uvariodendron angustifolium,(Engl. & Diels) R.E.Fr.,Nigeria
Annonaceae,Uvariodendron calophyllum,R.E.Fr.,Nigeria
Annonaceae,Uvariodendron connivens,(Benth.) R.E.Fr.,Nigeria
Annonaceae,Uvariodendron fuscum,(Benth.) R.E.Fries,Nigeria
Annonaceae,Uvariodendron molundense,(Diels) R.E.Fr.,Nigeria
Annonaceae,Uvariodendron occidentale,Le Thomas,Nigeria
Annonaceae,Uvariopsis bakeriana,(Hutch. & Dalziel) Robyns & Ghesq.,Nigeria
Annonaceae,Uvariopsis dioica,(Diels) Robyns & Ghesq.,Nigeria
Annonaceae,Uvariopsis tripetala,(Baker f.) G.E.Schatz,Nigeria
Annonaceae,Xylopia acutiflora,(Dunal) A.Rich.,Nigeria
Annonaceae,Xylopia aethiopica,(Dunal) A.Rich.,Nigeria
Annonaceae,Xylopia africana,(Benth.) Oliv.,Nigeria
Annonaceae,Xylopia calva,D.M.Johnson & N.A.Murray,Nigeria
Annonaceae,Xylopia longipetala,De Wild. & T.Durand,Nigeria
Annonaceae,Xylopia monticola,D.M.Johnson & N.A.Murray,Nigeria
Annonaceae,Xylopia quintasii,Pierre ex Engl. & Diels,Nigeria
Annonaceae,Xylopia rubescens,Oliv.,Nigeria
Annonaceae,Xylopia staudtii,Engl. & Diels,Nigeria
Annonaceae,Xylopia talbotii,Exell,Nigeria
Annonaceae,Xylopia thomsonii,Oliv.,Nigeria
