family,taxon,author,native to
Anacardiaceae,Rhus taitensis,Guill.,Niue
Apocynaceae,Ochrosia oppositifolia,(Lam.) K.Schum.,Niue
Araliaceae,Polyscias multijuga,(A.Gray) Harms,Niue
Boraginaceae,Cordia subcordata,Lam.,Niue
Boraginaceae,Heliotropium arboreum,(Blanco) Mabb.,Niue
Burseraceae,Canarium harveyi,Seem.,Niue
Cannabaceae,Celtis harperi,Horne ex Baker,Niue
Celastraceae,Gymnosporia crenata,(G.Forst.) Seem.,Niue
Combretaceae,Terminalia catappa,L.,Niue
Combretaceae,Terminalia richii,A.Gray,Niue
Ebenaceae,Diospyros foliosa,(Rich. ex A.Gray) Bakh.,Niue
Ebenaceae,Diospyros samoensis,A.Gray,Niue
Elaeocarpaceae,Elaeocarpus floridanus,Hemsl.,Niue
Elaeocarpaceae,Elaeocarpus tonganus,Burkill,Niue
Euphorbiaceae,Excoecaria agallocha,L.,Niue
Euphorbiaceae,Homalanthus nutans,(G.Forst.) Guill.,Niue
Euphorbiaceae,Macaranga harveyana,(Müll.Arg.) Müll.Arg.,Niue
Euphorbiaceae,Macaranga seemannii,(Müll.Arg.) Müll.Arg.,Niue
Fabaceae,Dendrolobium umbellatum,(L.) Benth.,Niue
Fabaceae,Schleinitzia insularum,(Guill.) Burkart,Niue
Gentianaceae,Fagraea berteroana,A.Gray ex Benth.,Niue
Hernandiaceae,Hernandia nymphaeifolia,(C.Presl) Kubitzki,Niue
Lamiaceae,Premna serratifolia,L.,Niue
Lamiaceae,Premna tahitensis,Schauer,Niue
Lamiaceae,Vitex trifolia,L.,Niue
Lauraceae,Cryptocarya turbinata,Gillespie,Niue
Lecythidaceae,Barringtonia asiatica,(L.) Kurz,Niue
Malvaceae,Grewia crenata,(J.R.Forst. & G.Forst.) Schinz & Guillaumin,Niue
Malvaceae,Heritiera ornithocephala,Kosterm.,Niue
Malvaceae,Hibiscus tiliaceus,L.,Niue
Malvaceae,Sterculia fanaiho,Setch.,Niue
Meliaceae,Didymocheton alliaceus,(G.Forst.) Mabb.,Niue
Moraceae,Ficus obliqua,G.Forst.,Niue
Moraceae,Ficus prolixa,G.Forst.,Niue
Moraceae,Ficus scabra,G.Forst.,Niue
Moraceae,Ficus tinctoria,G.Forst.,Niue
Myrtaceae,Eugenia reinwardtiana,(Blume) DC.,Niue
Myrtaceae,Syzygium clusiifolium,(A.Gray) Müll.Berol.,Niue
Myrtaceae,Syzygium corynocarpum,(A.Gray) Müll.Berol.,Niue
Myrtaceae,Syzygium dealbatum,(Burkill) A.C.Sm.,Niue
Myrtaceae,Syzygium inophylloides,(A.Gray) Müll.Berol.,Niue
Myrtaceae,Syzygium richii,(A.Gray) Merr. & L.M.Perry,Niue
Oleaceae,Chionanthus vitiensis,(Seem.) A.C.Sm.,Niue
Pandanaceae,Pandanus dubius,Spreng.,Niue
Pandanaceae,Pandanus tectorius,Parkinson ex Du Roi,Niue
Phyllanthaceae,Baccaurea seemannii,(Müll.Arg.) Müll.Arg.,Niue
Phyllanthaceae,Bischofia javanica,Blume,Niue
Pittosporaceae,Pittosporum brackenridgei,A.Gray,Niue
Putranjivaceae,Drypetes vitiensis,Croizat,Niue
Rhamnaceae,Alphitonia zizyphoides,(Biehler) A.Gray,Niue
Rubiaceae,Gardenia taitensis,DC.,Niue
Rubiaceae,Guettarda speciosa,L.,Niue
Rubiaceae,Ixora calcicola,A.C.Sm.,Niue
Rubiaceae,Psychotria insularum,A.Gray,Niue
Rubiaceae,Tarenna sambucina,(G.Forst.) T.Durand ex Drake,Niue
Rutaceae,Micromelum minutum,(G.Forst.) Wight & Arn.,Niue
Santalaceae,Santalum yasi,Seem.,Niue
Sapindaceae,Elattostachys apetala,(Labill.) Radlk.,Niue
Sapindaceae,Pometia pinnata,J.R.Forst. & G.Forst.,Niue
Sapotaceae,Planchonella chartacea,(F.Muell. ex Benth.) H.J.Lam,Niue
Sapotaceae,Planchonella garberi,Christoph.,Niue
Sapotaceae,Planchonella tahitensis,(Nadeaud) Pierre ex Dubard,Niue
Sapotaceae,Planchonella torricellensis,(K.Schum.) H.J.Lam,Niue
Urticaceae,Dendrocnide harveyi,(Seem.) Chew,Niue
Urticaceae,Pipturus argenteus,(G.Forst.) Wedd.,Niue
