family,taxon,author,native to
Amaranthaceae,Achyranthes arborescens,R.Br.,Norfolk Island
Apocynaceae,Ochrosia elliptica,Labill.,Norfolk Island
Araliaceae,Heptapleurum actinophyllum,(Endl.) Lowry & G.M.Plunkett,Norfolk Island
Araliaceae,Meryta angustifolia,(Endl.) Seem.,Norfolk Island
Araliaceae,Meryta latifolia,(Endl.) Seem.,Norfolk Island
Araliaceae,Polyscias multijuga,(A.Gray) Harms,Norfolk Island
Araucariaceae,Araucaria heterophylla,(Salisb.) Franco,Norfolk Island
Arecaceae,Rhopalostylis baueri,(Hook.f.) H.Wendl. & Drude,Norfolk Island
Asparagaceae,Cordyline obtecta,(Graham) Baker,Norfolk Island
Cannabaceae,Celtis conferta,Planch.,Norfolk Island
Celastraceae,Elaeodendron curtipendulum,Endl.,Norfolk Island
Euphorbiaceae,Baloghia inophylla,(G.Forst.) P.S.Green,Norfolk Island
Euphorbiaceae,Excoecaria agallocha,L.,Norfolk Island
Euphorbiaceae,Homalanthus populifolius,Graham,Norfolk Island
Fabaceae,Guilandina bonduc,L.,Norfolk Island
Fabaceae,Streblorrhiza speciosa,Endl.,Norfolk Island
Malvaceae,Hibiscus insularis,Endl.,Norfolk Island
Malvaceae,Hibiscus tiliaceus,L.,Norfolk Island
Malvaceae,Lagunaria patersonia,(Andrews) G.Don,Norfolk Island
Malvaceae,Ungeria floribunda,Schott & Endl.,Norfolk Island
Meliaceae,Dysoxylum bijugum,(Labill.) Seem.,Norfolk Island
Moraceae,Ficus macrophylla,Pers.,Norfolk Island
Moraceae,Paratrophis pendulina,(Endl.) E.M.Gardner,Norfolk Island
Myrtaceae,Eucalyptus botryoides,Sm.,Norfolk Island
Nyctaginaceae,Ceodes brunoniana,(Endl.) Skottsb.,Norfolk Island
Nyctaginaceae,Ceodes umbellifera,J.R.Forst. & G.Forst.,Norfolk Island
Oleaceae,Notelaea apetala,(Vahl) Hong-Wa & Besnard,Norfolk Island
Pennantiaceae,Pennantia endlicheri,Reissek,Norfolk Island
Piperaceae,Piper excelsum,G.Forst.,Norfolk Island
Pittosporaceae,Pittosporum bracteolatum,Endl.,Norfolk Island
Pittosporaceae,Pittosporum undulatum,Vent.,Norfolk Island
Primulaceae,Myrsine ralstoniae,(P.S.Green) Jackes,Norfolk Island
Proteaceae,Banksia integrifolia,L.f.,Norfolk Island
Rubiaceae,Coprosma pilosa,Endl.,Norfolk Island
Rutaceae,Melicope littoralis,(Endl.) T.G.Hartley ex P.S.Green,Norfolk Island
Rutaceae,Sarcomelicope simplicifolia,(Endl.) T.G.Hartley,Norfolk Island
Rutaceae,Zanthoxylum pinnatum,(J.R.Forst. & G.Forst.) W.R.B.Oliv.,Norfolk Island
Santalaceae,Exocarpos phyllanthoides,Endl.,Norfolk Island
Sapotaceae,Planchonella costata,(Endl.) Pierre,Norfolk Island
Scrophulariaceae,Myoporum obscurum,Endl.,Norfolk Island
Solanaceae,Solanum bauerianum,Endl.,Norfolk Island
Thymelaeaceae,Wikstroemia australis,Endl.,Norfolk Island
Urticaceae,Pouzolzia australis,(Endl.) Friis & Wilmot-Dear,Norfolk Island
Violaceae,Melicytus latifolius,(Endl.) P.S.Green,Norfolk Island
