family,taxon,author,native to
Anacardiaceae,Cotinus coggygria,Scop.,North Macedonia
Anacardiaceae,Pistacia terebinthus,L.,North Macedonia
Aquifoliaceae,Ilex aquifolium,L.,North Macedonia
Betulaceae,Alnus alnobetula,(Ehrh.) K.Koch,North Macedonia
Betulaceae,Alnus glutinosa,(L.) Gaertn.,North Macedonia
Betulaceae,Alnus incana,(L.) Moench,North Macedonia
Betulaceae,Alnus rohlenae,"Vít, Douda & Mandák",North Macedonia
Betulaceae,Betula pendula,Roth,North Macedonia
Betulaceae,Betula pubescens,Ehrh.,North Macedonia
Betulaceae,Carpinus betulus,L.,North Macedonia
Betulaceae,Carpinus orientalis,Mill.,North Macedonia
Betulaceae,Corylus avellana,L.,North Macedonia
Betulaceae,Corylus colurna,L.,North Macedonia
Betulaceae,Corylus maxima,Mill.,North Macedonia
Betulaceae,Ostrya carpinifolia,Scop.,North Macedonia
Buxaceae,Buxus sempervirens,L.,North Macedonia
Cannabaceae,Celtis australis,L.,North Macedonia
Cannabaceae,Celtis planchoniana,K.I.Chr.,North Macedonia
Cannabaceae,Celtis tournefortii,Lam.,North Macedonia
Celastraceae,Euonymus europaeus,L.,North Macedonia
Celastraceae,Euonymus latifolius,(L.) Mill.,North Macedonia
Cornaceae,Cornus mas,L.,North Macedonia
Cupressaceae,Juniperus deltoides,R.P.Adams,North Macedonia
Cupressaceae,Juniperus excelsa,M.Bieb.,North Macedonia
Cupressaceae,Juniperus foetidissima,Willd.,North Macedonia
Cupressaceae,Juniperus oxycedrus,L.,North Macedonia
Ericaceae,Arbutus andrachne,L.,North Macedonia
Fabaceae,Laburnum alpinum,(Mill.) Bercht. & J.Presl,North Macedonia
Fabaceae,Laburnum anagyroides,Medik.,North Macedonia
Fagaceae,Castanea sativa,Mill.,North Macedonia
Fagaceae,Fagus sylvatica,L.,North Macedonia
Fagaceae,Quercus cerris,L.,North Macedonia
Fagaceae,Quercus coccifera,L.,North Macedonia
Fagaceae,Quercus frainetto,Ten.,North Macedonia
