family,taxon,author,native to
Acanthaceae,Avicennia marina,(Forssk.) Vierh.,Northern Mariana Islands
Achariaceae,Pangium edule,Reinw.,Northern Mariana Islands
Apocynaceae,Cerbera odollam,Gaertn.,Northern Mariana Islands
Apocynaceae,Ochrosia mariannensis,A.DC.,Northern Mariana Islands
Apocynaceae,Ochrosia oppositifolia,(Lam.) K.Schum.,Northern Mariana Islands
Apocynaceae,Tabernaemontana pandacaqui,Poir.,Northern Mariana Islands
Araliaceae,Meryta senfftiana,Volkens,Northern Mariana Islands
Araliaceae,Osmoxylon mariannense,(Kaneh.) Fosberg & Sachet,Northern Mariana Islands
Arecaceae,Nypa fruticans,Wurmb,Northern Mariana Islands
Asparagaceae,Cordyline fruticosa,(L.) A.Chev.,Northern Mariana Islands
Boraginaceae,Heliotropium arboreum,(Blanco) Mabb.,Northern Mariana Islands
Calophyllaceae,Calophyllum inophyllum,L.,Northern Mariana Islands
Cannabaceae,Trema orientale,(L.) Blume,Northern Mariana Islands
Casuarinaceae,Casuarina equisetifolia,L.,Northern Mariana Islands
Combretaceae,Lumnitzera littorea,(Jack) Voigt,Northern Mariana Islands
Combretaceae,Terminalia rostrata,Fosberg & Falanruw,Northern Mariana Islands
Combretaceae,Terminalia samoensis,Rech.,Northern Mariana Islands
Cycadaceae,Cycas micronesica,K.D.Hill,Northern Mariana Islands
Elaeocarpaceae,Elaeocarpus joga,Merr.,Northern Mariana Islands
Euphorbiaceae,Claoxylon marianum,Müll.Arg.,Northern Mariana Islands
Euphorbiaceae,Croton saipanensis,Hosok.,Northern Mariana Islands
Euphorbiaceae,Macaranga thompsonii,Merr.,Northern Mariana Islands
Euphorbiaceae,Melanolepis multiglandulosa,(Reinw. ex Blume) Rchb. & Zoll.,Northern Mariana Islands
Fabaceae,Cynometra ramiflora,L.,Northern Mariana Islands
Fabaceae,Dendrolobium umbellatum,(L.) Benth.,Northern Mariana Islands
Fabaceae,Intsia bijuga,(Colebr.) Kuntze,Northern Mariana Islands
Fabaceae,Pterocarpus indicus,Willd.,Northern Mariana Islands
Fabaceae,Serianthes nelsonii,Merr.        ,Northern Mariana Islands
Fabaceae,Sophora tomentosa,L.,Northern Mariana Islands
Gentianaceae,Fagraea berteroana,A.Gray ex Benth.,Northern Mariana Islands
Hernandiaceae,Hernandia labyrinthica,Tuyama,Northern Mariana Islands
Hernandiaceae,Hernandia ovigera,L.,Northern Mariana Islands
Icacinaceae,Merrilliodendron megacarpum,(Hemsl.) Sleumer,Northern Mariana Islands
Lamiaceae,Premna serratifolia,L.,Northern Mariana Islands
Lamiaceae,Vitex cofassus,Reinw. ex Blume,Northern Mariana Islands
Lamiaceae,Vitex negundo,L.,Northern Mariana Islands
Lamiaceae,Vitex quinata,(Lour.) F.N.Williams,Northern Mariana Islands
Lamiaceae,Vitex trifolia,L.,Northern Mariana Islands
Lecythidaceae,Barringtonia asiatica,(L.) Kurz,Northern Mariana Islands
Lecythidaceae,Barringtonia racemosa,(L.) Spreng.,Northern Mariana Islands
Loganiaceae,Geniostoma rupestre,J.R.Forst. & G.Forst.,Northern Mariana Islands
Lythraceae,Pemphis acidula,J.R.Forst. & G.Forst.,Northern Mariana Islands
Malvaceae,Grewia crenata,(J.R.Forst. & G.Forst.) Schinz & Guillaumin,Northern Mariana Islands
Malvaceae,Heritiera littoralis,Aiton,Northern Mariana Islands
Malvaceae,Heritiera longipetiolata,Kaneh.,Northern Mariana Islands
Malvaceae,Hibiscus tiliaceus,L.,Northern Mariana Islands
Malvaceae,Melochia villosissima,(C. Presl) Merr.,Northern Mariana Islands
Meliaceae,Aglaia mariannensis,Merr.,Northern Mariana Islands
Meliaceae,Xylocarpus granatum,J.Koenig,Northern Mariana Islands
Moraceae,Artocarpus altilis,(Parkinson ex F.A.Zorn) Fosberg,Northern Mariana Islands
Moraceae,Ficus microcarpa,L.f.,Northern Mariana Islands
Moraceae,Ficus prolixa,G.Forst.,Northern Mariana Islands
Myrtaceae,Eugenia palumbis,Merr.,Northern Mariana Islands
Myrtaceae,Eugenia reinwardtiana,(Blume) DC.,Northern Mariana Islands
Myrtaceae,Myrtella bennigseniana,(Volkens) Diels,Northern Mariana Islands
Olacaceae,Ximenia americana,L.,Northern Mariana Islands
Pandanaceae,Pandanus dubius,Spreng.,Northern Mariana Islands
Pandanaceae,Pandanus tectorius,Parkinson ex Du Roi,Northern Mariana Islands
Primulaceae,Maesa walkeri,Fosberg & Sachet,Northern Mariana Islands
Putranjivaceae,Drypetes dolichocarpa,Kaneh.,Northern Mariana Islands
Rhizophoraceae,Bruguiera gymnorhiza,(L.) Lam.,Northern Mariana Islands
Rhizophoraceae,Rhizophora apiculata,Blume,Northern Mariana Islands
Rhizophoraceae,Rhizophora stylosa,Griff.,Northern Mariana Islands
Rubiaceae,Aidia racemosa,(Cav.) Tirveng.,Northern Mariana Islands
Rubiaceae,Guettarda speciosa,L.,Northern Mariana Islands
Rubiaceae,Ixora triantha,Volkens,Northern Mariana Islands
Rubiaceae,Psychotria hombroniana,(Baill.) Fosberg,Northern Mariana Islands
Rubiaceae,Psydrax odorata,(G.Forst.) A.C.Sm. & S.P.Darwin,Northern Mariana Islands
Sapindaceae,Allophylus laetus,Radlk.,Northern Mariana Islands
Urticaceae,Dendrocnide latifolia,(Gaudich.) Chew,Northern Mariana Islands
Urticaceae,Pipturus argenteus,(G.Forst.) Wedd.,Northern Mariana Islands
