family,taxon,author,native to
Aquifoliaceae,Ilex aquifolium,L.,Norway
Betulaceae,Alnus glutinosa,(L.) Gaertn.,Norway
Betulaceae,Alnus incana,(L.) Moench,Norway
Betulaceae,Betula pendula,Roth,Norway
Betulaceae,Betula pubescens,Ehrh.,Norway
Betulaceae,Corylus avellana,L.,Norway
Celastraceae,Euonymus europaeus,L.,Norway
Cupressaceae,Juniperus communis,L.,Norway
Elaeagnaceae,Hippophae rhamnoides,L.,Norway
Fagaceae,Fagus sylvatica,L.,Norway
Fagaceae,Quercus petraea,(Matt.) Liebl.,Norway
Fagaceae,Quercus robur,L.,Norway
Malvaceae,Tilia cordata,Mill.,Norway
Malvaceae,Tilia platyphyllos,Scop.,Norway
Oleaceae,Fraxinus excelsior,L.,Norway
Pinaceae,Picea abies,(L.) H.Karst.,Norway
Pinaceae,Pinus sylvestris,L.,Norway
Rhamnaceae,Frangula alnus,Mill.,Norway
Rhamnaceae,Rhamnus cathartica,L.,Norway
Rosaceae,Crataegus monogyna,Jacq.,Norway
Rosaceae,Crataegus rhipidophylla,Gand.,Norway
Rosaceae,Malus sylvestris,(L.) Mill.,Norway
Rosaceae,Prunus avium,(L.) L.,Norway
Rosaceae,Prunus padus,L.,Norway
Rosaceae,Prunus spinosa,L.,Norway
Rosaceae,Sorbus aucuparia,L.,Norway
Rosaceae,Sorbus hybrida,L.,Norway
Rosaceae,Sorbus intermedia,(Ehrh.) Pers.,Norway
Rosaceae,Sorbus lancifolia,Hedl.,Norway
Rosaceae,Sorbus meinichii,(Lindeb.) Hedl.,Norway
Rosaceae,Sorbus neglecta,Hedl.,Norway
Rosaceae,Sorbus obtusifolia,(DC.) Hedl.,Norway
Rosaceae,Sorbus rupicola,(Syme) Hedl.,Norway
Rosaceae,Sorbus sognensis,"Hedl. ex Sennikov, Hjertson & Salvesen",Norway
Rosaceae,Sorbus subarranensis,"Hyl. ex Sennikov, Hjertson & Salvesen",Norway
Rosaceae,Sorbus subpinnata,Hedl.,Norway
Rosaceae,Sorbus subsimilis,Hedl.,Norway
Salicaceae,Populus tremula,L.,Norway
Salicaceae,Salix alba,L.,Norway
Salicaceae,Salix bebbiana,Sarg.,Norway
Salicaceae,Salix caprea,L.,Norway
Salicaceae,Salix cinerea,L.,Norway
Salicaceae,Salix daphnoides,Vill.,Norway
Salicaceae,Salix glauca,L.,Norway
Salicaceae,Salix myrsinifolia,Salisb.,Norway
Salicaceae,Salix pentandra,L.,Norway
Salicaceae,Salix phylicifolia,L.,Norway
Salicaceae,Salix triandra,L.,Norway
Sapindaceae,Acer platanoides,L.,Norway
Taxaceae,Taxus baccata,L.,Norway
Ulmaceae,Ulmus glabra,Huds.,Norway
Viburnaceae,Sambucus nigra,L.,Norway
Viburnaceae,Sambucus racemosa,L.,Norway
