family,taxon,author,native to
Acanthaceae,Avicennia marina,(Forssk.) Vierh.,Oman
Acanthaceae,Blepharis dhofarensis,A.G.Mill.,Oman
Anacardiaceae,Pistacia falcata,Becc. ex Martelli,Oman
Anacardiaceae,Searsia aucheri,(Boiss.) Moffett,Oman
Anacardiaceae,Searsia retinorrhoea,(Steud. ex Oliv.) Moffett,Oman
Anacardiaceae,Searsia somalensis,(Engl.) Moffett,Oman
Apocynaceae,Adenium obesum,(Forssk.) Roem. & Schult.,Oman
Apocynaceae,Calotropis procera,(Aiton) W.T.Aiton,Oman
Apocynaceae,Carissa spinarum,L.,Oman
Apocynaceae,Periploca aphylla,Decne.,Oman
Arecaceae,Nannorrhops ritchieana,(Griff.) Aitch.,Oman
Arecaceae,Phoenix dactylifera,L.,Oman
Asparagaceae,Dracaena serrulata,Baker,Oman
Asteraceae,Blepharispermum hirtum,Oliv.,Oman
Bignoniaceae,Tecomella undulata,(Sm.) Seem.,Oman
Boraginaceae,Cordia crenata,Delile,Oman
Boraginaceae,Cordia monoica,Roxb.,Oman
Boraginaceae,Cordia obovata,Balf.f.,Oman
Boraginaceae,Ehretia obtusifolia,Hochst. ex A.DC.,Oman
Burseraceae,Boswellia sacra,Flück.,Oman
Burseraceae,Commiphora foliacea,Sprague,Oman
Burseraceae,Commiphora gileadensis,(L.) C.Chr.,Oman
Burseraceae,Commiphora kua,(R.Br. ex Royle) Vollesen,Oman
Capparaceae,Boscia arabica,Pestal.,Oman
Capparaceae,Cadaba farinosa,Forssk.,Oman
Capparaceae,Cadaba linearifolia,(J.Graham) M.R.Almeida,Oman
Capparaceae,Capparis cartilaginea,Decne.,Oman
Capparaceae,Capparis decidua,(Forssk.) Edgew.,Oman
Capparaceae,Maerua crassifolia,Forssk.,Oman
Celastraceae,Gymnosporia dhofarensis,(Sebsebe) Jordaan,Oman
Celastraceae,Gymnosporia senegalensis,(Lam.) Loes.,Oman
Combretaceae,Terminalia dhofarica,(A.J.Scott) Gere & Boatwr.,Oman
Cupressaceae,Juniperus excelsa,M.Bieb.,Oman
Cupressaceae,Juniperus seravschanica,Kom.,Oman
Ebenaceae,Euclea racemosa,L.,Oman
Euphorbiaceae,Euphorbia cuneata,Vahl,Oman
Euphorbiaceae,Euphorbia smithii,S.Carter,Oman
Fabaceae,Cadia purpurea,(G.Piccioli) Aiton,Oman
Fabaceae,Ceratonia oreothauma,"Hillc., G.P.Lewis & Verdc.",Oman
Fabaceae,Dichrostachys cinerea,(L.) Wight & Arn.,Oman
Fabaceae,Guilandina bonduc,L.,Oman
Fabaceae,Prosopis cineraria,(L.) Druce,Oman
Fabaceae,Senegalia asak,(Forssk.) Kyal. & Boatwr.,Oman
Fabaceae,Senegalia hamulosa,(Benth.) Boatwr.,Oman
Fabaceae,Senegalia laeta,(R.Br. ex Benth.) Seigler & Ebinger,Oman
Fabaceae,Senegalia senegal,(L.) Britton,Oman
Fabaceae,Senna alexandrina,Mill.,Oman
Fabaceae,Vachellia eburnea,(L. f.) P.J.H. Hurter & Mabb.,Oman
Fabaceae,Vachellia etbaica,(Schweinf.) Kyal. & Boatwr.,Oman
Fabaceae,Vachellia flava,(Forssk.) Kyal. & Boatwr.,Oman
Fabaceae,Vachellia gerrardii,(Benth.) P.J.H.Hurter,Oman
Fabaceae,Vachellia nilotica,(L.) P.J.H.Hurter & Mabb.,Oman
Fabaceae,Vachellia oerfota,(Forssk.) Kyal. & Boatwr.,Oman
