family,taxon,author,native to
Acanthaceae,Avicennia marina,(Forssk.) Vierh.,Pakistan
Amaranthaceae,Haloxylon persicum,Bunge,Pakistan
Amaranthaceae,Xylosalsola richteri,(Moq.) Akhani & Roalson,Pakistan
Anacardiaceae,Cotinus coggygria,Scop.,Pakistan
Anacardiaceae,Pistacia atlantica,Desf.,Pakistan
Anacardiaceae,Pistacia eurycarpa,Yaltirik,Pakistan
Anacardiaceae,Pistacia khinjuk,Stocks,Pakistan
Anacardiaceae,Rhus punjabensis,J.L.Stewart ex Brandis,Pakistan
Anacardiaceae,Toxicodendron acuminatum,(DC.) C.Y.Wu & T.L.Ming,Pakistan
Annonaceae,Miliusa velutina,(Dunal) Hook.f. & Thomson,Pakistan
Apocynaceae,Alstonia scholaris,(L.) R.Br.,Pakistan
Apocynaceae,Calotropis procera,(Aiton) W.T.Aiton,Pakistan
Apocynaceae,Carissa spinarum,L.,Pakistan
Apocynaceae,Periploca aphylla,Decne.,Pakistan
Apocynaceae,Wrightia coccinea,(Roxb. ex Hornem.) Sims,Pakistan
Aquifoliaceae,Ilex excelsa,(Wall.) Voigt,Pakistan
Arecaceae,Nannorrhops ritchieana,(Griff.) Aitch.,Pakistan
Arecaceae,Phoenix loureiroi,Kunth,Pakistan
Arecaceae,Phoenix sylvestris,(L.) Roxb.,Pakistan
Asteraceae,Blumea balsamifera,DC.,Pakistan
Betulaceae,Alnus nitida,(Spach) Endl.,Pakistan
Betulaceae,Betula cylindrostachya,Wall.,Pakistan
Betulaceae,Betula utilis,D.Don,Pakistan
Betulaceae,Corylus jacquemontii,Decne.,Pakistan
Bignoniaceae,Tecomella undulata,(Sm.) Seem.,Pakistan
Boraginaceae,Cordia dichotoma,G.Forst.,Pakistan
Boraginaceae,Cordia myxa,L.,Pakistan
Boraginaceae,Cordia sinensis,Lam.,Pakistan
Boraginaceae,Cordia vestita,(A.DC.) Hook.f. & Thomson,Pakistan
Boraginaceae,Ehretia aspera,Willd.,Pakistan
Boraginaceae,Ehretia obtusifolia,Hochst. ex A.DC.,Pakistan
Burseraceae,Boswellia serrata,Roxb.,Pakistan
Burseraceae,Commiphora stocksiana,(Engl.) Engl.,Pakistan
Burseraceae,Commiphora wightii,(Arn.) Bhandari,Pakistan
Cannabaceae,Celtis australis,L.,Pakistan
Cannabaceae,Trema politoria,(Planch.) Blume,Pakistan
Cannabaceae,Trema tomentosum,(Roxb.) H.Hara,Pakistan
Capparaceae,Cadaba farinosa,Forssk.,Pakistan
Capparaceae,Cadaba linearifolia,(J.Graham) M.R.Almeida,Pakistan
Capparaceae,Capparis cartilaginea,Decne.,Pakistan
Capparaceae,Capparis decidua,(Forssk.) Edgew.,Pakistan
Capparaceae,Maerua crassifolia,Forssk.,Pakistan
Celastraceae,Euonymus echinatus,Wall.,Pakistan
Celastraceae,Euonymus hamiltonianus,Wall.,Pakistan
Celastraceae,Euonymus lucidus,D.Don,Pakistan
Celastraceae,Gymnosporia senegalensis,(Lam.) Loes.,Pakistan
Celastraceae,Lophopetalum wightianum,Arn.,Pakistan
Combretaceae,Terminalia anogeissiana,Gere & Boatwr.,Pakistan
Combretaceae,Terminalia arjuna,(Roxb. ex DC.) Wight & Arn.,Pakistan
Combretaceae,Terminalia bellirica,(Gaertn.) Roxb.,Pakistan
Cornaceae,Alangium salviifolium,(L.f.) Wangerin,Pakistan
Cornaceae,Cornus macrophylla,Wall.,Pakistan
Cornaceae,Cornus oblonga,Wall.,Pakistan
Cupressaceae,Juniperus communis,L.,Pakistan
Cupressaceae,Juniperus excelsa,M.Bieb.,Pakistan
Cupressaceae,Juniperus indica,Bertol.,Pakistan
Cupressaceae,Juniperus pseudosabina,Fisch. & C.A.Mey.,Pakistan
Cupressaceae,Juniperus recurva,Buch.-Ham. ex D.Don,Pakistan
Cupressaceae,Juniperus seravschanica,Kom.,Pakistan
Daphniphyllaceae,Daphniphyllum chartaceum,K.Rosenthal,Pakistan
Dipterocarpaceae,Shorea robusta,C.F.Gaertn.,Pakistan
Ebenaceae,Diospyros lotus,L.,Pakistan
Elaeagnaceae,Elaeagnus angustifolia,L.,Pakistan
Elaeagnaceae,Hippophae rhamnoides,L.,Pakistan
Ericaceae,Lyonia ovalifolia,(Wall.) Drude,Pakistan
Ericaceae,Rhododendron arboreum,Sm.,Pakistan
Ericaceae,Rhododendron campanulatum,D.Don,Pakistan
Euphorbiaceae,Croton caudatus,Geiseler,Pakistan
Euphorbiaceae,Euphorbia antiquorum,L.,Pakistan
Euphorbiaceae,Euphorbia neriifolia,L.,Pakistan
