family,taxon,author,native to
Acanthaceae,Avicennia alba,Blume,Palau
Achariaceae,Pangium edule,Reinw.,Palau
Anacardiaceae,Buchanania engleriana,Volkens,Palau
Anacardiaceae,Buchanania palawensis,Lauterb.,Palau
Anacardiaceae,Campnosperma brevipetiolatum,Volkens,Palau
Anacardiaceae,Rhus taitensis,Guill.,Palau
Anacardiaceae,Semecarpus venenosus,Volkens,Palau
Annonaceae,Goniothalamus carolinensis,Kaneh.,Palau
Annonaceae,Monoon merrillii,(Kaneh.) I.M.Turner & Utteridge,Palau
Apocynaceae,Cerbera floribunda,K.Schum.,Palau
Apocynaceae,Cerbera manghas,L.,Palau
Apocynaceae,Kopsia flavida,Blume,Palau
Apocynaceae,Ochrosia oppositifolia,(Lam.) K.Schum.,Palau
Apocynaceae,Rauvolfia insularis,Markgr.,Palau
Apocynaceae,Tabernaemontana aurantiaca,Gaudich.,Palau
Araliaceae,Meryta senfftiana,Volkens,Palau
Araliaceae,Osmoxylon leidichii,Costion,Palau
Araliaceae,Osmoxylon ngardokense,Costion,Palau
Araliaceae,Osmoxylon pachyphyllum,(Kaneh.) Fosberg & Sachet,Palau
Araliaceae,Osmoxylon truncatum,(Kaneh.) Fosberg & Sachet,Palau
Arecaceae,Heterospathe elata,Scheff.,Palau
Arecaceae,Hydriastele palauensis,(Becc.) W.J.Baker & Loo,Palau
Arecaceae,Nypa fruticans,Wurmb,Palau
Arecaceae,Pinanga insignis,Becc.,Palau
Arecaceae,Ponapea palauensis,Kaneh.,Palau
Asparagaceae,Cordyline fruticosa,(L.) A.Chev.,Palau
Asparagaceae,Dracaena multiflora,Warb. ex P.Sarasin & Sarasin,Palau
Bignoniaceae,Dolichandrone spathacea,(L.f.) Seem.,Palau
Boraginaceae,Cordia micronesica,Kaneh. & Hatus.,Palau
Boraginaceae,Heliotropium arboreum,(Blanco) Mabb.,Palau
Burseraceae,Canarium hirsutum,Willd.,Palau
Calophyllaceae,Calophyllum inophyllum,L.,Palau
Calophyllaceae,Calophyllum pelewense,P.F.Stevens,Palau
Calophyllaceae,Kayea pacifica,Hosok.,Palau
Cannabaceae,Celtis paniculata,(Endl.) Planch.,Palau
Cannabaceae,Gironniera celtidifolia,Gaudich.,Palau
Casuarinaceae,Casuarina equisetifolia,L.,Palau
Chrysobalanaceae,Atuna excelsa,(Jack) Kosterm.,Palau
Clusiaceae,Garcinia matsudae,Kaneh.,Palau
Combretaceae,Lumnitzera littorea,(Jack) Voigt,Palau
Combretaceae,Terminalia crassipes,Kaneh. & Hatus.,Palau
Combretaceae,Terminalia samoensis,Rech.,Palau
Connaraceae,Connarus semidecandrus,Jack,Palau
Cycadaceae,Cycas micronesica,K.D.Hill,Palau
Ebenaceae,Diospyros foliosa,(Rich. ex A.Gray) Bakh.,Palau
Ebenaceae,Diospyros palauensis,(Kaneh.) Hosok.,Palau
Elaeocarpaceae,Elaeocarpus joga,Merr.,Palau
Elaeocarpaceae,Elaeocarpus rubidus,Kaneh.,Palau
Euphorbiaceae,Claoxylon longiracemosum,Hosok.,Palau
Euphorbiaceae,Cleidion sessile,Kaneh. & Hatus.,Palau
Euphorbiaceae,Excoecaria agallocha,L.,Palau
Euphorbiaceae,Macaranga carolinensis,Volkens,Palau
