family,taxon,author,native to
Acanthaceae,Aphelandra gracilis,Leonard,Panama
Acanthaceae,Aphelandra scabra,(Vahl) Sm.,Panama
Acanthaceae,Avicennia bicolor,Standl.,Panama
Acanthaceae,Avicennia germinans,(L.) L.,Panama
Acanthaceae,Bravaisia integerrima,(Spreng.) Standl.,Panama
Acanthaceae,Justicia aurea,Schltdl.,Panama
Acanthaceae,Justicia macrantha,Benth.,Panama
Acanthaceae,Justicia spicigera,Schltdl.,Panama
Acanthaceae,Trichanthera gigantea,(Bonpl.) Nees,Panama
Achariaceae,Carpotroche longifolia,(Poepp.) Benth.,Panama
Achariaceae,Carpotroche platyptera,Pittier,Panama
Achariaceae,Lindackeria laurina,C.Presl,Panama
Achariaceae,Mayna grandifolia,(H.Karst. & Triana) Warb.,Panama
Achariaceae,Mayna odorata,Aubl.,Panama
Actinidiaceae,Saurauia montana,Seem.,Panama
Actinidiaceae,Saurauia pittieri,Donn.Sm.,Panama
Actinidiaceae,Saurauia rubiformis,Vatke,Panama
Actinidiaceae,Saurauia seibertii,Standl.,Panama
Actinidiaceae,Saurauia yasicae,Loes.,Panama
Alzateaceae,Alzatea verticillata,Ruiz & Pav.,Panama
Anacardiaceae,Anacardium excelsum,(Bertero ex Kunth) Skeels,Panama
Anacardiaceae,Astronium graveolens,Jacq.,Panama
Anacardiaceae,Campnosperma panamense,Standl.,Panama
Anacardiaceae,Mauria heterophylla,Kunth,Panama
Anacardiaceae,Mosquitoxylum jamaicense,Krug & Urb.,Panama
Anacardiaceae,Ochoterenaea colombiana,F.A.Barkley,Panama
Anacardiaceae,Spondias mombin,L.,Panama
Anacardiaceae,Spondias purpurea,L.,Panama
Anacardiaceae,Spondias radlkoferi,Donn.Sm.,Panama
Anacardiaceae,Tapirira guianensis,Aubl.,Panama
Anacardiaceae,Tapirira mexicana,Marchand,Panama
Anacardiaceae,Tapirira rubrinervis,Barfod        ,Panama
Anacardiaceae,Toxicodendron striatum,(Ruiz & Pav.) Kuntze,Panama
Annonaceae,Anaxagorea allenii,R.E.Fr.,Panama
Annonaceae,Anaxagorea crassipetala,Hemsl.,Panama
Annonaceae,Anaxagorea phaeocarpa,Mart.,Panama
Annonaceae,Annona acuminata,Saff.,Panama
Annonaceae,Annona billbergii,R.E.Fr.,Panama
Annonaceae,Annona caesia,"G. E. Schatz, C. Ramos & O. Ortiz",Panama
Annonaceae,Annona cherimola,Mill.,Panama
Annonaceae,Annona danforthii,(Standl.) H.Rainer,Panama
Annonaceae,Annona glabra,L.,Panama
Annonaceae,Annona hayesii,Saff.,Panama
Annonaceae,Annona inconformis,Pittier,Panama
Annonaceae,Annona montana,Macfad.,Panama
Annonaceae,Annona mucosa,Jacq.,Panama
Annonaceae,Annona muricata,L.,Panama
Annonaceae,Annona papilionella,(Diels) H.Rainer,Panama
Annonaceae,Annona pittieri,Donn.Sm.,Panama
Annonaceae,Annona purpurea,Moc. & Sessé ex Dunal,Panama
Annonaceae,Annona rensoniana,(Standl.) H.Rainer,Panama
Annonaceae,Annona reticulata,L.,Panama
Annonaceae,Annona spraguei,Saff.,Panama
Annonaceae,Annona squamosa,L.,Panama
Annonaceae,Cremastosperma panamense,Maas,Panama
Annonaceae,Cremastosperma westrae,Pirie,Panama
Annonaceae,Cymbopetalum brasiliense,(Vell.) Benth. ex Baill.,Panama
Annonaceae,Cymbopetalum costaricense,(Donn.Sm.) R.E.Fr.,Panama
Annonaceae,Cymbopetalum lanugipetalum,Schery,Panama
Annonaceae,Cymbopetalum rugulosum,N.A.Murray,Panama
Annonaceae,Cymbopetalum torulosum,G.E.Schatz,Panama
Annonaceae,Desmopsis bibracteata,(B.L.Rob.) Saff.,Panama
Annonaceae,Desmopsis biseriata,G.E.Schatz & Maas,Panama
Annonaceae,Desmopsis brachypoda,G.E.Schatz & Maas,Panama
Annonaceae,Desmopsis confusa,"G.E.Schatz, N.Zamora & Maas",Panama
Annonaceae,Desmopsis dukei,G.E.Schatz,Panama
Annonaceae,Desmopsis maxonii,Saff.,Panama
Annonaceae,Desmopsis microcarpa,R.E.Fr.,Panama
Annonaceae,Desmopsis nigrescens,G.E.Schatz,Panama
Annonaceae,Desmopsis panamensis,(B.L.Rob.) Saff.,Panama
Annonaceae,Desmopsis schippii,Standl.,Panama
Annonaceae,Desmopsis standleyana,G.E.Schatz & Ortíz-Rodr.,Panama
Annonaceae,Desmopsis tubiflora,(G.E.Schatz & Maas) G.E.Schatz & Ortíz-Rodr.,Panama
Annonaceae,Desmopsis verrucipes,"Chatrou, G.E.Schatz & N.Zamora",Panama
Annonaceae,Duguetia confusa,Maas,Panama
Annonaceae,Duguetia gentryi,Maas,Panama
Annonaceae,Duguetia panamensis,Standl.,Panama
Annonaceae,Duguetia tuberculata,Maas,Panama
Annonaceae,Duguetia vallicola,J.F.Macbr.,Panama
Annonaceae,Guatteria aberrans,Erkens & Maas,Panama
Annonaceae,Guatteria acrantha,Erkens & Maas,Panama
Annonaceae,Guatteria aeruginosa,Standl.,Panama
Annonaceae,Guatteria alata,Maas & Setten,Panama
Annonaceae,Guatteria aliciae,Maas & Erkens,Panama
Annonaceae,Guatteria allenii,R.E.Fr.,Panama
Annonaceae,Guatteria amplifolia,Triana & Planch.,Panama
Annonaceae,Guatteria chiriquiensis,R.E.Fr.,Panama
Annonaceae,Guatteria costaricensis,R.E.Fr.,Panama
Annonaceae,Guatteria darienensis,Susana Arias & Maas,Panama
Annonaceae,Guatteria dolichopoda,Donn.Sm.,Panama
Annonaceae,Guatteria jefensis,Barringer,Panama
Annonaceae,Guatteria lucens,Standl.,Panama
Annonaceae,Guatteria oliviformis,Donn.Sm.,Panama
Annonaceae,Guatteria panamensis,(R.E.Fr.) R.E.Fr.,Panama
Annonaceae,Guatteria pseudorotundata,Maas & Erkens,Panama
Annonaceae,Guatteria rotundata,Maas & Setten,Panama
Annonaceae,Guatteria rubiginosa,N.Zamora & Maas,Panama
Annonaceae,Guatteria sessilicarpa,Maas & Setten,Panama
Annonaceae,Guatteria slateri,Standl.,Panama
Annonaceae,Guatteria tacarcunae,Erkens & Maas,Panama
Annonaceae,Guatteria tomentosa,Rusby,Panama
Annonaceae,Guatteria ucayalina,Huber,Panama
Annonaceae,Guatteria zamorae,Erkens & Maas,Panama
Annonaceae,Klarobelia anomala,(R.E.Fr.) Chatrou,Panama
Annonaceae,Malmea dimera,Chatrou,Panama
Annonaceae,Mosannona garwoodiae,Chatrou & Welzenis,Panama
Annonaceae,Mosannona hypoglauca,(Standl.) Chatrou,Panama
Annonaceae,Mosannona maculata,Chatrou & Welzenis,Panama
Annonaceae,Oxandra longipetala,R.E.Fr.,Panama
Annonaceae,Oxandra panamensis,R.E.Fr.,Panama
Annonaceae,Oxandra venezuelana,R.E.Fr.,Panama
Annonaceae,Porcelia magnifructa,(Schery) R.E. Fr.,Panama
Annonaceae,Pseudomalmea darienensis,Chatrou,Panama
Annonaceae,Sapranthus viridiflorus,G.E. Schatz,Panama
Annonaceae,Unonopsis bullata,Maas & G.E.Schatz,Panama
Annonaceae,Unonopsis darienensis,Maas & Westra,Panama
Annonaceae,Unonopsis hammelii,G.E. Schatz & Maas,Panama
Annonaceae,Unonopsis longipes,Maas & Westra,Panama
Annonaceae,Unonopsis macrocarpa,Maas & Setten,Panama
Annonaceae,Unonopsis megalosperma,Maas & Westra,Panama
Annonaceae,Unonopsis pacifica,R.E.Fr.,Panama
Annonaceae,Unonopsis panamensis,R.E.Fr.,Panama
Annonaceae,Unonopsis pittieri,Saff.,Panama
Annonaceae,Unonopsis storkii,Standl. & L.O.Williams,Panama
Annonaceae,Xylopia aromatica,(Lam.) Mart.,Panama
Annonaceae,Xylopia bocatorena,Schery,Panama
Annonaceae,Xylopia discreta,(L.f.) Sprague & Hutch.,Panama
Annonaceae,Xylopia frutescens,Aubl.,Panama
Annonaceae,Xylopia macrantha,Planch. & Triana,Panama
Annonaceae,Xylopia panamensis,G.E. Schatz,Panama
Annonaceae,Xylopia sericea,A.St.-Hil.,Panama
Annonaceae,Xylopia sericophylla,Standl. & L.O. Williams,Panama
Apiaceae,Myrrhidendron donnellsmithii,J.M.Coult. & Rose,Panama
Apocynaceae,Alstonia longifolia,(A.DC.) Pichon,Panama
Apocynaceae,Aspidosperma crypticum,J.F.Morales & N.Zamora,Panama
Apocynaceae,Aspidosperma cuspa,(Kunth) S.F.Blake ex Pittier,Panama
Apocynaceae,Aspidosperma darienense,Woodson ex Dwyer,Panama
Apocynaceae,Aspidosperma desmanthum,Benth. ex Müll.Arg.,Panama
Apocynaceae,Aspidosperma excelsum,Benth.,Panama
Apocynaceae,Aspidosperma megalocarpon,Müll.Arg.,Panama
Apocynaceae,Aspidosperma spruceanum,Benth. ex Müll.Arg.,Panama
Apocynaceae,Cascabela thevetia,(L.) Lippold,Panama
Apocynaceae,Couma macrocarpa,Barb.Rodr.,Panama
Apocynaceae,Himatanthus articulatus,(Vahl) Woodson,Panama
Apocynaceae,Lacmellea edulis,H.Karst.,Panama
