family,taxon,author,native to
Acanthaceae,Avicennia alba,Blume,Papua New Guinea
Acanthaceae,Avicennia marina,(Forssk.) Vierh.,Papua New Guinea
Acanthaceae,Avicennia officinalis,L.,Papua New Guinea
Achariaceae,Erythrospermum candidum,(Becc.) Becc.,Papua New Guinea
Achariaceae,Pangium edule,Reinw.,Papua New Guinea
Achariaceae,Ryparosa javanica,Koord. & Valeton,Papua New Guinea
Achariaceae,Trichadenia philippinensis,Merr.,Papua New Guinea
Actinidiaceae,Saurauia conferta,Warb.,Papua New Guinea
Actinidiaceae,Saurauia congestiflora,A.C.Sm.,Papua New Guinea
Actinidiaceae,Saurauia purgans,B.L.Burtt,Papua New Guinea
Actinidiaceae,Saurauia rufa,Burkill,Papua New Guinea
Anacardiaceae,Buchanania amboinensis,Miq.,Papua New Guinea
Anacardiaceae,Buchanania arborescens,(Blume) Blume,Papua New Guinea
Anacardiaceae,Buchanania macrocarpa,Lauterb.,Papua New Guinea
Anacardiaceae,Campnosperma brevipetiolatum,Volkens,Papua New Guinea
Anacardiaceae,Campnosperma montanum,Lauterb.,Papua New Guinea
Anacardiaceae,Dracontomelon dao,(Blanco) Merr. & Rolfe,Papua New Guinea
Anacardiaceae,Dracontomelon lenticulatum,Wilk.,Papua New Guinea
Anacardiaceae,Euroschinus papuanus,Merr. & L.M.Perry,Papua New Guinea
Anacardiaceae,Gluta papuana,Ding Hou,Papua New Guinea
Anacardiaceae,Mangifera altissima,Blanco,Papua New Guinea
Anacardiaceae,Mangifera caesia,Jack,Papua New Guinea
Anacardiaceae,Mangifera inocarpoides,Merr. & L.M.Perry,Papua New Guinea
Anacardiaceae,Mangifera minor,Blume,Papua New Guinea
Anacardiaceae,Pentaspadon motleyi,Hook.f.,Papua New Guinea
Anacardiaceae,Pleiogynium papuanum,C.T.White,Papua New Guinea
Anacardiaceae,Pleiogynium timoriense,(DC.) Leenh.,Papua New Guinea
Anacardiaceae,Rhus taitensis,Guill.,Papua New Guinea
Anacardiaceae,Semecarpus australiensis,Engl.,Papua New Guinea
Anacardiaceae,Semecarpus brachystachys,Merr. & L.M.Perry,Papua New Guinea
Anacardiaceae,Semecarpus cassuvium,Roxb.,Papua New Guinea
Anacardiaceae,Semecarpus forstenii,Blume,Papua New Guinea
Anacardiaceae,Semecarpus magnificus,K.Schum.,Papua New Guinea
Anacardiaceae,Semecarpus schlechteri,Lauterb.,Papua New Guinea
Anacardiaceae,Solenocarpus philippinensis,(Elmer) Kosterm.,Papua New Guinea
Anacardiaceae,Spondias malayana,Kosterm.,Papua New Guinea
Annonaceae,Cananga odorata,(Lam.) Hook.f. & Thomson,Papua New Guinea
Annonaceae,Drepananthus cauliflorus,(K.Schum. & Lauterb.) Survesw. & R.M.K.Saunders,Papua New Guinea
Annonaceae,Drepananthus lucidus,(Diels) Survesw. & R.M.K.Saunders,Papua New Guinea
Annonaceae,Drepananthus obtusifolius,(Becc. & Scheff.) Survesw. & R.M.K.Saunders,Papua New Guinea
Annonaceae,Drepananthus petiolatus,(Diels) Survesw. & R.M.K.Saunders,Papua New Guinea
Annonaceae,Goniothalamus aruensis,Scheff.,Papua New Guinea
Annonaceae,Goniothalamus caloneurus,Miq.,Papua New Guinea
Annonaceae,Goniothalamus cauliflorus,K.Schum.,Papua New Guinea
Annonaceae,Goniothalamus coriaceus,Burck,Papua New Guinea
Annonaceae,Goniothalamus grandiflorus,(Warb.) Boerl.,Papua New Guinea
Annonaceae,Goniothalamus imbricatus,Scheff.,Papua New Guinea
Annonaceae,Goniothalamus viridiflorus,K.Schum. & Lauterb.,Papua New Guinea
Annonaceae,Huberantha hirta,(Miq.) Chaowasku,Papua New Guinea
Annonaceae,Huberantha nitidissima,(Dunal) Chaowasku,Papua New Guinea
