family,taxon,author,native to
Achatocarpaceae,Achatocarpus hasslerianus,Heimerl,Paraguay
Achatocarpaceae,Achatocarpus microcarpus,Schinz & Autran,Paraguay
Anacardiaceae,Anacardium humile,A.St.-Hil.,Paraguay
Anacardiaceae,Astronium balansae,Engl.,Paraguay
Anacardiaceae,Astronium fraxinifolium,Schott,Paraguay
Anacardiaceae,Astronium graveolens,Jacq.,Paraguay
Anacardiaceae,Lithraea molleoides,(Vell.) Engl.,Paraguay
Anacardiaceae,Myracrodruon urundeuva,Allemão,Paraguay
Anacardiaceae,Schinopsis balansae,Engl.,Paraguay
Anacardiaceae,Schinopsis boqueronensis,Mogni & Oakley,Paraguay
Anacardiaceae,Schinopsis brasiliensis,Engl.,Paraguay
Anacardiaceae,Schinopsis cornuta,Loes. ex Herzog,Paraguay
Anacardiaceae,Schinopsis heterophylla,Ragon. & J. Castigl.,Paraguay
Anacardiaceae,Schinopsis lorentzii,(Griseb.) Engl.,Paraguay
Anacardiaceae,Schinus fasciculata,(Griseb.) I.M. Johnst.,Paraguay
Anacardiaceae,Schinus ferox,Hassl.,Paraguay
Anacardiaceae,Schinus lentiscifolius,Marchand,Paraguay
Anacardiaceae,Schinus longifolia,(Lindl.) Speg.,Paraguay
Anacardiaceae,Schinus molle,L.,Paraguay
Anacardiaceae,Schinus terebinthifolia,Raddi,Paraguay
Anacardiaceae,Spondias mombin,L.,Paraguay
Anacardiaceae,Tapirira guianensis,Aubl.,Paraguay
Annonaceae,Annona cacans,Warm.,Paraguay
Annonaceae,Annona coriacea,Mart.,Paraguay
Annonaceae,Annona cornifolia,A.St.-Hil.,Paraguay
Annonaceae,Annona crassiflora,Mart.,Paraguay
Annonaceae,Annona dioica,A.St.-Hil.,Paraguay
Annonaceae,Annona neosalicifolia,H.Rainer,Paraguay
Annonaceae,Annona nutans,(R.E.Fr.) R.E.Fr.,Paraguay
Annonaceae,Xylopia aromatica,(Lam.) Mart.,Paraguay
Apocynaceae,Aspidosperma australe,Müll.Arg.,Paraguay
Apocynaceae,Aspidosperma cuspa,(Kunth) S.F.Blake ex Pittier,Paraguay
Apocynaceae,Aspidosperma cylindrocarpon,Müll.Arg.,Paraguay
Apocynaceae,Aspidosperma macrocarpon,Mart.,Paraguay
Apocynaceae,Aspidosperma polyneuron,Müll.Arg.,Paraguay
Apocynaceae,Aspidosperma pyrifolium,Mart.,Paraguay
Apocynaceae,Aspidosperma quebracho-blanco,Schltdl.,Paraguay
Apocynaceae,Aspidosperma quirandy,Hassl.,Paraguay
Apocynaceae,Aspidosperma riedelii,Müll.Arg.,Paraguay
Apocynaceae,Aspidosperma subincanum,Mart.,Paraguay
Apocynaceae,Aspidosperma tomentosum,Mart.,Paraguay
Apocynaceae,Aspidosperma triternatum,Rojas Acosta,Paraguay
Apocynaceae,Cascabela thevetia,(L.) Lippold,Paraguay
Apocynaceae,Hancornia speciosa,Gomes,Paraguay
Apocynaceae,Rauvolfia ligustrina,Roem. & Schult.,Paraguay
