family,taxon,author,native to
Acanthaceae,Aphelandra acanthifolia,Hook.,Peru
Acanthaceae,Aphelandra acanthus,Nees,Peru
Acanthaceae,Aphelandra formosa,(Bonpl.) Nees,Peru
Acanthaceae,Aphelandra pulcherrima,(Jacq.) Kunth,Peru
Acanthaceae,Avicennia germinans,(L.) L.,Peru
Acanthaceae,Bravaisia integerrima,(Spreng.) Standl.,Peru
Acanthaceae,Ruellia chartacea,(T. Anderson) Wassh.,Peru
Acanthaceae,Sanchezia klugii,Leonard & L.B.Sm.      ,Peru
Acanthaceae,Sanchezia scandens,(Lindau) Leonard & L.B.Sm.,Peru
Acanthaceae,Trichanthera gigantea,(Bonpl.) Nees,Peru
Achariaceae,Carpotroche longifolia,(Poepp.) Benth.,Peru
Achariaceae,Carpotroche pacifica,(Cuatrec.) Cuatrec.,Peru
Achariaceae,Lindackeria paludosa,(Benth.) Gilg,Peru
Achariaceae,Mayna grandifolia,(H.Karst. & Triana) Warb.,Peru
Achariaceae,Mayna odorata,Aubl.,Peru
Achatocarpaceae,Achatocarpus pubescens,C.H.Wright,Peru
Actinidiaceae,Saurauia bullosa,Wawra,Peru
Actinidiaceae,Saurauia lehmannii,Hieron.,Peru
Actinidiaceae,Saurauia prainiana,Buscal.,Peru
Alzateaceae,Alzatea verticillata,Ruiz & Pav.,Peru
Amaranthaceae,Alternanthera rugulosa,(B.L.Rob.) J.T.Howell,Peru
Anacardiaceae,Anacardium giganteum,Hancock ex Engl.,Peru
Anacardiaceae,Anacardium microsepalum,Loes.,Peru
Anacardiaceae,Anacardium occidentale,L.,Peru
Anacardiaceae,Anacardium parvifolium,Ducke,Peru
Anacardiaceae,Antrocaryon amazonicum,(Ducke) B.L.Burtt & A.W.Hill,Peru
Anacardiaceae,Astronium fraxinifolium,Schott,Peru
Anacardiaceae,Astronium graveolens,Jacq.,Peru
Anacardiaceae,Astronium lecointei,Ducke,Peru
Anacardiaceae,Campnosperma gummiferum,(Benth.) Marchand,Peru
Anacardiaceae,Haplorhus peruviana,Engl.,Peru
Anacardiaceae,Loxopterygium huasango,Spruce ex Engl.,Peru
Anacardiaceae,Mauria ferruginea,Tul.,Peru
Anacardiaceae,Mauria heterophylla,Kunth,Peru
Anacardiaceae,Mauria killipii,F.A. Barkley,Peru
Anacardiaceae,Mauria peruviana,Cuatrec.        ,Peru
Anacardiaceae,Mauria sericea,Loes.,Peru
Anacardiaceae,Mauria simplicifolia,Kunth,Peru
Anacardiaceae,Mauria subserrata,Loes.,Peru
Anacardiaceae,Mauria trichothyrsa,Loes.,Peru
Anacardiaceae,Ochoterenaea colombiana,F.A.Barkley,Peru
Anacardiaceae,Orthopterygium huaucui,Hemsl.        ,Peru
Anacardiaceae,Schinopsis lorentzii,(Griseb.) Engl.,Peru
Anacardiaceae,Schinopsis peruviana,Engl.,Peru
Anacardiaceae,Schinus microphylla,I.M.Johnst.,Peru
Anacardiaceae,Schinus molle,L.,Peru
Anacardiaceae,Schinus pearcei,Engl.,Peru
Anacardiaceae,Schinus polygama,(Cav.) Cabrera,Peru
Anacardiaceae,Spondias globosa,J.D.Mitch. & Daly,Peru
Anacardiaceae,Spondias mombin,L.,Peru
Anacardiaceae,Spondias purpurea,L.,Peru
Anacardiaceae,Spondias testudinis,J.D.Mitch. & Daly,Peru
Anacardiaceae,Tapirira guianensis,Aubl.,Peru
Anacardiaceae,Tapirira retusa,Ducke,Peru
Anacardiaceae,Tapirira rubrinervis,Barfod        ,Peru
Anacardiaceae,Thyrsodium bolivianum,J.D. Mitch. & D.C. Daly,Peru
Anacardiaceae,Thyrsodium herrerense,Encarn.,Peru
Anacardiaceae,Toxicodendron striatum,(Ruiz & Pav.) Kuntze,Peru
Annonaceae,Anaxagorea brachycarpa,R.E.Fr.,Peru
Annonaceae,Anaxagorea brevipes,Benth.,Peru
Annonaceae,Anaxagorea crassipetala,Hemsl.,Peru
Annonaceae,Anaxagorea dolichocarpa,Sprague & Sandwith,Peru
Annonaceae,Anaxagorea floribunda,Timmerman,Peru
Annonaceae,Anaxagorea manausensis,Timmerman,Peru
Annonaceae,Anaxagorea pachypetala,(Diels) R.E.Fr.,Peru
Annonaceae,Anaxagorea rufa,Timmerman,Peru
Annonaceae,Annona ambotay,Aubl.,Peru
Annonaceae,Annona andicola,(Maas & Westra) H.Rainer,Peru
Annonaceae,Annona asplundiana,R.E.Fr.,Peru
Annonaceae,Annona centrantha,(R.E.Fr.) H.Rainer,Peru
Annonaceae,Annona cherimola,Mill.,Peru
Annonaceae,Annona cordifolia,(Szyszyl.) Poepp. ex Maas & Westra,Peru
Annonaceae,Annona cuspidata,(Mart.) H.Rainer,Peru
Annonaceae,Annona deminuta,R.E.Fr.,Peru
Annonaceae,Annona dolichophylla,R.E.Fr.,Peru
Annonaceae,Annona duckei,Diels,Peru
Annonaceae,Annona excellens,R.E.Fr.,Peru
Annonaceae,Annona foetida,Mart.,Peru
Annonaceae,Annona fosteri,(Maas & Westra) H.Rainer,Peru
Annonaceae,Annona glabra,L.,Peru
Annonaceae,Annona glomerulifera,(Maas & Westra) H.Rainer,Peru
Annonaceae,Annona herzogii,(R.E.Fr.) H.Rainer,Peru
Annonaceae,Annona hispida,(Maas & Westra) H.Rainer,Peru
