family,taxon,author,native to
Acanthaceae,Avicennia alba,Blume,Philippines
Acanthaceae,Avicennia marina,(Forssk.) Vierh.,Philippines
Acanthaceae,Avicennia officinalis,L.,Philippines
Achariaceae,Hydnocarpus alcalae,C.DC.,Philippines
Achariaceae,Hydnocarpus cauliflorus,Merr.,Philippines
Achariaceae,Hydnocarpus heterophyllus,Blume,Philippines
Achariaceae,Hydnocarpus polypetalus,(Slooten) Sleumer,Philippines
Achariaceae,Hydnocarpus subfalcata,Merr.,Philippines
Achariaceae,Hydnocarpus sumatranus,(Miq.) Koord.,Philippines
Achariaceae,Pangium edule,Reinw.,Philippines
Achariaceae,Ryparosa cauliflora,Merr.,Philippines
Achariaceae,Trichadenia philippinensis,Merr.,Philippines
Actinidiaceae,Saurauia alvarezii,Merr.,Philippines
Actinidiaceae,Saurauia ampla,Merr.,Philippines
Actinidiaceae,Saurauia bakeri,Merr.,Philippines
Actinidiaceae,Saurauia bicolor,Merr.,Philippines
Actinidiaceae,Saurauia cinnamomea,Merr.,Philippines
Actinidiaceae,Saurauia clementis,Merr.,Philippines
Actinidiaceae,Saurauia copelandii,Elmer,Philippines
Actinidiaceae,Saurauia cordata,Quisumb.,Philippines
Actinidiaceae,Saurauia denticulata,C.B.Rob.,Philippines
Actinidiaceae,Saurauia elegans,(Choisy) Fern.-Vill.,Philippines
Actinidiaceae,Saurauia elmeri,Merr.,Philippines
Actinidiaceae,Saurauia erythrothrica,Elmer,Philippines
Actinidiaceae,Saurauia fasciculiflora,Merr.,Philippines
Actinidiaceae,Saurauia involucrata,Merr.,Philippines
Actinidiaceae,Saurauia klemmei,Merr.,Philippines
Actinidiaceae,Saurauia knemifolia,Quisumb.,Philippines
Actinidiaceae,Saurauia latibractea,Choisy,Philippines
Actinidiaceae,Saurauia longistyla,Merr.,Philippines
Actinidiaceae,Saurauia macgregorii,Merr.,Philippines
Actinidiaceae,Saurauia merrillii,Elmer,Philippines
Actinidiaceae,Saurauia negrosensis,Elmer,Philippines
Actinidiaceae,Saurauia oblancilimba,Quisumb.,Philippines
Actinidiaceae,Saurauia oligantha,Merr.,Philippines
Actinidiaceae,Saurauia oligophlebia,Merr.,Philippines
Actinidiaceae,Saurauia panayensis,Merr.,Philippines
Actinidiaceae,Saurauia panduriformis,Elmer,Philippines
Actinidiaceae,Saurauia papillulosa,Merr.,Philippines
Actinidiaceae,Saurauia philippinensis,Merr.,Philippines
Actinidiaceae,Saurauia polysperma,(Blanco) Merr.,Philippines
Actinidiaceae,Saurauia samarensis,Merr.,Philippines
Actinidiaceae,Saurauia sampad,Elmer,Philippines
Actinidiaceae,Saurauia sibuyanensis,Elmer,Philippines
Actinidiaceae,Saurauia sorsogonensis,Merr.,Philippines
Actinidiaceae,Saurauia sparsiflora,Elmer,Philippines
Actinidiaceae,Saurauia tayabensis,Quisumb.,Philippines
Actinidiaceae,Saurauia trichophora,Quisumb.,Philippines
Actinidiaceae,Saurauia trunciflora,Merr.,Philippines
Actinidiaceae,Saurauia urdanetensis,Elmer,Philippines
Actinidiaceae,Saurauia vanoverberghii,Merr.,Philippines
Actinidiaceae,Saurauia wenzelii,Merr.,Philippines
Anacardiaceae,Buchanania arborescens,(Blume) Blume,Philippines
Anacardiaceae,Buchanania insignis,Blume,Philippines
Anacardiaceae,Buchanania microphylla,Engl.,Philippines
Anacardiaceae,Buchanania nitida,Engl.,Philippines
Anacardiaceae,Dracontomelon dao,(Blanco) Merr. & Rolfe,Philippines
Anacardiaceae,Koordersiodendron pinnatum,Merr.,Philippines
Anacardiaceae,Mangifera altissima,Blanco,Philippines
Anacardiaceae,Mangifera caesia,Jack,Philippines
Anacardiaceae,Mangifera laurina,Blume,Philippines
Anacardiaceae,Mangifera merrillii,Mukherji,Philippines
Anacardiaceae,Mangifera monandra,Merr.,Philippines
Anacardiaceae,Mangifera odorata,Griff.,Philippines
Anacardiaceae,Parishia maingayi,Hook.f.,Philippines
Anacardiaceae,Parishia malabog,Merr.,Philippines
Anacardiaceae,Pleiogynium timoriense,(DC.) Leenh.,Philippines
Anacardiaceae,Rhus taitensis,Guill.,Philippines
Anacardiaceae,Semecarpus bunburyanus,Gibbs,Philippines
Anacardiaceae,Semecarpus cuneiformis,Blanco,Philippines
Anacardiaceae,Semecarpus densiflorus,(Merr.) Steenis,Philippines
Anacardiaceae,Semecarpus forstenii,Blume,Philippines
Anacardiaceae,Semecarpus glauciphyllus,Elmer,Philippines
Anacardiaceae,Semecarpus longifolius,Blume,Philippines
Anacardiaceae,Semecarpus macrophyllus,Merr.,Philippines
Anacardiaceae,Semecarpus paucinervius,Merr.,Philippines
Anacardiaceae,Semecarpus stenophyllus,Merr.,Philippines
Anacardiaceae,Semecarpus trachyphyllus,Perkins,Philippines
Anacardiaceae,Solenocarpus philippinensis,(Elmer) Kosterm.,Philippines
Anacardiaceae,Spondias dulcis,Parkinson,Philippines
Anacardiaceae,Spondias malayana,Kosterm.,Philippines
Anacardiaceae,Spondias pinnata,(L. f.) Kurz,Philippines
Anacardiaceae,Swintonia acuta,Engl.,Philippines
Anacardiaceae,Swintonia foxworthyi,Elmer,Philippines
Anacardiaceae,Swintonia spicifera,Hook.f.,Philippines
Annonaceae,Alphonsea javanica,Scheff.,Philippines
Annonaceae,Anaxagorea javanica,Blume,Philippines
Annonaceae,Anaxagorea luzonensis,A.Gray,Philippines
Annonaceae,Cananga odorata,(Lam.) Hook.f. & Thomson,Philippines
Annonaceae,Cyathocalyx globosus,Merr.,Philippines
Annonaceae,Dasymaschalon clusiflorum,(Merr.) Merr.,Philippines
Annonaceae,Dasymaschalon leilamericanum,R.Rosales & E.Lillo,Philippines
Annonaceae,Drepananthus acuminatus,(C.B.Rob.) Survesw. & R.M.K.Saunders,Philippines
Annonaceae,Drepananthus apoensis,Elmer,Philippines
Annonaceae,Drepananthus crassipetalus,(R.J.Wang & R.M.K.Saunders) Survesw. & R.M.K.Saunders,Philippines
Annonaceae,Drepananthus samarensis,(R.J.Wang & R.M.K.Saunders) Survesw. & R.M.K.Saunders,Philippines
Annonaceae,Goniothalamus amuyon,(Blanco) Merr.,Philippines
Annonaceae,Goniothalamus catanduanensis,Quisumb.,Philippines
Annonaceae,Goniothalamus copelandii,Merr.,Philippines
Annonaceae,Goniothalamus dolichopetalus,Merr.,Philippines
Annonaceae,Goniothalamus elmeri,Merr.,Philippines
Annonaceae,Goniothalamus gigantifolius,Merr.,Philippines
Annonaceae,Goniothalamus lancifolius,Merr.,Philippines
Annonaceae,Goniothalamus longistylus,Merr.,Philippines
Annonaceae,Goniothalamus magnificus,Elmer,Philippines
Annonaceae,Goniothalamus mindorensis,Merr.,Philippines
Annonaceae,Goniothalamus obtusifolius,Merr.,Philippines
Annonaceae,Goniothalamus palawanensis,C.C.Tang & R.M.K.Saunders,Philippines
Annonaceae,Goniothalamus panayensis,Merr.,Philippines
Annonaceae,Goniothalamus philippinensis,Merr.,Philippines
Annonaceae,Goniothalamus puncticulifolius,Merr.,Philippines
Annonaceae,Goniothalamus sibuyanensis,(Elmer) Merr.,Philippines
Annonaceae,Goniothalamus suluensis,Merr.,Philippines
Annonaceae,Goniothalamus trunciflorus,Merr.,Philippines
Annonaceae,Huberantha flava,(Merr.) I.M.Turner,Philippines
Annonaceae,Huberantha jenkinsii,(Hook.f. & Thomson) Chaowasku,Philippines
Annonaceae,Huberantha palawanensis,(Merr.) I.M.Turner,Philippines
Annonaceae,Huberantha rumphii,(Blume ex Hensch.) Chaowasku,Philippines
Annonaceae,Maasia glauca,"(Hassk.) Mols, Kessler & Rogstad",Philippines
Annonaceae,Miliusa horsfieldii,(Bennett) Baill. ex Pierre,Philippines
Annonaceae,Mitrephora basilanensis,Merr.,Philippines
Annonaceae,Mitrephora cagayanensis,Merr.,Philippines
Annonaceae,Mitrephora fragrans,Merr.,Philippines
Annonaceae,Mitrephora lanotan,Merr.,Philippines
Annonaceae,Mitrephora multifolia,Elmer,Philippines
Annonaceae,Mitrephora pictiflora,Elmer,Philippines
Annonaceae,Mitrephora reflexa,Merr.,Philippines
Annonaceae,Mitrephora samarensis,Merr.,Philippines
Annonaceae,Mitrephora sorsogonensis,Elmer,Philippines
Annonaceae,Mitrephora weberi,Merr.,Philippines
Annonaceae,Mitrephora williamsii,C.B.Rob.,Philippines
Annonaceae,Monoon barnesii,(Merr.) B.Xue & R.M.K.Saunders,Philippines
Annonaceae,Monoon mindanaense,(Elmer) B.Xue & R.M.K.Saunders,Philippines
Annonaceae,Monoon oblongifolium,(C.B. Rob.) B. Xue & R.M.K. Saunders,Philippines
