family,taxon,author,native to
Apocynaceae,Cerbera manghas,L.,Pitcairn
Araliaceae,Meryta brachypoda,Harms,Pitcairn
Asteraceae,Bidens hendersonensis,Sherff,Pitcairn
Boraginaceae,Cordia subcordata,Lam.,Pitcairn
Boraginaceae,Heliotropium arboreum,(Blanco) Mabb.,Pitcairn
Calophyllaceae,Calophyllum inophyllum,L.,Pitcairn
Cannabaceae,Celtis pacifica,Planch.,Pitcairn
Hernandiaceae,Hernandia nymphaeifolia,(C.Presl) Kubitzki,Pitcairn
Hernandiaceae,Hernandia ovigera,L.,Pitcairn
Lamiaceae,Premna serratifolia,L.,Pitcairn
Lamiaceae,Premna tahitensis,Schauer,Pitcairn
Lecythidaceae,Barringtonia asiatica,(L.) Kurz,Pitcairn
Malvaceae,Hibiscus tiliaceus,L.,Pitcairn
Moraceae,Ficus prolixa,G.Forst.,Pitcairn
Myrtaceae,Eugenia reinwardtiana,(Blume) DC.,Pitcairn
Nyctaginaceae,Ceodes umbellifera,J.R.Forst. & G.Forst.,Pitcairn
Pandanaceae,Pandanus tectorius,Parkinson ex Du Roi,Pitcairn
Phyllanthaceae,Glochidion comitum,J.Florence,Pitcairn
Phyllanthaceae,Glochidion pitcairnense,(F.Br.) H.St.John,Pitcairn
Pittosporaceae,Pittosporum arborescens,Rich. ex A.Gray,Pitcairn
Primulaceae,Myrsine hosakae,H.St.John,Pitcairn
Rubiaceae,Coprosma benefica,W.R.B.Oliv.,Pitcairn
Rubiaceae,Cyclophyllum barbatum,(G.Forst.) N.Hallé & J.Florence,Pitcairn
Rubiaceae,Guettarda speciosa,L.,Pitcairn
Rubiaceae,Psydrax odorata,(G.Forst.) A.C.Sm. & S.P.Darwin,Pitcairn
Salicaceae,Homalium taypau,H.St.John,Pitcairn
Salicaceae,Xylosma suaveolens,G.Forst.,Pitcairn
Santalaceae,Santalum insulare,Bertero ex A.DC.,Pitcairn
Sapindaceae,Allophylus rhomboidalis,(Nadeaud) Radlk.,Pitcairn
Sapotaceae,Sideroxylon st-johnianum,(H.J.Lam & B.Meeuse) Smedmark & Anderb.,Pitcairn
Surianaceae,Suriana maritima,L.,Pitcairn
