family,taxon,author,native to
Betulaceae,Alnus alnobetula,(Ehrh.) K.Koch,Poland
Betulaceae,Alnus glutinosa,(L.) Gaertn.,Poland
Betulaceae,Alnus incana,(L.) Moench,Poland
Betulaceae,Betula pendula,Roth,Poland
Betulaceae,Betula pubescens,Ehrh.,Poland
Betulaceae,Carpinus betulus,L.,Poland
Betulaceae,Corylus avellana,L.,Poland
Celastraceae,Euonymus europaeus,L.,Poland
Cupressaceae,Juniperus communis,L.,Poland
Elaeagnaceae,Hippophae rhamnoides,L.,Poland
Fagaceae,Fagus sylvatica,L.,Poland
Fagaceae,Quercus petraea,(Matt.) Liebl.,Poland
Fagaceae,Quercus pubescens,Willd.,Poland
Fagaceae,Quercus robur,L.,Poland
Malvaceae,Tilia cordata,Mill.,Poland
Malvaceae,Tilia platyphyllos,Scop.,Poland
Oleaceae,Fraxinus excelsior,L.,Poland
Pinaceae,Abies alba,Mill.,Poland
Pinaceae,Larix decidua,Mill.,Poland
Pinaceae,Picea abies,(L.) H.Karst.,Poland
Pinaceae,Pinus cembra,L.,Poland
Pinaceae,Pinus mugo,Turra,Poland
Pinaceae,Pinus sylvestris,L.,Poland
Rhamnaceae,Frangula alnus,Mill.,Poland
Rhamnaceae,Rhamnus cathartica,L.,Poland
Rosaceae,Crataegus laevigata,(Poir.) DC.,Poland
Rosaceae,Crataegus monogyna,Jacq.,Poland
Rosaceae,Crataegus rhipidophylla,Gand.,Poland
Rosaceae,Malus sylvestris,(L.) Mill.,Poland
Rosaceae,Prunus avium,(L.) L.,Poland
Rosaceae,Prunus padus,L.,Poland
Rosaceae,Prunus spinosa,L.,Poland
Rosaceae,Pyrus communis,L.,Poland
Rosaceae,Sorbus aria,(L.) Crantz,Poland
Rosaceae,Sorbus aucuparia,L.,Poland
Rosaceae,Sorbus graeca,(Lodd. ex Spach) Kotschy,Poland
Rosaceae,Sorbus intermedia,(Ehrh.) Pers.,Poland
Rosaceae,Sorbus torminalis,Garsault,Poland
Salicaceae,Populus alba,L.,Poland
Salicaceae,Populus nigra,L.,Poland
Salicaceae,Populus tremula,L.,Poland
Salicaceae,Salix alba,L.,Poland
Salicaceae,Salix caprea,L.,Poland
Salicaceae,Salix cinerea,L.,Poland
Salicaceae,Salix daphnoides,Vill.,Poland
Salicaceae,Salix eleagnos,Scop.,Poland
Salicaceae,Salix myrsinifolia,Salisb.,Poland
Salicaceae,Salix pentandra,L.,Poland
Salicaceae,Salix purpurea,L.,Poland
Salicaceae,Salix triandra,L.,Poland
Salicaceae,Salix viminalis,L.,Poland
Sapindaceae,Acer campestre,L.,Poland
Sapindaceae,Acer platanoides,L.,Poland
Sapindaceae,Acer pseudoplatanus,L.,Poland
Staphyleaceae,Staphylea pinnata,L.,Poland
Taxaceae,Taxus baccata,L.,Poland
Ulmaceae,Ulmus glabra,Huds.,Poland
Ulmaceae,Ulmus laevis,Pall.,Poland
Ulmaceae,Ulmus minor,Mill.,Poland
Viburnaceae,Sambucus nigra,L.,Poland
Viburnaceae,Sambucus racemosa,L.,Poland
