family,taxon,author,native to
Anacardiaceae,Pistacia lentiscus,L.,Portugal
Anacardiaceae,Pistacia terebinthus,L.,Portugal
Anacardiaceae,Rhus coriaria,L.,Portugal
Aquifoliaceae,Ilex aquifolium,L.,Portugal
Aquifoliaceae,Ilex canariensis,Poir.,Portugal
Aquifoliaceae,Ilex perado,Aiton,Portugal
Arecaceae,Chamaerops humilis,L.,Portugal
Asparagaceae,Dracaena draco,(L.) L.,Portugal
Betulaceae,Alnus glutinosa,(L.) Gaertn.,Portugal
Betulaceae,Alnus lusitanica,"Vít, Douda & Mandák",Portugal
Betulaceae,Corylus avellana,L.,Portugal
Buxaceae,Buxus sempervirens,L.,Portugal
Cannabaceae,Celtis australis,L.,Portugal
Celastraceae,Euonymus europaeus,L.,Portugal
Celastraceae,Maytenus umbellata,(R.Br.) Mabb.,Portugal
Clethraceae,Clethra arborea,Aiton,Portugal
Cupressaceae,Juniperus brevifolia,(Seub.) Antoine,Portugal
Cupressaceae,Juniperus cedrus,Webb & Berthel.,Portugal
Cupressaceae,Juniperus communis,L.,Portugal
Cupressaceae,Juniperus oxycedrus,L.,Portugal
Cupressaceae,Juniperus phoenicea,L.,Portugal
Cupressaceae,Juniperus turbinata,Guss.,Portugal
Ericaceae,Arbutus unedo,L.,Portugal
Ericaceae,Erica arborea,L.,Portugal
Ericaceae,Vaccinium cylindraceum,Sm.,Portugal
Ericaceae,Vaccinium padifolium,Sm.,Portugal
Euphorbiaceae,Euphorbia mellifera,Aiton,Portugal
Fabaceae,Anagyris foetida,L.,Portugal
Fabaceae,Ceratonia siliqua,L.,Portugal
Fabaceae,Cytisus arboreus,(Desf.) DC.,Portugal
Fabaceae,Genista maderensis,(Webb & Berthel.) Lowe,Portugal
Fagaceae,Quercus airensis,Franco & Vasc.,Portugal
Fagaceae,Quercus canariensis,Willd.,Portugal
Fagaceae,Quercus cerris,L.,Portugal
Fagaceae,Quercus coccifera,L.,Portugal
Fagaceae,Quercus estremadurensis,O.Schwarz,Portugal
Fagaceae,Quercus faginea,Lam.,Portugal
Fagaceae,Quercus lusitanica,Lam.,Portugal
Fagaceae,Quercus orocantabrica,"Rivas Mart., Penas, T.E.Díaz & Llamas",Portugal
Fagaceae,Quercus pseudococcifera,Desf.,Portugal
Fagaceae,Quercus pyrenaica,Willd.,Portugal
Fagaceae,Quercus robur,L.,Portugal
Fagaceae,Quercus rotundifolia,Lam.,Portugal
Fagaceae,Quercus suber,L.,Portugal
Lauraceae,Apollonias barbujana,(Cav.) A.Braun,Portugal
Lauraceae,Laurus azorica,(Seub.) Franco,Portugal
Lauraceae,Laurus nobilis,L.,Portugal
Lauraceae,Laurus novocanariensis,"Rivas Mart., Lousã, Fern.Prieto, E.Días, J.C.Costa & C.Aguiar",Portugal
Lauraceae,Ocotea foetens,(Aiton) Baill.,Portugal
Lauraceae,Persea indica,(L.) Spreng.,Portugal
Malvaceae,Tilia tomentosa,Moench,Portugal
Moraceae,Ficus carica,L.,Portugal
Myricaceae,Morella faya,(Aiton) Wilbur,Portugal
Myrtaceae,Myrtus communis,L.,Portugal
Oleaceae,Fraxinus angustifolia,Vahl,Portugal
Oleaceae,Olea europaea,L.,Portugal
Oleaceae,Olea maderensis,(Lowe) Rivas Mart. & del Arco,Portugal
Oleaceae,Phillyrea latifolia,L.,Portugal
Oleaceae,Picconia azorica,(Tutin) Knobl.,Portugal
Oleaceae,Picconia excelsa,(Aiton) DC.,Portugal
Pentaphylacaceae,Visnea mocanera,L.f.,Portugal
Pinaceae,Pinus pinaster,Aiton,Portugal
Pinaceae,Pinus pinea,L.,Portugal
Pinaceae,Pinus sylvestris,L.,Portugal
Pittosporaceae,Pittosporum coriaceum,Aiton,Portugal
Primulaceae,Heberdenia excelsa,Banks ex Schult.,Portugal
Rhamnaceae,Frangula alnus,Mill.,Portugal
Rhamnaceae,Frangula azorica,Grubov,Portugal
Rhamnaceae,Rhamnus alaternus,L.,Portugal
Rhamnaceae,Rhamnus glandulosa,Aiton,Portugal
Rosaceae,Chamaemeles coriacea,Lindl.,Portugal
Rosaceae,Crataegus monogyna,Jacq.,Portugal
Rosaceae,Malus sylvestris,(L.) Mill.,Portugal
Rosaceae,Prunus avium,(L.) L.,Portugal
Rosaceae,Prunus lusitanica,L.,Portugal
Rosaceae,Prunus mahaleb,L.,Portugal
Rosaceae,Prunus padus,L.,Portugal
Rosaceae,Prunus spinosa,L.,Portugal
