family,taxon,author,native to
Anacardiaceae,Comocladia dodonaea,(L.) Britton,Puerto Rico
Anacardiaceae,Metopium toxiferum,(L.) Krug & Urb.,Puerto Rico
Annonaceae,Annona glabra,L.,Puerto Rico
Annonaceae,Annona montana,Macfad.,Puerto Rico
Annonaceae,Annona mucosa,Jacq.,Puerto Rico
Annonaceae,Annona reticulata,L.,Puerto Rico
Annonaceae,Guatteria blainii,(Griseb.) Urb.,Puerto Rico
Annonaceae,Guatteria caribaea,Urb.,Puerto Rico
Annonaceae,Oxandra lanceolata,(Sw.) Baill.,Puerto Rico
Annonaceae,Oxandra laurifolia,(Sw.) A.Rich.,Puerto Rico
Apocynaceae,Plumeria alba,L.,Puerto Rico
Apocynaceae,Plumeria krugii,Urb.,Puerto Rico
Apocynaceae,Plumeria obtusa,L.,Puerto Rico
Apocynaceae,Rauvolfia nitida,Jacq.,Puerto Rico
Apocynaceae,Rauvolfia viridis,Roem. & Schult.,Puerto Rico
Apocynaceae,Tabernaemontana oppositifolia,(Spreng.) Urb.,Puerto Rico
Aquifoliaceae,Ilex cassine,L.,Puerto Rico
Aquifoliaceae,Ilex cookii,Britton & P.Wilson,Puerto Rico
Aquifoliaceae,Ilex guianensis,(Aubl.) Kuntze,Puerto Rico
Aquifoliaceae,Ilex macfadyenii,(Walp.) Rehder,Puerto Rico
Aquifoliaceae,Ilex nitida,(Vahl) Maxim.,Puerto Rico
Aquifoliaceae,Ilex obcordata,Sw.,Puerto Rico
Aquifoliaceae,Ilex sideroxyloides,(Sw.) Griseb.,Puerto Rico
Aquifoliaceae,Ilex urbaniana,Loes. ex Urb.,Puerto Rico
Araliaceae,Dendropanax arboreus,(L.) Decne. & Planch.,Puerto Rico
Araliaceae,Dendropanax laurifolius,(Marchal ex Urb.) R.C.Schneid.,Puerto Rico
Araliaceae,Didymopanax morototoni,(Aubl.) Decne. & Planch.,Puerto Rico
Araliaceae,Frodinia gleasonii,(Britton & P.Wilson) Lowry & G.M.Plunkett,Puerto Rico
Arecaceae,Calyptronoma rivalis,(O.F.Cook) L.H.Bailey,Puerto Rico
Arecaceae,Coccothrinax barbadensis,(Lodd. ex Mart.) Becc.,Puerto Rico
Arecaceae,Gaussia attenuata,(O.F.Cook) Becc.,Puerto Rico
Arecaceae,Leucothrinax morrisii,(H.Wendl.) C.Lewis & Zona,Puerto Rico
Arecaceae,Prestoea acuminata,(Willd.) H.E.Moore,Puerto Rico
Arecaceae,Pseudophoenix sargentii,H.Wendl. ex Sarg.,Puerto Rico
Arecaceae,Roystonea borinquena,O.F.Cook,Puerto Rico
Arecaceae,Sabal causiarum,(O.F.Cook) Becc.,Puerto Rico
Asteraceae,Baccharis dioica,Vahl,Puerto Rico
Asteraceae,Baccharis myrsinites,(Lam.) Pers.,Puerto Rico
Asteraceae,Berylsimpsonia vanillosma,(C.Wright) B.L.Turner,Puerto Rico
Asteraceae,Critonia portoricensis,(Urb.) Britton & P.Wilson,Puerto Rico
Bignoniaceae,Amphitecna latifolia,(Mill.) A.H.Gentry,Puerto Rico
Bignoniaceae,Crescentia cujete,L.,Puerto Rico
Bignoniaceae,Crescentia linearifolia,Miers,Puerto Rico
Bignoniaceae,Crescentia portoricensis,Britton,Puerto Rico
Bignoniaceae,Tabebuia haemantha,(Bertol. ex Spreng.) DC.,Puerto Rico
Bignoniaceae,Tabebuia heterophylla,(DC.) Britton,Puerto Rico
Bignoniaceae,Tabebuia karsoana,Trejo,Puerto Rico
Bignoniaceae,Tabebuia pallida,(Lindl.) Miers,Puerto Rico
Bignoniaceae,Tabebuia rigida,Urb.,Puerto Rico
