family,taxon,author,native to
Altingiaceae,Liquidambar formosana,Hance,Republic of Korea
Anacardiaceae,Rhus chinensis,Mill.,Republic of Korea
Anacardiaceae,Toxicodendron succedaneum,(L.) Kuntze,Republic of Korea
Anacardiaceae,Toxicodendron sylvestre,(Siebold & Zucc.) Kuntze,Republic of Korea
Anacardiaceae,Toxicodendron trichocarpum,(Miq.) Kuntze,Republic of Korea
Anacardiaceae,Toxicodendron vernicifluum,(Stokes) F.A.Barkley,Republic of Korea
Aquifoliaceae,Ilex cornuta,Lindl. & Paxton,Republic of Korea
Aquifoliaceae,Ilex integra,Thunb.,Republic of Korea
Aquifoliaceae,Ilex macropoda,Miq.,Republic of Korea
Aquifoliaceae,Ilex rotunda,Thunb.,Republic of Korea
Araliaceae,Aralia elata,(Miq.) Seem.,Republic of Korea
Araliaceae,Dendropanax trifidus,(Thunb.) Makino ex H.Hara,Republic of Korea
Araliaceae,Eleutherococcus sessiliflorus,(Rupr. & Maxim.) S.Y.Hu,Republic of Korea
Araliaceae,Kalopanax septemlobus,(Thunb.) Koidz.,Republic of Korea
Betulaceae,Alnus hirsuta,(Spach) Rupr.,Republic of Korea
Betulaceae,Alnus japonica,(Thunb.) Steud.,Republic of Korea
Betulaceae,Alnus mandshurica,(Callier) Hand.-Mazz.,Republic of Korea
Betulaceae,Alnus maximowiczii,Callier,Republic of Korea
Betulaceae,Betula chinensis,Maxim.,Republic of Korea
Betulaceae,Betula costata,Trautv.,Republic of Korea
Betulaceae,Betula dahurica,Pall.,Republic of Korea
Betulaceae,Betula ermanii,Cham.,Republic of Korea
Betulaceae,Betula schmidtii,Regel,Republic of Korea
Betulaceae,Carpinus cordata,Blume,Republic of Korea
Betulaceae,Carpinus laxiflora,(Siebold & Zucc.) Blume,Republic of Korea
Betulaceae,Carpinus tschonoskii,Maxim.,Republic of Korea
Betulaceae,Carpinus turczaninowii,Hance,Republic of Korea
Betulaceae,Corylus heterophylla,Fisch. ex Trautv.,Republic of Korea
Betulaceae,Ostrya japonica,Sarg.,Republic of Korea
Cannabaceae,Aphananthe aspera,(Thunb.) Planch.,Republic of Korea
Cannabaceae,Celtis biondii,Pamp.,Republic of Korea
Cannabaceae,Celtis bungeana,Blume,Republic of Korea
Cannabaceae,Celtis jessoensis,Koidz.,Republic of Korea
Cannabaceae,Celtis koraiensis,Nakai,Republic of Korea
Celastraceae,Euonymus hamiltonianus,Wall.,Republic of Korea
Celastraceae,Euonymus japonicus,Thunb.,Republic of Korea
Celastraceae,Euonymus maackii,Rupr.,Republic of Korea
Celastraceae,Euonymus oxyphyllus,Miq.,Republic of Korea
Celastraceae,Tripterygium wilfordii,Hook.f.,Republic of Korea
Clethraceae,Clethra barbinervis,Siebold & Zucc.,Republic of Korea
Cornaceae,Alangium platanifolium,(Siebold & Zucc.) Harms,Republic of Korea
Cornaceae,Cornus controversa,Hemsl.,Republic of Korea
Cornaceae,Cornus kousa,F.Buerger ex Hance,Republic of Korea
Cornaceae,Cornus macrophylla,Wall.,Republic of Korea
Cornaceae,Cornus officinalis,Siebold & Zucc.,Republic of Korea
Cupressaceae,Juniperus chinensis,L.,Republic of Korea
Cupressaceae,Juniperus communis,L.,Republic of Korea
Cupressaceae,Juniperus rigida,Siebold & Zucc.,Republic of Korea
Cupressaceae,Thuja koraiensis,Nakai,Republic of Korea
Daphniphyllaceae,Daphniphyllum macropodum,Miq.,Republic of Korea
Daphniphyllaceae,Daphniphyllum teysmannii,Kurz ex Teijsm. & Binn.,Republic of Korea
Ebenaceae,Diospyros lotus,L.,Republic of Korea
Ericaceae,Rhododendron schlippenbachii,Maxim.,Republic of Korea
Ericaceae,Rhododendron weyrichii,Maxim.,Republic of Korea
Ericaceae,Vaccinium bracteatum,Thunb.,Republic of Korea
Euphorbiaceae,Neoshirakia japonica,(Siebold & Zucc.) Esser,Republic of Korea
Fabaceae,Albizia julibrissin,Durazz.,Republic of Korea
Fabaceae,Gleditsia japonica,Miq.,Republic of Korea
Fabaceae,Maackia floribunda,(Miq.) Takeda,Republic of Korea
Fagaceae,Castanea crenata,Siebold & Zucc.,Republic of Korea
Fagaceae,Castanopsis sieboldii,(Makino) Hatus.,Republic of Korea
Fagaceae,Fagus multinervis,Nakai,Republic of Korea
Fagaceae,Quercus acuta,Thunb.,Republic of Korea
Fagaceae,Quercus acutissima,Carruth.,Republic of Korea
Fagaceae,Quercus aliena,Blume,Republic of Korea
Fagaceae,Quercus dentata,Thunb.,Republic of Korea
Fagaceae,Quercus gilva,Blume,Republic of Korea
Fagaceae,Quercus glauca,Thunb.,Republic of Korea
Fagaceae,Quercus mongolica,Fisch. ex Ledeb.,Republic of Korea
Fagaceae,Quercus myrsinifolia,Blume,Republic of Korea
Fagaceae,Quercus phillyreoides,A.Gray,Republic of Korea
Fagaceae,Quercus salicina,Blume,Republic of Korea
Fagaceae,Quercus serrata,Murray,Republic of Korea
Fagaceae,Quercus variabilis,Blume,Republic of Korea
Hamamelidaceae,Distylium racemosum,Siebold & Zucc.,Republic of Korea
