family,taxon,author,native to
Anacardiaceae,Cotinus coggygria,Scop.,Republic of Moldova
Betulaceae,Alnus alnobetula,(Ehrh.) K.Koch,Republic of Moldova
Betulaceae,Alnus incana,(L.) Moench,Republic of Moldova
Betulaceae,Carpinus betulus,L.,Republic of Moldova
Betulaceae,Carpinus orientalis,Mill.,Republic of Moldova
Betulaceae,Corylus avellana,L.,Republic of Moldova
Celastraceae,Euonymus europaeus,L.,Republic of Moldova
Cornaceae,Cornus mas,L.,Republic of Moldova
Cupressaceae,Juniperus communis,L.,Republic of Moldova
Elaeagnaceae,Elaeagnus angustifolia,L.,Republic of Moldova
Elaeagnaceae,Hippophae rhamnoides,L.,Republic of Moldova
Fagaceae,Quercus robur,L.,Republic of Moldova
Malvaceae,Tilia platyphyllos,Scop.,Republic of Moldova
Oleaceae,Fraxinus excelsior,L.,Republic of Moldova
Pinaceae,Pinus sylvestris,L.,Republic of Moldova
Rhamnaceae,Frangula alnus,Mill.,Republic of Moldova
Rhamnaceae,Rhamnus cathartica,L.,Republic of Moldova
Rosaceae,Crataegus laevigata,(Poir.) DC.,Republic of Moldova
Rosaceae,Crataegus monogyna,Jacq.,Republic of Moldova
Rosaceae,Crataegus pentagyna,Waldst. & Kit. ex Willd.,Republic of Moldova
Rosaceae,Crataegus rhipidophylla,Gand.,Republic of Moldova
Rosaceae,Malus sylvestris,(L.) Mill.,Republic of Moldova
Rosaceae,Prunus avium,(L.) L.,Republic of Moldova
Rosaceae,Prunus mahaleb,L.,Republic of Moldova
Rosaceae,Prunus padus,L.,Republic of Moldova
Rosaceae,Prunus spinosa,L.,Republic of Moldova
Rosaceae,Pyrus communis,L.,Republic of Moldova
Rosaceae,Pyrus elaeagrifolia,Pall.,Republic of Moldova
Rosaceae,Sorbus domestica,L.        ,Republic of Moldova
Rosaceae,Sorbus torminalis,Garsault,Republic of Moldova
Salicaceae,Populus alba,L.,Republic of Moldova
Salicaceae,Populus nigra,L.,Republic of Moldova
Salicaceae,Populus tremula,L.,Republic of Moldova
Salicaceae,Salix caprea,L.,Republic of Moldova
Salicaceae,Salix cinerea,L.,Republic of Moldova
Salicaceae,Salix pentandra,L.,Republic of Moldova
Salicaceae,Salix purpurea,L.,Republic of Moldova
Salicaceae,Salix triandra,L.,Republic of Moldova
Sapindaceae,Acer campestre,L.,Republic of Moldova
Sapindaceae,Acer platanoides,L.,Republic of Moldova
Sapindaceae,Acer pseudoplatanus,L.,Republic of Moldova
Taxaceae,Taxus baccata,L.,Republic of Moldova
Ulmaceae,Ulmus laevis,Pall.,Republic of Moldova
Viburnaceae,Sambucus nigra,L.,Republic of Moldova
Viburnaceae,Sambucus racemosa,L.,Republic of Moldova
