family,taxon,author,native to
Anacardiaceae,Poupartia borbonica,J.F.Gmel.,RÈunion
Annonaceae,Xylopia richardii,Boivin ex Baill.,RÈunion
Aphloiaceae,Aphloia theiformis,(Vahl) Benn.,RÈunion
Apocynaceae,Carissa spinarum,L.,RÈunion
Apocynaceae,Ochrosia borbonica,J.F.Gmel.,RÈunion
Apocynaceae,Tabernaemontana persicariifolia,Jacq.,RÈunion
Araliaceae,Polyscias aemiliguineae,Bernardi,RÈunion
Araliaceae,Polyscias bernieri,(Baill. ex Drake) R.Vig.,RÈunion
Araliaceae,Polyscias borbonica,Marais,RÈunion
Araliaceae,Polyscias coriacea,Marais,RÈunion
Araliaceae,Polyscias cutispongia,(Lam.) Baker,RÈunion
Araliaceae,Polyscias repanda,(DC.) Baker,RÈunion
Araliaceae,Polyscias rivalsii,Bernardi,RÈunion
Araliaceae,Polyscias sessiliflora,Marais,RÈunion
Arecaceae,Acanthophoenix crinita,(Bory) H.Wendl.,RÈunion
Arecaceae,Acanthophoenix rousselii,N.Ludw.,RÈunion
Arecaceae,Acanthophoenix rubra,(Bory) H.Wendl.,RÈunion
Arecaceae,Dictyosperma album,(Bory) Scheff.,RÈunion
Arecaceae,Hyophorbe indica,Gaertn.,RÈunion
Arecaceae,Latania lontaroides,(Gaertn.) H.E.Moore,RÈunion
Asparagaceae,Dracaena reflexa,Lam.,RÈunion
Asteraceae,Pluchea boivinii,Klatt,RÈunion
Asteraceae,Psiadia dentata,DC.,RÈunion
Asteraceae,Psiadia laurifolia,Cordem.,RÈunion
Boraginaceae,Ehretia cymosa,Thonn.,RÈunion
Boraginaceae,Heliotropium arboreum,(Blanco) Mabb.,RÈunion
Calophyllaceae,Calophyllum inophyllum,L.,RÈunion
Calophyllaceae,Calophyllum tacamahaca,Willd.,RÈunion
Cannabaceae,Celtis philippensis,Blanco,RÈunion
Cannabaceae,Trema orientale,(L.) Blume,RÈunion
Celastraceae,Elaeodendron orientale,Jacq.,RÈunion
Celastraceae,Pleurostylia pachyphloea,Tul.,RÈunion
Chrysobalanaceae,Grangeria borbonica,Lam.,RÈunion
Combretaceae,Terminalia bentzoe,(L.) L.f.,RÈunion
Cunoniaceae,Weinmannia mauritiana,D.Don,RÈunion
Cunoniaceae,Weinmannia tinctoria,Sm.,RÈunion
Ebenaceae,Diospyros borbonica,I.Richardson,RÈunion
Ericaceae,Agarista salicifolia,(Lam.) G.Don,RÈunion
Erythroxylaceae,Erythroxylum hypericifolium,Lam.,RÈunion
Escalloniaceae,Forgesia racemosa,J.F.Gmel.,RÈunion
Euphorbiaceae,Claoxylon setosum,Coode,RÈunion
Euphorbiaceae,Hancea integrifolia,"(Willd.) S.E.C.Sierra, Kulju & Welzen",RÈunion
Euphorbiaceae,Stillingia lineata,(Lam.) M√ºll.Arg.,RÈunion
Fabaceae,Acacia heterophylla,(Lam.) Willd.,RÈunion
Fabaceae,Dendrolobium umbellatum,(L.) Benth.,RÈunion
Fabaceae,Guilandina bonduc,L.,RÈunion
