family,taxon,author,native to
Anacardiaceae,Cotinus coggygria,Scop.,Romania
Aquifoliaceae,Ilex aquifolium,L.,Romania
Betulaceae,Alnus alnobetula,(Ehrh.) K.Koch,Romania
Betulaceae,Alnus glutinosa,(L.) Gaertn.,Romania
Betulaceae,Alnus incana,(L.) Moench,Romania
Betulaceae,Betula pendula,Roth,Romania
Betulaceae,Betula pubescens,Ehrh.,Romania
Betulaceae,Carpinus betulus,L.,Romania
Betulaceae,Carpinus orientalis,Mill.,Romania
Betulaceae,Corylus avellana,L.,Romania
Betulaceae,Corylus colurna,L.,Romania
Cannabaceae,Celtis australis,L.,Romania
Cannabaceae,Celtis planchoniana,K.I.Chr.,Romania
Celastraceae,Euonymus europaeus,L.,Romania
Celastraceae,Euonymus latifolius,(L.) Mill.,Romania
Cornaceae,Cornus mas,L.,Romania
Cupressaceae,Juniperus communis,L.,Romania
Cupressaceae,Juniperus oxycedrus,L.,Romania
Elaeagnaceae,Hippophae rhamnoides,L.,Romania
Fabaceae,Laburnum anagyroides,Medik.,Romania
Fagaceae,Fagus sylvatica,L.,Romania
Fagaceae,Quercus cerris,L.,Romania
Fagaceae,Quercus frainetto,Ten.,Romania
Fagaceae,Quercus petraea,(Matt.) Liebl.,Romania
Fagaceae,Quercus pubescens,Willd.,Romania
Fagaceae,Quercus robur,L.,Romania
Juglandaceae,Juglans regia,L.,Romania
Malvaceae,Tilia cordata,Mill.,Romania
Malvaceae,Tilia platyphyllos,Scop.,Romania
Malvaceae,Tilia tomentosa,Moench,Romania
Oleaceae,Fraxinus angustifolia,Vahl,Romania
Oleaceae,Fraxinus excelsior,L.,Romania
Oleaceae,Fraxinus ornus,L.,Romania
Oleaceae,Fraxinus pallisiae,Wilmott,Romania
Oleaceae,Syringa vulgaris,L.,Romania
Pinaceae,Abies alba,Mill.,Romania
Pinaceae,Larix decidua,Mill.,Romania
Pinaceae,Picea abies,(L.) H.Karst.,Romania
Pinaceae,Pinus cembra,L.,Romania
Pinaceae,Pinus mugo,Turra,Romania
Pinaceae,Pinus nigra,J.F.Arnold,Romania
Pinaceae,Pinus sylvestris,L.,Romania
Rhamnaceae,Frangula alnus,Mill.,Romania
Rhamnaceae,Rhamnus cathartica,L.,Romania
Rosaceae,Crataegus laevigata,(Poir.) DC.,Romania
Rosaceae,Crataegus monogyna,Jacq.,Romania
Rosaceae,Crataegus pentagyna,Waldst. & Kit. ex Willd.,Romania
Rosaceae,Crataegus rhipidophylla,Gand.,Romania
Rosaceae,Malus dasyphylla,Borkh.,Romania
Rosaceae,Malus sylvestris,(L.) Mill.,Romania
Rosaceae,Prunus avium,(L.) L.,Romania
Rosaceae,Prunus mahaleb,L.,Romania
Rosaceae,Prunus padus,L.,Romania
Rosaceae,Prunus spinosa,L.,Romania
Rosaceae,Pyrus communis,L.,Romania
Rosaceae,Pyrus elaeagrifolia,Pall.,Romania
Rosaceae,Pyrus nivalis,Jacq.,Romania
Rosaceae,Sorbus aria,(L.) Crantz,Romania
Rosaceae,Sorbus aucuparia,L.,Romania
Rosaceae,Sorbus austriaca,(Beck) Hedl.,Romania
Rosaceae,Sorbus borbasii,Jáv.,Romania
Rosaceae,Sorbus domestica,L.        ,Romania
Rosaceae,Sorbus graeca,(Lodd. ex Spach) Kotschy,Romania
Rosaceae,Sorbus herculis,Kárpáti,Romania
Rosaceae,Sorbus hungarica,(Bornm.) Kárpáti,Romania
Rosaceae,Sorbus paxiana,Jáv.,Romania
Rosaceae,Sorbus semipinnata,Borbás,Romania
Rosaceae,Sorbus torminalis,Garsault,Romania
Rosaceae,Sorbus umbellata,(Desf.) Fritsch,Romania
Salicaceae,Populus alba,L.,Romania
Salicaceae,Populus tremula,L.,Romania
Salicaceae,Salix alba,L.,Romania
Salicaceae,Salix caprea,L.,Romania
Salicaceae,Salix cinerea,L.,Romania
Salicaceae,Salix daphnoides,Vill.,Romania
Salicaceae,Salix eleagnos,Scop.,Romania
Salicaceae,Salix pentandra,L.,Romania
Salicaceae,Salix purpurea,L.,Romania
Salicaceae,Salix triandra,L.,Romania
Sapindaceae,Acer campestre,L.,Romania
Sapindaceae,Acer monspessulanum,L.,Romania
Sapindaceae,Acer platanoides,L.,Romania
Sapindaceae,Acer pseudoplatanus,L.,Romania
Sapindaceae,Acer tataricum,L.,Romania
Staphyleaceae,Staphylea pinnata,L.,Romania
Tamaricaceae,Tamarix smyrnensis,Bunge,Romania
Taxaceae,Taxus baccata,L.,Romania
Ulmaceae,Ulmus glabra,Huds.,Romania
Ulmaceae,Ulmus laevis,Pall.,Romania
Ulmaceae,Ulmus minor,Mill.,Romania
Viburnaceae,Sambucus nigra,L.,Romania
Viburnaceae,Sambucus racemosa,L.,Romania
