family,taxon,author,native to
Amaranthaceae,Halostachys belangeriana,(Moq.) Botsch.,Russian Federation
Anacardiaceae,Cotinus coggygria,Scop.,Russian Federation
Anacardiaceae,Pistacia atlantica,Desf.,Russian Federation
Anacardiaceae,Rhus coriaria,L.,Russian Federation
Aquifoliaceae,Ilex spinigera,(Loes.) Loes.,Russian Federation
Araliaceae,Aralia elata,(Miq.) Seem.,Russian Federation
Araliaceae,Eleutherococcus sessiliflorus,(Rupr. & Maxim.) S.Y.Hu,Russian Federation
Araliaceae,Kalopanax septemlobus,(Thunb.) Koidz.,Russian Federation
Betulaceae,Alnus alnobetula,(Ehrh.) K.Koch,Russian Federation
Betulaceae,Alnus glutinosa,(L.) Gaertn.,Russian Federation
Betulaceae,Alnus glutipes,(Jarm. ex Czerpek) Vorosch.,Russian Federation
Betulaceae,Alnus hirsuta,(Spach) Rupr.,Russian Federation
Betulaceae,Alnus incana,(L.) Moench,Russian Federation
Betulaceae,Alnus japonica,(Thunb.) Steud.,Russian Federation
Betulaceae,Alnus mandshurica,(Callier) Hand.-Mazz.,Russian Federation
Betulaceae,Alnus maximowiczii,Callier,Russian Federation
Betulaceae,Betula baschkirica,Tzvelev,Russian Federation
Betulaceae,Betula costata,Trautv.,Russian Federation
Betulaceae,Betula dahurica,Pall.,Russian Federation
Betulaceae,Betula ermanii,Cham.,Russian Federation
Betulaceae,Betula maximowicziana,Regel,Russian Federation
Betulaceae,Betula microphylla,Bunge,Russian Federation
Betulaceae,Betula pendula,Roth,Russian Federation
Betulaceae,Betula psammophila,V.N.Vassil.,Russian Federation
Betulaceae,Betula pubescens,Ehrh.,Russian Federation
Betulaceae,Betula raddeana,Trautv.,Russian Federation
Betulaceae,Betula saksarensis,Polozhij & A.T.Malzeva,Russian Federation
Betulaceae,Betula schmidtii,Regel,Russian Federation
Betulaceae,Carpinus betulus,L.,Russian Federation
Betulaceae,Carpinus cordata,Blume,Russian Federation
Betulaceae,Carpinus orientalis,Mill.,Russian Federation
Betulaceae,Corylus avellana,L.,Russian Federation
Betulaceae,Corylus colurna,L.,Russian Federation
Betulaceae,Corylus heterophylla,Fisch. ex Trautv.,Russian Federation
Betulaceae,Ostrya carpinifolia,Scop.,Russian Federation
Buxaceae,Buxus sempervirens,L.,Russian Federation
Cannabaceae,Celtis planchoniana,K.I.Chr.,Russian Federation
Cannabaceae,Celtis tournefortii,Lam.,Russian Federation
Celastraceae,Euonymus europaeus,L.,Russian Federation
Celastraceae,Euonymus hamiltonianus,Wall.,Russian Federation
Celastraceae,Euonymus latifolius,(L.) Mill.,Russian Federation
Celastraceae,Euonymus maackii,Rupr.,Russian Federation
Cornaceae,Cornus controversa,Hemsl.,Russian Federation
Cornaceae,Cornus mas,L.,Russian Federation
Cupressaceae,Juniperus chinensis,L.,Russian Federation
Cupressaceae,Juniperus communis,L.,Russian Federation
Cupressaceae,Juniperus foetidissima,Willd.,Russian Federation
Cupressaceae,Juniperus rigida,Siebold & Zucc.,Russian Federation
Cupressaceae,Platycladus orientalis,(L.) Franco,Russian Federation
Elaeagnaceae,Elaeagnus angustifolia,L.,Russian Federation
Elaeagnaceae,Hippophae rhamnoides,L.,Russian Federation
