family,taxon,author,native to
Acanthaceae,Mimulopsis arborescens,C.B.Clarke,Rwanda
Achariaceae,Dasylepis racemosa,Oliv.,Rwanda
Achariaceae,Lindackeria bukobensis,Gilg,Rwanda
Achariaceae,Rawsonia lucida,Harv. & Sond.,Rwanda
Anacardiaceae,Lannea fulva,(Engl.) Engl.,Rwanda
Anacardiaceae,Lannea humilis,(Oliv.) Engl.,Rwanda
Anacardiaceae,Lannea schimperi,(Hochst. ex A.Rich.) Engl.,Rwanda
Anacardiaceae,Ozoroa insignis,Delile,Rwanda
Anacardiaceae,Pseudospondias microcarpa,(A.Rich.) Engl.,Rwanda
Anacardiaceae,Searsia crenulata,(A.Rich.) Moffett,Rwanda
Anacardiaceae,Searsia longipes,(Engl.) Moffett,Rwanda
Anacardiaceae,Searsia natalensis,(Bernh. ex C.Krauss) F.A.Barkley,Rwanda
Anacardiaceae,Searsia pyroides,(Burch.) Moffett,Rwanda
Anacardiaceae,Trichoscypha lucens,Oliv.,Rwanda
Annonaceae,Annona senegalensis,Pers.,Rwanda
Annonaceae,Artabotrys monteiroae,Oliv.,Rwanda
Annonaceae,Isolona lebrunii,Boutique,Rwanda
Annonaceae,Uvaria angolensis,Welw. ex Oliv.,Rwanda
Apiaceae,Steganotaenia araliacea,Hochst.,Rwanda
Apocynaceae,Acokanthera schimperi,(A.DC.) Schweinf.,Rwanda
Apocynaceae,Carissa spinarum,L.,Rwanda
Apocynaceae,Pleiocarpa pycnantha,(K.Schum.) Stapf,Rwanda
Apocynaceae,Rauvolfia mannii,Stapf,Rwanda
Apocynaceae,Tabernaemontana odoratissima,(Stapf) Leeuwenb.,Rwanda
Apocynaceae,Tabernaemontana stapfiana,Britten,Rwanda
Apocynaceae,Voacanga thouarsii,Roem. & Schult.,Rwanda
Aquifoliaceae,Ilex mitis,(L.) Radlk.,Rwanda
Araliaceae,Astropanax goetzenii,"(Harms) Lowry, G.M.Plunkett, Gostel & Frodin",Rwanda
Araliaceae,Astropanax polysciadius,"(Harms) Lowry, G.M.Plunkett, Gostel & Frodin",Rwanda
Araliaceae,Cussonia arborea,Hochst. ex A.Rich.,Rwanda
Araliaceae,Cussonia holstii,Harms ex Engl.,Rwanda
Araliaceae,Polyscias fulva,(Hiern) Harms,Rwanda
Arecaceae,Elaeis guineensis,Jacq.,Rwanda
Arecaceae,Hyphaene petersiana,Klotzsch ex Mart.,Rwanda
Arecaceae,Phoenix reclinata,Jacq.,Rwanda
Asparagaceae,Dracaena afromontana,Mildbr.,Rwanda
Asparagaceae,Dracaena fragrans,(L.) Ker Gawl.,Rwanda
Asparagaceae,Dracaena steudneri,Engl.,Rwanda
Asphodelaceae,Aloe volkensii,Engl.,Rwanda
Asteraceae,Baccharoides calvoana,"(Hook.f.) Isawumi, El-Ghazaly & B.Nord.",Rwanda
Asteraceae,Dendrosenecio erici-rosenii,(R.E.Fr. & T.C.E.Fr.) E.B.Knox,Rwanda
