family,taxon,author,native to
Apocynaceae,Plumeria alba,L.,Saint Barthélemy
Apocynaceae,Rauvolfia viridis,Roem. & Schult.,Saint Barthélemy
Araliaceae,Sciodaphyllum attenuatum,"(Sw.) Lowry, G.M.Plunkett & M.M.Mora",Saint Barthélemy
Arecaceae,Leucothrinax morrisii,(H.Wendl.) C.Lewis & Zona,Saint Barthélemy
Bignoniaceae,Crescentia cujete,L.,Saint Barthélemy
Bignoniaceae,Crescentia linearifolia,Miers,Saint Barthélemy
Bignoniaceae,Tecoma stans,(L.) Juss. ex Kunth,Saint Barthélemy
Boraginaceae,Bourreria succulenta,Jacq.,Saint Barthélemy
Boraginaceae,Cordia dentata,Poir.,Saint Barthélemy
Burseraceae,Bursera simaruba,(L.) Sarg.,Saint Barthélemy
Cactaceae,Consolea rubescens,(Salm-Dyck ex DC.) Lem.,Saint Barthélemy
Cannabaceae,Celtis iguanaea,(Jacq.) Sarg.,Saint Barthélemy
Capparaceae,Capparidastrum frondosum,(Jacq.) Cornejo & Iltis,Saint Barthélemy
Capparaceae,Cynophalla flexuosa,(L.) J.Presl,Saint Barthélemy
Capparaceae,Cynophalla hastata,(Jacq.) J.Presl,Saint Barthélemy
Capparaceae,Morisonia americana,L.,Saint Barthélemy
Capparaceae,Quadrella cynophallophora,(L.) Hutch.,Saint Barthélemy
Capparaceae,Quadrella indica,(L.) Iltis & Cornejo,Saint Barthélemy
Celastraceae,Crossopetalum rhacoma,Crantz,Saint Barthélemy
Celastraceae,Monteverdia laevigata,(Vahl) Biral,Saint Barthélemy
Celastraceae,Schaefferia frutescens,Jacq.,Saint Barthélemy
Chrysobalanaceae,Chrysobalanus icaco,L.,Saint Barthélemy
Erythroxylaceae,Erythroxylum brevipes,DC.,Saint Barthélemy
Erythroxylaceae,Erythroxylum havanense,Jacq.,Saint Barthélemy
Euphorbiaceae,Argythamnia candicans,Sw.,Saint Barthélemy
Euphorbiaceae,Croton astroites,Aiton,Saint Barthélemy
Euphorbiaceae,Euphorbia petiolaris,Sims,Saint Barthélemy
Euphorbiaceae,Gymnanthes hypoleuca,Benth.,Saint Barthélemy
Euphorbiaceae,Gymnanthes lucida,Sw.,Saint Barthélemy
Euphorbiaceae,Jatropha curcas,L.,Saint Barthélemy
Euphorbiaceae,Jatropha multifida,L.,Saint Barthélemy
Fabaceae,Dalbergia ecastaphyllum,(L.) Taub.,Saint Barthélemy
Fabaceae,Erythrina corallodendron,L.,Saint Barthélemy
Fabaceae,Hymenaea courbaril,L.,Saint Barthélemy
Fabaceae,Parkinsonia aculeata,L.,Saint Barthélemy
Fabaceae,Piscidia carthagenensis,Jacq.,Saint Barthélemy
Fabaceae,Pithecellobium unguis-cati,(L.) Mart.,Saint Barthélemy
Fabaceae,Senna atomaria,(L.) H.S.Irwin & Barneby,Saint Barthélemy
Fabaceae,Swartzia simplex,(Sw.) Spreng.,Saint Barthélemy
Fabaceae,Vachellia farnesiana,(L.) Wight & Arn.,Saint Barthélemy
Fabaceae,Vachellia tortuosa,(L.) Seigler & Ebinger,Saint Barthélemy
Lauraceae,Licaria triandra,(Sw.) Kosterm.,Saint Barthélemy
Malpighiaceae,Bunchosia glandulosa,(Cav.) DC.,Saint Barthélemy
Malvaceae,Ceiba pentandra,(L.) Gaertn.,Saint Barthélemy
Malvaceae,Hibiscus tiliaceus,L.,Saint Barthélemy
Malvaceae,Pavonia spinifex,(L.) Cav.,Saint Barthélemy
Malvaceae,Thespesia populnea,(L.) Sol. ex CorrÃªa,Saint Barthélemy
Malvaceae,Triumfetta lappula,L.,Saint Barthélemy
Malvaceae,Triumfetta semitriloba,Jacq.,Saint Barthélemy
Meliaceae,Swietenia mahagoni,(L.) Jacq.,Saint Barthélemy
Moraceae,Ficus citrifolia,Mill.,Saint Barthélemy
Myrtaceae,Eugenia axillaris,(Sw.) Willd.,Saint Barthélemy
Myrtaceae,Eugenia cordata,(Sw.) DC.,Saint Barthélemy
Myrtaceae,Eugenia foetida,Pers.,Saint Barthélemy
Myrtaceae,Eugenia ligustrina,(Sw.) Willd.,Saint Barthélemy
Myrtaceae,Eugenia monticola,(Sw.) DC.,Saint Barthélemy
Myrtaceae,Eugenia rhombea,(O.Berg) Krug & Urb.,Saint Barthélemy
Myrtaceae,Myrcianthes fragrans,(Sw.) McVaugh,Saint Barthélemy
Myrtaceae,Myrciaria floribunda,(H.West ex Willd.) O.Berg,Saint Barthélemy
Myrtaceae,Psidium guajava,L.,Saint Barthélemy
Nyctaginaceae,Guapira fragrans,(Dum.Cours.) Little,Saint Barthélemy
Nyctaginaceae,Pisonia subcordata,Sw.,Saint Barthélemy
Picramniaceae,Picramnia pentandra,Sw.,Saint Barthélemy
Polygonaceae,Coccoloba uvifera,(L.) L.,Saint Barthélemy
Polygonaceae,Coccoloba venosa,L.,Saint Barthélemy
Primulaceae,Jacquinia armillaris,Jacq.,Saint Barthélemy
Primulaceae,Jacquinia berteroi,Spreng.,Saint Barthélemy
Rhamnaceae,Colubrina arborescens,(Mill.) Sarg.,Saint Barthélemy
Rhamnaceae,Colubrina elliptica,(Sw.) Brizicky & W.L.Stern,Saint Barthélemy
Rhamnaceae,Krugiodendron ferreum,(Vahl) Urb.,Saint Barthélemy
Rubiaceae,Ernodea littoralis,Sw.,Saint Barthélemy
Rubiaceae,Exostema caribaeum,(Jacq.) Schult.,Saint Barthélemy
Rubiaceae,Guettarda odorata,(Jacq.) Lam.,Saint Barthélemy
Rubiaceae,Palicourea guianensis,Aubl.,Saint Barthélemy
Rubiaceae,Randia aculeata,L.,Saint Barthélemy
Rubiaceae,Stenostomum acutatum,DC.,Saint Barthélemy
Rutaceae,Amyris elemifera,L.,Saint Barthélemy
Rutaceae,Zanthoxylum flavum,Vahl,Saint Barthélemy
Rutaceae,Zanthoxylum punctatum,Vahl,Saint Barthélemy
Rutaceae,Zanthoxylum tragodes,(L.) DC.,Saint Barthélemy
Salicaceae,Casearia dodecandra,(Jacq.) T.Samar. & M.H.Alford,Saint Barthélemy
Sapindaceae,Sapindus saponaria,L.,Saint Barthélemy
Schoepfiaceae,Schoepfia schreberi,J.F.Gmel.,Saint Barthélemy
Scrophulariaceae,Bontia daphnoides,L.,Saint Barthélemy
Solanaceae,Solanum bahamense,L.,Saint Barthélemy
Verbenaceae,Citharexylum spinosum,L.,Saint Barthélemy
Verbenaceae,Duranta erecta,L.,Saint Barthélemy
Zygophyllaceae,Guaiacum officinale,L.,Saint Barthélemy
