family,taxon,author,native to
Asteraceae,Commidendrum robustum,(Roxb.) DC.,Saint Helena
Asteraceae,Commidendrum rotundifolium,(Roxb.) DC.,Saint Helena
Asteraceae,Commidendrum spurium,(G.Forst.) DC.,Saint Helena
Asteraceae,Lachanodes arborea,(Roxb.) B.Nord.,Saint Helena
Asteraceae,Melanodendron integrifolium,DC.,Saint Helena
Asteraceae,Petrobium arboreum,(J.R.Forst. & G.Forst.) R.Br. ex Spreng.      ,Saint Helena
Asteraceae,Pladaroxylon leucadendron,Hook.f.,Saint Helena
Fabaceae,Sophora cassioides,(F.Phil.) Sparre,Saint Helena
Malvaceae,Trochetiopsis ebenus,Cronk,Saint Helena
Malvaceae,Trochetiopsis erythroxylon,(G.Forst.) Marais,Saint Helena
Malvaceae,Trochetiopsis melanoxylon,(Sol. ex Sims) Marais,Saint Helena
Rhamnaceae,Nesiota elliptica,(Roxb.) Hook.f.,Saint Helena
Rhamnaceae,Phylica arborea,Thouars,Saint Helena
Rhamnaceae,Phylica polifolia,(Vahl) Pillans,Saint Helena
Rubiaceae,Nesohedyotis arborea,(Roxb.) Bremek.,Saint Helena
