family,taxon,author,native to
Acanthaceae,Avicennia germinans,(L.) L.,Saint Kitts and Nevis
Acanthaceae,Avicennia schaueriana,Stapf & Leechm. ex Moldenke,Saint Kitts and Nevis
Anacardiaceae,Comocladia dodonaea,(L.) Britton,Saint Kitts and Nevis
Anacardiaceae,Spondias mombin,L.,Saint Kitts and Nevis
Annonaceae,Guatteria caribaea,Urb.,Saint Kitts and Nevis
Annonaceae,Oxandra laurifolia,(Sw.) A.Rich.,Saint Kitts and Nevis
Apocynaceae,Rauvolfia nitida,Jacq.,Saint Kitts and Nevis
Apocynaceae,Rauvolfia tetraphylla,L.,Saint Kitts and Nevis
Apocynaceae,Rauvolfia viridis,Roem. & Schult.,Saint Kitts and Nevis
Apocynaceae,Tabernaemontana citrifolia,L.,Saint Kitts and Nevis
Aquifoliaceae,Ilex dioica,(Vahl) Griseb.,Saint Kitts and Nevis
Aquifoliaceae,Ilex macfadyenii,(Walp.) Rehder,Saint Kitts and Nevis
Aquifoliaceae,Ilex sideroxyloides,(Sw.) Griseb.,Saint Kitts and Nevis
Araliaceae,Sciodaphyllum attenuatum,"(Sw.) Lowry, G.M.Plunkett & M.M.Mora",Saint Kitts and Nevis
Arecaceae,Acrocomia aculeata,(Jacq.) Lodd. ex R.Keith,Saint Kitts and Nevis
Arecaceae,Leucothrinax morrisii,(H.Wendl.) C.Lewis & Zona,Saint Kitts and Nevis
Arecaceae,Prestoea acuminata,(Willd.) H.E.Moore,Saint Kitts and Nevis
Bignoniaceae,Crescentia cujete,L.,Saint Kitts and Nevis
Bignoniaceae,Tabebuia heterophylla,(DC.) Britton,Saint Kitts and Nevis
Bignoniaceae,Tecoma stans,(L.) Juss. ex Kunth,Saint Kitts and Nevis
Boraginaceae,Bourreria succulenta,Jacq.,Saint Kitts and Nevis
Boraginaceae,Cordia sulcata,A.DC.,Saint Kitts and Nevis
Burseraceae,Bursera simaruba,(L.) Sarg.,Saint Kitts and Nevis
Burseraceae,Dacryodes excelsa,Vahl,Saint Kitts and Nevis
Burseraceae,Protium attenuatum,(Rose) Urb.,Saint Kitts and Nevis
Cactaceae,Consolea rubescens,(Salm-Dyck ex DC.) Lem.,Saint Kitts and Nevis
Calophyllaceae,Mammea americana,L.,Saint Kitts and Nevis
Calophyllaceae,Marila racemosa,Sw.,Saint Kitts and Nevis
Cannabaceae,Celtis iguanaea,(Jacq.) Sarg.,Saint Kitts and Nevis
Cannabaceae,Trema lamarckianum,(Schult.) Blume,Saint Kitts and Nevis
Capparaceae,Capparidastrum frondosum,(Jacq.) Cornejo & Iltis,Saint Kitts and Nevis
Capparaceae,Cynophalla flexuosa,(L.) J.Presl,Saint Kitts and Nevis
Capparaceae,Cynophalla hastata,(Jacq.) J.Presl,Saint Kitts and Nevis
Capparaceae,Quadrella indica,(L.) Iltis & Cornejo,Saint Kitts and Nevis
Caryocaraceae,Caryocar nuciferum,L.,Saint Kitts and Nevis
Celastraceae,Crossopetalum rhacoma,Crantz,Saint Kitts and Nevis
Celastraceae,Elaeodendron xylocarpum,(Vent.) DC.,Saint Kitts and Nevis
Celastraceae,Schaefferia frutescens,Jacq.,Saint Kitts and Nevis
Chloranthaceae,Hedyosmum arborescens,Sw.,Saint Kitts and Nevis
Chrysobalanaceae,Chrysobalanus cuspidatus,Griseb. ex Duss,Saint Kitts and Nevis
Chrysobalanaceae,Chrysobalanus icaco,L.,Saint Kitts and Nevis
Chrysobalanaceae,Hirtella triandra,Sw.,Saint Kitts and Nevis
Clusiaceae,Clusia major,L.,Saint Kitts and Nevis
Combretaceae,Conocarpus erectus,L.,Saint Kitts and Nevis
Combretaceae,Laguncularia racemosa,(L.) C.F.Gaertn.,Saint Kitts and Nevis
Cunoniaceae,Weinmannia pinnata,L.,Saint Kitts and Nevis
Elaeocarpaceae,Sloanea berteroana,Choisy ex DC.,Saint Kitts and Nevis
Elaeocarpaceae,Sloanea dentata,L.,Saint Kitts and Nevis
Erythroxylaceae,Erythroxylum havanense,Jacq.,Saint Kitts and Nevis
Erythroxylaceae,Erythroxylum squamatum,Sw.,Saint Kitts and Nevis
Euphorbiaceae,Croton astroites,Aiton,Saint Kitts and Nevis
Euphorbiaceae,Croton flavens,L.,Saint Kitts and Nevis
Euphorbiaceae,Hippomane mancinella,L.,Saint Kitts and Nevis
Euphorbiaceae,Sapium glandulosum,(L.) Morong,Saint Kitts and Nevis
Fabaceae,Bauhinia divaricata,L.,Saint Kitts and Nevis
Fabaceae,Bauhinia multinervia,(Kunth) DC.,Saint Kitts and Nevis
Fabaceae,Calliandra purpurea,(L.) Benth.,Saint Kitts and Nevis
Fabaceae,Erythrina corallodendron,L.,Saint Kitts and Nevis
Fabaceae,Inga laurina,(Sw.) Willd.,Saint Kitts and Nevis
Fabaceae,Lonchocarpus heptaphyllus,(Poir.) DC.,Saint Kitts and Nevis
Fabaceae,Lonchocarpus violaceus,(Jacq.) Kunth ex DC.,Saint Kitts and Nevis
