family,taxon,author,native to
Acanthaceae,Avicennia germinans,(L.) L.,Saint Lucia
Acanthaceae,Avicennia schaueriana,Stapf & Leechm. ex Moldenke,Saint Lucia
Anacardiaceae,Comocladia dodonaea,(L.) Britton,Saint Lucia
Anacardiaceae,Spondias mombin,L.,Saint Lucia
Annonaceae,Annona glabra,L.,Saint Lucia
Annonaceae,Annona montana,Macfad.,Saint Lucia
Annonaceae,Annona mucosa,Jacq.,Saint Lucia
Annonaceae,Guatteria caribaea,Urb.,Saint Lucia
Annonaceae,Oxandra laurifolia,(Sw.) A.Rich.,Saint Lucia
Apocynaceae,Plumeria alba,L.,Saint Lucia
Apocynaceae,Rauvolfia viridis,Roem. & Schult.,Saint Lucia
Apocynaceae,Tabernaemontana citrifolia,L.,Saint Lucia
Aquifoliaceae,Ilex nitida,(Vahl) Maxim.,Saint Lucia
Aquifoliaceae,Ilex sideroxyloides,(Sw.) Griseb.,Saint Lucia
Araliaceae,Oreopanax capitatus,(Jacq.) Decne. & Planch.,Saint Lucia
Araliaceae,Sciodaphyllum attenuatum,"(Sw.) Lowry, G.M.Plunkett & M.M.Mora",Saint Lucia
Arecaceae,Acrocomia aculeata,(Jacq.) Lodd. ex R.Keith,Saint Lucia
Arecaceae,Aiphanes minima,(Gaertn.) Burret,Saint Lucia
Arecaceae,Coccothrinax barbadensis,(Lodd. ex Mart.) Becc.,Saint Lucia
Arecaceae,Geonoma pinnatifrons,Willd.,Saint Lucia
Arecaceae,Geonoma undata,Klotzsch,Saint Lucia
Arecaceae,Prestoea acuminata,(Willd.) H.E.Moore,Saint Lucia
Arecaceae,Roystonea oleracea,(Jacq.) O.F.Cook,Saint Lucia
Arecaceae,Sabal causiarum,(O.F.Cook) Becc.,Saint Lucia
Arecaceae,Syagrus amara,(Jacq.) Mart.,Saint Lucia
Asteraceae,Koanophyllon celtidifolium,(Lam.) R.M.King & H.Rob.,Saint Lucia
Bignoniaceae,Crescentia cujete,L.,Saint Lucia
Bignoniaceae,Tabebuia heterophylla,(DC.) Britton,Saint Lucia
Bignoniaceae,Tabebuia pallida,(Lindl.) Miers,Saint Lucia
Bignoniaceae,Tecoma stans,(L.) Juss. ex Kunth,Saint Lucia
Boraginaceae,Bourreria succulenta,Jacq.,Saint Lucia
Boraginaceae,Cordia collococca,L.,Saint Lucia
Boraginaceae,Cordia elliptica,Sw.,Saint Lucia
Boraginaceae,Cordia laevigata,Lam.,Saint Lucia
Boraginaceae,Cordia sulcata,A.DC.,Saint Lucia
Boraginaceae,Heliotropium filiflorum,(Griseb.) Feuillet,Saint Lucia
Boraginaceae,Varronia martinicensis,Jacq.,Saint Lucia
Burseraceae,Bursera simaruba,(L.) Sarg.,Saint Lucia
Burseraceae,Dacryodes excelsa,Vahl,Saint Lucia
Burseraceae,Protium attenuatum,(Rose) Urb.,Saint Lucia
Cactaceae,Consolea rubescens,(Salm-Dyck ex DC.) Lem.,Saint Lucia
Cactaceae,Pilosocereus royenii,(L.) Byles & G.D.Rowley,Saint Lucia
Calophyllaceae,Marila racemosa,Sw.,Saint Lucia
Canellaceae,Canella winterana,(L.) Gaertn.,Saint Lucia
Cannabaceae,Celtis iguanaea,(Jacq.) Sarg.,Saint Lucia
Cannabaceae,Trema lamarckianum,(Schult.) Blume,Saint Lucia
Cannabaceae,Trema micranthum,(L.) Blume,Saint Lucia
Capparaceae,Capparidastrum frondosum,(Jacq.) Cornejo & Iltis,Saint Lucia
Capparaceae,Crateva tapia,L.,Saint Lucia
Capparaceae,Cynophalla flexuosa,(L.) J.Presl,Saint Lucia
Capparaceae,Cynophalla hastata,(Jacq.) J.Presl,Saint Lucia
Capparaceae,Morisonia americana,L.,Saint Lucia
Capparaceae,Quadrella cynophallophora,(L.) Hutch.,Saint Lucia
Capparaceae,Quadrella indica,(L.) Iltis & Cornejo,Saint Lucia
Capparaceae,Quadrella odoratissima,(Jacq.) Hutch.,Saint Lucia
Celastraceae,Crossopetalum rhacoma,Crantz,Saint Lucia
Celastraceae,Elaeodendron xylocarpum,(Vent.) DC.,Saint Lucia
Celastraceae,Gyminda latifolia,(Sw.) Urb.,Saint Lucia
Celastraceae,Maytenus guyanensis,Klotzsch ex Reissek,Saint Lucia
Celastraceae,Monteverdia laevigata,(Vahl) Biral,Saint Lucia
Celastraceae,Schaefferia frutescens,Jacq.,Saint Lucia
Chloranthaceae,Hedyosmum arborescens,Sw.,Saint Lucia
Chrysobalanaceae,Chrysobalanus cuspidatus,Griseb. ex Duss,Saint Lucia
Chrysobalanaceae,Chrysobalanus icaco,L.,Saint Lucia
Chrysobalanaceae,Hirtella pendula,Sol. ex Lam.,Saint Lucia
Chrysobalanaceae,Hirtella triandra,Sw.,Saint Lucia
Chrysobalanaceae,Licania ternatensis,Hook.f. ex Duss,Saint Lucia
Chrysobalanaceae,Moquilea leucosepala,(Griseb.) R.O.Williams,Saint Lucia
Clusiaceae,Chrysochlamys caribaea,Urb.,Saint Lucia
Clusiaceae,Clusia major,L.,Saint Lucia
Clusiaceae,Clusia plukenetii,Urb.,Saint Lucia
Clusiaceae,Garcinia humilis,(Vahl) C.D.Adams,Saint Lucia
Clusiaceae,Symphonia globulifera,L.f.,Saint Lucia
Clusiaceae,Tovomita plumieri,Griseb.,Saint Lucia
Combretaceae,Conocarpus erectus,L.,Saint Lucia
Combretaceae,Laguncularia racemosa,(L.) C.F.Gaertn.,Saint Lucia
Combretaceae,Terminalia tetraphylla,(Aubl.) Gere & Boatwr.,Saint Lucia
Connaraceae,Rourea surinamensis,Miq.,Saint Lucia
Cunoniaceae,Weinmannia pinnata,L.,Saint Lucia
Cupressaceae,Juniperus barbadensis,L.,Saint Lucia
Dichapetalaceae,Tapura latifolia,Benth.,Saint Lucia
Ebenaceae,Diospyros revoluta,Poir.,Saint Lucia
Elaeocarpaceae,Sloanea caribaea,Krug & Urb. ex Duss,Saint Lucia
Elaeocarpaceae,Sloanea dentata,L.,Saint Lucia
Erythroxylaceae,Erythroxylum havanense,Jacq.,Saint Lucia
Erythroxylaceae,Erythroxylum oxycarpum,O.E.Schulz,Saint Lucia
Erythroxylaceae,Erythroxylum squamatum,Sw.,Saint Lucia
Euphorbiaceae,Croton corylifolius,Lam.,Saint Lucia
Euphorbiaceae,Croton flavens,L.,Saint Lucia
Euphorbiaceae,Croton hircinus,Vent.,Saint Lucia
Euphorbiaceae,Croton micans,Sw.,Saint Lucia
Euphorbiaceae,Croton niveus,Jacq.,Saint Lucia
Euphorbiaceae,Gymnanthes hypoleuca,Benth.,Saint Lucia
Euphorbiaceae,Hippomane mancinella,L.,Saint Lucia
Euphorbiaceae,Hura crepitans,L.,Saint Lucia
Euphorbiaceae,Sapium glandulosum,(L.) Morong,Saint Lucia
Fabaceae,Andira inermis,(W.Wright) DC.,Saint Lucia
Fabaceae,Bauhinia multinervia,(Kunth) DC.,Saint Lucia
Fabaceae,Calliandra purpurea,(L.) Benth.,Saint Lucia
Fabaceae,Calliandra tergemina,(L.) Benth.,Saint Lucia
Fabaceae,Crudia glaberrima,(Steud.) J.F.Macbr.,Saint Lucia
Fabaceae,Dussia martinicensis,Krug & Urb.,Saint Lucia
Fabaceae,Erythrina corallodendron,L.,Saint Lucia
Fabaceae,Hymenaea courbaril,L.,Saint Lucia
Fabaceae,Inga ingoides,(Rich.) Willd.,Saint Lucia
Fabaceae,Inga laurina,(Sw.) Willd.,Saint Lucia
Fabaceae,Jupunba trapezifolia,"(Benth.) M.V.B.Soares, M.P.Morim & Iganci",Saint Lucia
Fabaceae,Lonchocarpus heptaphyllus,(Poir.) DC.,Saint Lucia
Fabaceae,Lonchocarpus violaceus,(Jacq.) Kunth ex DC.,Saint Lucia
Fabaceae,Machaerium lunatum,(L.f.) Ducke,Saint Lucia
Fabaceae,Ormosia monosperma,(Sw.) Urb.,Saint Lucia
Fabaceae,Piscidia carthagenensis,Jacq.,Saint Lucia
Fabaceae,Pithecellobium unguis-cati,(L.) Mart.,Saint Lucia
Fabaceae,Pterocarpus officinalis,Jacq.,Saint Lucia
Fabaceae,Senegalia tamarindifolia,(L.) Britton & Rose,Saint Lucia
Fabaceae,Swartzia caribaea,Griseb.,Saint Lucia
Fabaceae,Vachellia farnesiana,(L.) Wight & Arn.,Saint Lucia
Fabaceae,Vachellia macracantha,(Humb. & Bonpl. ex Willd.) Seigler & Ebinger,Saint Lucia
Heliotropiaceae,Tournefortia bicolor,Sw.,Saint Lucia
Lamiaceae,Aegiphila martinicensis,Jacq.,Saint Lucia
Lamiaceae,Cornutia pyramidata,L.,Saint Lucia
Lamiaceae,Vitex divaricata,Sw.,Saint Lucia
Lauraceae,Aiouea montana,(Sw.) R.Rohde,Saint Lucia
Lauraceae,Aniba bracteata,(Nees) Mez,Saint Lucia
Lauraceae,Aniba ramageana,Mez,Saint Lucia
Lauraceae,Beilschmiedia pendula,(Sw.) Hemsl.,Saint Lucia
Lauraceae,Damburneya coriacea,(Sw.) Trofimov & Rohwer,Saint Lucia
Lauraceae,Damburneya patens,(Sw.) Trofimov,Saint Lucia
Lauraceae,Endlicheria sericea,Nees,Saint Lucia
Lauraceae,Licaria sericea,(Griseb.) Kosterm.,Saint Lucia
Lauraceae,Nectandra membranacea,(Sw.) Griseb.,Saint Lucia
Lauraceae,Ocotea aciphylla,(Nees & Mart.) Mez,Saint Lucia
Lauraceae,Ocotea eggersiana,Mez,Saint Lucia
