family,taxon,author,native to
Acanthaceae,Avicennia germinans,(L.) L.,Saint Martin (French Part)
Anacardiaceae,Comocladia dodonaea,(L.) Britton,Saint Martin (French Part)
Apocynaceae,Plumeria alba,L.,Saint Martin (French Part)
Apocynaceae,Rauvolfia viridis,Roem. & Schult.,Saint Martin (French Part)
Apocynaceae,Tabernaemontana citrifolia,L.,Saint Martin (French Part)
Arecaceae,Prestoea acuminata,(Willd.) H.E.Moore,Saint Martin (French Part)
Bignoniaceae,Crescentia cujete,L.,Saint Martin (French Part)
Bignoniaceae,Crescentia linearifolia,Miers,Saint Martin (French Part)
Bignoniaceae,Tabebuia heterophylla,(DC.) Britton,Saint Martin (French Part)
Bignoniaceae,Tabebuia lepidota,(Kunth) Britton,Saint Martin (French Part)
Bignoniaceae,Tecoma stans,(L.) Juss. ex Kunth,Saint Martin (French Part)
Boraginaceae,Bourreria succulenta,Jacq.,Saint Martin (French Part)
Boraginaceae,Heliotropium filiflorum,(Griseb.) Feuillet,Saint Martin (French Part)
Boraginaceae,Rochefortia acanthophora,(A.DC.) Griseb.,Saint Martin (French Part)
Burseraceae,Bursera simaruba,(L.) Sarg.,Saint Martin (French Part)
Cactaceae,Cereus repandus,(L.) Mill.,Saint Martin (French Part)
Cactaceae,Consolea rubescens,(Salm-Dyck ex DC.) Lem.,Saint Martin (French Part)
Cactaceae,Pilosocereus lanuginosus,(L.) Byles & G.D.Rowley,Saint Martin (French Part)
Cactaceae,Stenocereus griseus,(Haw.) Buxb.,Saint Martin (French Part)
Calophyllaceae,Mammea americana,L.,Saint Martin (French Part)
Canellaceae,Canella winterana,(L.) Gaertn.,Saint Martin (French Part)
Cannabaceae,Celtis iguanaea,(Jacq.) Sarg.,Saint Martin (French Part)
Capparaceae,Capparidastrum frondosum,(Jacq.) Cornejo & Iltis,Saint Martin (French Part)
Capparaceae,Cynophalla flexuosa,(L.) J.Presl,Saint Martin (French Part)
Capparaceae,Morisonia americana,L.,Saint Martin (French Part)
