family,taxon,author,native to
Aquifoliaceae,Ilex mucronata,"(L.) M. Powell, Savol. & S. Andrews",Saint Pierre and Miquelon
Aquifoliaceae,Ilex verticillata,(L.) A. Gray,Saint Pierre and Miquelon
Betulaceae,Alnus incana,(L.) Moench,Saint Pierre and Miquelon
Betulaceae,Betula alleghaniensis,Britton,Saint Pierre and Miquelon
Betulaceae,Betula cordifolia,Regel,Saint Pierre and Miquelon
Betulaceae,Betula papyrifera,Marshall,Saint Pierre and Miquelon
Myricaceae,Morella pensylvanica,(Mirb.) Kartesz,Saint Pierre and Miquelon
Pinaceae,Abies balsamea,(L.) Mill.,Saint Pierre and Miquelon
Rosaceae,Amelanchier bartramiana,(Tausch) M.Roem.,Saint Pierre and Miquelon
Rosaceae,Amelanchier laevis,Wiegand,Saint Pierre and Miquelon
Rosaceae,Prunus pensylvanica,L.f.,Saint Pierre and Miquelon
Rosaceae,Prunus virginiana,L.,Saint Pierre and Miquelon
Rosaceae,Sorbus americana,Marshall,Saint Pierre and Miquelon
Rosaceae,Sorbus decora,(Sarg.) C.K.Schneid.,Saint Pierre and Miquelon
Salicaceae,Populus tremuloides,Michx.,Saint Pierre and Miquelon
Salicaceae,Salix glauca,L.,Saint Pierre and Miquelon
Salicaceae,Salix lucida,Muhl.,Saint Pierre and Miquelon
Salicaceae,Salix pellita,(Andersson) Bebb,Saint Pierre and Miquelon
Salicaceae,Salix planifolia,Pursh,Saint Pierre and Miquelon
