family,taxon,author,native to
Acanthaceae,Avicennia germinans,(L.) L.,Saint Vincent and the Grenadines
Acanthaceae,Avicennia schaueriana,Stapf & Leechm. ex Moldenke,Saint Vincent and the Grenadines
Anacardiaceae,Comocladia dodonaea,(L.) Britton,Saint Vincent and the Grenadines
Anacardiaceae,Spondias mombin,L.,Saint Vincent and the Grenadines
Annonaceae,Annona glabra,L.,Saint Vincent and the Grenadines
Annonaceae,Annona montana,Macfad.,Saint Vincent and the Grenadines
Annonaceae,Annona mucosa,Jacq.,Saint Vincent and the Grenadines
Apocynaceae,Plumeria alba,L.,Saint Vincent and the Grenadines
Apocynaceae,Rauvolfia viridis,Roem. & Schult.,Saint Vincent and the Grenadines
Apocynaceae,Tabernaemontana citrifolia,L.,Saint Vincent and the Grenadines
Aquifoliaceae,Ilex dioica,(Vahl) Griseb.,Saint Vincent and the Grenadines
Aquifoliaceae,Ilex sideroxyloides,(Sw.) Griseb.,Saint Vincent and the Grenadines
Araliaceae,Oreopanax capitatus,(Jacq.) Decne. & Planch.,Saint Vincent and the Grenadines
Araliaceae,Sciodaphyllum attenuatum,"(Sw.) Lowry, G.M.Plunkett & M.M.Mora",Saint Vincent and the Grenadines
Arecaceae,Acrocomia aculeata,(Jacq.) Lodd. ex R.Keith,Saint Vincent and the Grenadines
Arecaceae,Desmoncus polyacanthos,Mart.,Saint Vincent and the Grenadines
Arecaceae,Prestoea acuminata,(Willd.) H.E.Moore,Saint Vincent and the Grenadines
Asteraceae,Clibadium surinamense,L.,Saint Vincent and the Grenadines
Asteraceae,Koanophyllon celtidifolium,(Lam.) R.M.King & H.Rob.,Saint Vincent and the Grenadines
Asteraceae,Trixis inula,Crantz,Saint Vincent and the Grenadines
Bignoniaceae,Amphitecna latifolia,(Mill.) A.H.Gentry,Saint Vincent and the Grenadines
Bignoniaceae,Crescentia cujete,L.,Saint Vincent and the Grenadines
Bignoniaceae,Tabebuia heterophylla,(DC.) Britton,Saint Vincent and the Grenadines
Bignoniaceae,Tabebuia pallida,(Lindl.) Miers,Saint Vincent and the Grenadines
Bignoniaceae,Tecoma stans,(L.) Juss. ex Kunth,Saint Vincent and the Grenadines
Boraginaceae,Bourreria succulenta,Jacq.,Saint Vincent and the Grenadines
Boraginaceae,Cordia alliodora,(Ruiz & Pav.) Oken,Saint Vincent and the Grenadines
Boraginaceae,Cordia collococca,L.,Saint Vincent and the Grenadines
Boraginaceae,Cordia sulcata,A.DC.,Saint Vincent and the Grenadines
Boraginaceae,Heliotropium filiflorum,(Griseb.) Feuillet,Saint Vincent and the Grenadines
Burseraceae,Bursera simaruba,(L.) Sarg.,Saint Vincent and the Grenadines
Burseraceae,Dacryodes excelsa,Vahl,Saint Vincent and the Grenadines
Burseraceae,Protium attenuatum,(Rose) Urb.,Saint Vincent and the Grenadines
Burseraceae,Protium guianense,(Aubl.) Marchand,Saint Vincent and the Grenadines
Cactaceae,Consolea rubescens,(Salm-Dyck ex DC.) Lem.,Saint Vincent and the Grenadines
Cactaceae,Pilosocereus royenii,(L.) Byles & G.D.Rowley,Saint Vincent and the Grenadines
Calophyllaceae,Mammea americana,L.,Saint Vincent and the Grenadines
Calophyllaceae,Marila racemosa,Sw.,Saint Vincent and the Grenadines
Canellaceae,Canella winterana,(L.) Gaertn.,Saint Vincent and the Grenadines
Cannabaceae,Celtis iguanaea,(Jacq.) Sarg.,Saint Vincent and the Grenadines
Cannabaceae,Trema domingense,Urb.,Saint Vincent and the Grenadines
Cannabaceae,Trema lamarckianum,(Schult.) Blume,Saint Vincent and the Grenadines
Cannabaceae,Trema micranthum,(L.) Blume,Saint Vincent and the Grenadines
Capparaceae,Capparidastrum frondosum,(Jacq.) Cornejo & Iltis,Saint Vincent and the Grenadines
Capparaceae,Crateva tapia,L.,Saint Vincent and the Grenadines
Capparaceae,Cynophalla flexuosa,(L.) J.Presl,Saint Vincent and the Grenadines
Capparaceae,Cynophalla hastata,(Jacq.) J.Presl,Saint Vincent and the Grenadines
Capparaceae,Morisonia americana,L.,Saint Vincent and the Grenadines
Capparaceae,Quadrella cynophallophora,(L.) Hutch.,Saint Vincent and the Grenadines
Capparaceae,Quadrella indica,(L.) Iltis & Cornejo,Saint Vincent and the Grenadines
Capparaceae,Quadrella odoratissima,(Jacq.) Hutch.,Saint Vincent and the Grenadines
Caryocaraceae,Caryocar nuciferum,L.,Saint Vincent and the Grenadines
Celastraceae,Elaeodendron xylocarpum,(Vent.) DC.,Saint Vincent and the Grenadines
Celastraceae,Gyminda latifolia,(Sw.) Urb.,Saint Vincent and the Grenadines
Celastraceae,Monteverdia laevigata,(Vahl) Biral,Saint Vincent and the Grenadines
Celastraceae,Schaefferia frutescens,Jacq.,Saint Vincent and the Grenadines
Chloranthaceae,Hedyosmum arborescens,Sw.,Saint Vincent and the Grenadines
Chrysobalanaceae,Chrysobalanus icaco,L.,Saint Vincent and the Grenadines
Chrysobalanaceae,Hirtella paniculata,Sw.,Saint Vincent and the Grenadines
Chrysobalanaceae,Hirtella triandra,Sw.,Saint Vincent and the Grenadines
Chrysobalanaceae,Licania ternatensis,Hook.f. ex Duss,Saint Vincent and the Grenadines
Chrysobalanaceae,Moquilea leucosepala,(Griseb.) R.O.Williams,Saint Vincent and the Grenadines
Clusiaceae,Clusia major,L.,Saint Vincent and the Grenadines
Clusiaceae,Clusia minor,L.,Saint Vincent and the Grenadines
Clusiaceae,Garcinia humilis,(Vahl) C.D.Adams,Saint Vincent and the Grenadines
Combretaceae,Conocarpus erectus,L.,Saint Vincent and the Grenadines
Combretaceae,Laguncularia racemosa,(L.) C.F.Gaertn.,Saint Vincent and the Grenadines
Combretaceae,Terminalia buceras,(L.) C.Wright,Saint Vincent and the Grenadines
Combretaceae,Terminalia tetraphylla,(Aubl.) Gere & Boatwr.,Saint Vincent and the Grenadines
Cunoniaceae,Weinmannia pinnata,L.,Saint Vincent and the Grenadines
Cyrillaceae,Cyrilla racemiflora,L.,Saint Vincent and the Grenadines
Ebenaceae,Diospyros inconstans,Jacq.,Saint Vincent and the Grenadines
Elaeocarpaceae,Sloanea caribaea,Krug & Urb. ex Duss,Saint Vincent and the Grenadines
Erythroxylaceae,Erythroxylum havanense,Jacq.,Saint Vincent and the Grenadines
Euphorbiaceae,Bernardia dichotoma,(Willd.) Müll.Arg.,Saint Vincent and the Grenadines
Euphorbiaceae,Croton corylifolius,Lam.,Saint Vincent and the Grenadines
Euphorbiaceae,Croton flavens,L.,Saint Vincent and the Grenadines
Euphorbiaceae,Croton hircinus,Vent.,Saint Vincent and the Grenadines
Euphorbiaceae,Croton micans,Sw.,Saint Vincent and the Grenadines
Euphorbiaceae,Croton niveus,Jacq.,Saint Vincent and the Grenadines
Euphorbiaceae,Hippomane mancinella,L.,Saint Vincent and the Grenadines
Euphorbiaceae,Hura crepitans,L.,Saint Vincent and the Grenadines
Euphorbiaceae,Jatropha curcas,L.,Saint Vincent and the Grenadines
Euphorbiaceae,Jatropha multifida,L.,Saint Vincent and the Grenadines
Euphorbiaceae,Sapium glandulosum,(L.) Morong,Saint Vincent and the Grenadines
Euphorbiaceae,Tetrorchidium rubrivenium,Poepp.,Saint Vincent and the Grenadines
Fabaceae,Acaciella glauca,(L.) L.Rico,Saint Vincent and the Grenadines
Fabaceae,Anadenanthera peregrina,(L.) Speg.,Saint Vincent and the Grenadines
Fabaceae,Andira inermis,(W.Wright) DC.,Saint Vincent and the Grenadines
Fabaceae,Bauhinia aculeata,L.,Saint Vincent and the Grenadines
Fabaceae,Bauhinia multinervia,(Kunth) DC.,Saint Vincent and the Grenadines
Fabaceae,Calliandra purpurea,(L.) Benth.,Saint Vincent and the Grenadines
Fabaceae,Calliandra tergemina,(L.) Benth.,Saint Vincent and the Grenadines
Fabaceae,Chloroleucon mangense,(Jacq.) Britton & Rose,Saint Vincent and the Grenadines
Fabaceae,Clathrotropis brachypetala,(Tul.) Kleinh.,Saint Vincent and the Grenadines
Fabaceae,Dalbergia ecastaphyllum,(L.) Taub.,Saint Vincent and the Grenadines
Fabaceae,Dussia martinicensis,Krug & Urb.,Saint Vincent and the Grenadines
Fabaceae,Erythrina corallodendron,L.,Saint Vincent and the Grenadines
Fabaceae,Hymenaea courbaril,L.,Saint Vincent and the Grenadines
Fabaceae,Inga ingoides,(Rich.) Willd.,Saint Vincent and the Grenadines
Fabaceae,Inga laurina,(Sw.) Willd.,Saint Vincent and the Grenadines
Fabaceae,Jupunba trapezifolia,"(Benth.) M.V.B.Soares, M.P.Morim & Iganci",Saint Vincent and the Grenadines
Fabaceae,Libidibia coriaria,(Jacq.) Schltdl.,Saint Vincent and the Grenadines
Fabaceae,Lonchocarpus violaceus,(Jacq.) Kunth ex DC.,Saint Vincent and the Grenadines
Fabaceae,Machaerium lunatum,(L.f.) Ducke,Saint Vincent and the Grenadines
Fabaceae,Ormosia monosperma,(Sw.) Urb.,Saint Vincent and the Grenadines
Fabaceae,Parkinsonia aculeata,L.,Saint Vincent and the Grenadines
Fabaceae,Piscidia carthagenensis,Jacq.,Saint Vincent and the Grenadines
Fabaceae,Pithecellobium unguis-cati,(L.) Mart.,Saint Vincent and the Grenadines
Fabaceae,Pseudalbizzia niopoides,(Spruce ex Benth.) E.J.M.Koenen & Duno,Saint Vincent and the Grenadines
Fabaceae,Pterocarpus officinalis,Jacq.,Saint Vincent and the Grenadines
Fabaceae,Senegalia tamarindifolia,(L.) Britton & Rose,Saint Vincent and the Grenadines
Fabaceae,Senna atomaria,(L.) H.S.Irwin & Barneby,Saint Vincent and the Grenadines
Fabaceae,Senna undulata,(Benth.) H.S.Irwin & Barneby,Saint Vincent and the Grenadines
Fabaceae,Sophora tomentosa,L.,Saint Vincent and the Grenadines
Fabaceae,Vachellia farnesiana,(L.) Wight & Arn.,Saint Vincent and the Grenadines
Fabaceae,Vachellia macracantha,(Humb. & Bonpl. ex Willd.) Seigler & Ebinger,Saint Vincent and the Grenadines
Fabaceae,Zygia latifolia,(L.) Fawc. & Rendle,Saint Vincent and the Grenadines
Heliotropiaceae,Tournefortia bicolor,Sw.,Saint Vincent and the Grenadines
Hernandiaceae,Hernandia sonora,L.,Saint Vincent and the Grenadines
Humiriaceae,Sacoglottis amazonica,Mart.,Saint Vincent and the Grenadines
Lamiaceae,Aegiphila martinicensis,Jacq.,Saint Vincent and the Grenadines
Lamiaceae,Cornutia pyramidata,L.,Saint Vincent and the Grenadines
Lamiaceae,Vitex divaricata,Sw.,Saint Vincent and the Grenadines
Lauraceae,Aiouea montana,(Sw.) R.Rohde,Saint Vincent and the Grenadines
Lauraceae,Aniba bracteata,(Nees) Mez,Saint Vincent and the Grenadines
Lauraceae,Beilschmiedia pendula,(Sw.) Hemsl.,Saint Vincent and the Grenadines
Lauraceae,Damburneya coriacea,(Sw.) Trofimov & Rohwer,Saint Vincent and the Grenadines
Lauraceae,Damburneya patens,(Sw.) Trofimov,Saint Vincent and the Grenadines
Lauraceae,Endlicheria sericea,Nees,Saint Vincent and the Grenadines
Lauraceae,Ocotea eggersiana,Mez,Saint Vincent and the Grenadines
Lauraceae,Ocotea leptobotra,(Ruiz & Pav.) Mez,Saint Vincent and the Grenadines
Lauraceae,Ocotea leucoxylon,(Sw.) Laness.,Saint Vincent and the Grenadines
Lauraceae,Ocotea martinicensis,Mez,Saint Vincent and the Grenadines
Magnoliaceae,Magnolia dodecapetala,(Lam.) Govaerts,Saint Vincent and the Grenadines
Malpighiaceae,Bunchosia polystachia,(Andrews) DC.,Saint Vincent and the Grenadines
Malpighiaceae,Byrsonima spicata,(Cav.) Rich. ex Kunth,Saint Vincent and the Grenadines
Malpighiaceae,Byrsonima trinitensis,A.Juss.,Saint Vincent and the Grenadines
Malvaceae,Apeiba tibourbou,Aubl.,Saint Vincent and the Grenadines
Malvaceae,Ceiba pentandra,(L.) Gaertn.,Saint Vincent and the Grenadines
Malvaceae,Guazuma ulmifolia,Lam.,Saint Vincent and the Grenadines
Malvaceae,Hibiscus tiliaceus,L.,Saint Vincent and the Grenadines
Malvaceae,Ochroma pyramidale,(Cav. ex Lam.) Urb.,Saint Vincent and the Grenadines
Malvaceae,Pavonia spinifex,(L.) Cav.,Saint Vincent and the Grenadines
Malvaceae,Quararibea turbinata,(Sw.) Poir.,Saint Vincent and the Grenadines
Malvaceae,Sterculia caribaea,R.Br.,Saint Vincent and the Grenadines
Malvaceae,Thespesia populnea,(L.) Sol. ex Corrêa,Saint Vincent and the Grenadines
Malvaceae,Triumfetta bogotensis,DC.,Saint Vincent and the Grenadines
