family,taxon,author,native to
Achariaceae,Erythrospermum acuminatissimum,(A.Gray) A.C.Sm.,Samoa
Anacardiaceae,Buchanania merrillii,Christoph.,Samoa
Anacardiaceae,Rhus taitensis,Guill.,Samoa
Annonaceae,Huberantha whistleri,I.M.Turner & Utteridge,Samoa
Apocynaceae,Alstonia costata,(G.Forst.) R.Br.,Samoa
Apocynaceae,Cerbera manghas,L.,Samoa
Apocynaceae,Cerbera odollam,Gaertn.,Samoa
Apocynaceae,Ochrosia oppositifolia,(Lam.) K.Schum.,Samoa
Apocynaceae,Tabernaemontana pandacaqui,Poir.,Samoa
Araliaceae,Meryta macrophylla,(W.Rich ex A.Gray) Seem.,Samoa
Araliaceae,Meryta malietoa,P.A.Cox,Samoa
Araliaceae,Polyscias lanutoensis,(Hochr.) Lowry & G.M.Plunkett,Samoa
Araliaceae,Polyscias pleiosperma,(A.Gray) Lowry & G.M.Plunkett,Samoa
Araliaceae,Polyscias reineckei,Harms,Samoa
Araliaceae,Polyscias samoensis,(A.Gray) Harms,Samoa
Araliaceae,Schefflera samoensis,(A.Gray) Harms,Samoa
Arecaceae,Balaka insularis,Zona & W.J.Baker,Samoa
Arecaceae,Balaka samoensis,Becc.,Samoa
Arecaceae,Balaka tahitensis,(H.Wendl.) Becc.,Samoa
Arecaceae,Clinostigma samoense,H.Wendl.,Samoa
Arecaceae,Clinostigma savaiiense,Christoph.,Samoa
Arecaceae,Clinostigma warburgii,Becc.,Samoa
Arecaceae,Cocos nucifera,L.,Samoa
Arecaceae,Drymophloeus whitmeeanus,Becc.,Samoa
Arecaceae,Metroxylon paulcoxii,McClatchey,Samoa
Arecaceae,Metroxylon upoluense,Becc.,Samoa
Boraginaceae,Cordia aspera,G.Forst.,Samoa
Boraginaceae,Cordia subcordata,Lam.,Samoa
Boraginaceae,Heliotropium arboreum,(Blanco) Mabb.,Samoa
Burseraceae,Canarium harveyi,Seem.,Samoa
Burseraceae,Canarium vitiense,A.Gray,Samoa
Burseraceae,Garuga floribunda,Decne.,Samoa
Calophyllaceae,Calophyllum inophyllum,L.,Samoa
Calophyllaceae,Calophyllum neoebudicum,Guillaumin,Samoa
Calophyllaceae,Mammea glauca,(Merr.) Kosterm.,Samoa
Cannabaceae,Celtis harperi,Horne ex Baker,Samoa
Cannabaceae,Trema cannabinum,Lour.,Samoa
Capparaceae,Crateva religiosa,G.Forst.,Samoa
Cardiopteridaceae,Citronella samoensis,(A.Gray) R.A.Howard,Samoa
Casuarinaceae,Casuarina equisetifolia,L.,Samoa
Celastraceae,Gymnosporia crenata,(G.Forst.) Seem.,Samoa
Chloranthaceae,Ascarina diffusa,A.C.Sm.,Samoa
Clusiaceae,Garcinia myrtifolia,A.C.Sm.,Samoa
Combretaceae,Terminalia catappa,L.,Samoa
Combretaceae,Terminalia richii,A.Gray,Samoa
Combretaceae,Terminalia samoensis,Rech.,Samoa
Cunoniaceae,Spiraeanthemum samoense,A.Gray,Samoa
Cunoniaceae,Weinmannia samoensis,A.Gray,Samoa
Ebenaceae,Diospyros foliosa,(Rich. ex A.Gray) Bakh.,Samoa
Ebenaceae,Diospyros major,(G.Forst.) Bakh.,Samoa
Ebenaceae,Diospyros samoensis,A.Gray,Samoa
Elaeocarpaceae,Elaeocarpus floridanus,Hemsl.,Samoa
Elaeocarpaceae,Elaeocarpus magnifolius,Christoph.,Samoa
Elaeocarpaceae,Elaeocarpus tonganus,Burkill,Samoa
Elaeocarpaceae,Elaeocarpus tuasivicus,Christoph.,Samoa
Euphorbiaceae,Acalypha grandis,Benth.,Samoa
Euphorbiaceae,Claoxylon samoense,Pax & K.Hoffm.,Samoa
Euphorbiaceae,Homalanthus acuminatus,(Müll.Arg.) Pax,Samoa
Euphorbiaceae,Homalanthus nutans,(G.Forst.) Guill.,Samoa
Euphorbiaceae,Macaranga grayana,Müll.Arg.,Samoa
Euphorbiaceae,Macaranga harveyana,(Müll.Arg.) Müll.Arg.,Samoa
Euphorbiaceae,Macaranga monostyla,Whistler,Samoa
Euphorbiaceae,Macaranga stipulosa,Müll.Arg.,Samoa
Fabaceae,Acacia simplex,(Sparrm.) Pedley,Samoa
Fabaceae,Dendrolobium umbellatum,(L.) Benth.,Samoa
Fabaceae,Erythrina fusca,Lour.,Samoa
Fabaceae,Erythrina variegata,L.,Samoa
Fabaceae,Intsia bijuga,(Colebr.) Kuntze,Samoa
Fabaceae,Serianthes melanesica,Fosberg,Samoa
Fabaceae,Sophora tomentosa,L.,Samoa
Gentianaceae,Fagraea berteroana,A.Gray ex Benth.,Samoa
Hernandiaceae,Gyrocarpus americanus,Jacq.,Samoa
Hernandiaceae,Hernandia moerenhoutiana,Guill.,Samoa
Hernandiaceae,Hernandia nymphaeifolia,(C.Presl) Kubitzki,Samoa
Lamiaceae,Premna serratifolia,L.,Samoa
Lamiaceae,Premna tahitensis,Schauer,Samoa
Lauraceae,Cryptocarya elegans,(Reinecke) A.C.Sm.,Samoa
Lauraceae,Cryptocarya samoensis,Christoph.,Samoa
Lauraceae,Cryptocarya wilderiana,Christoph.,Samoa
Lauraceae,Endiandra elaeocarpa,Gillespie,Samoa
Lauraceae,Litsea samoensis,(Christoph.) A.C.Sm.,Samoa
Lecythidaceae,Barringtonia asiatica,(L.) Kurz,Samoa
Lecythidaceae,Barringtonia racemosa,(L.) Spreng.,Samoa
