family,taxon,author,native to
Acanthaceae,Avicennia germinans,(L.) L.,Sao Tome and Principe
Anacardiaceae,Lannea welwitschii,(Hiern) Engl.,Sao Tome and Principe
Anacardiaceae,Pseudospondias microcarpa,(A.Rich.) Engl.,Sao Tome and Principe
Anacardiaceae,Sorindeia grandifolia,Engl.,Sao Tome and Principe
Anacardiaceae,Sorindeia juglandifolia,(A.Rich.) Planch. ex Oliv.,Sao Tome and Principe
Anisophylleaceae,Anisophyllea cabole,Henriq.,Sao Tome and Principe
Annonaceae,Annona glabra,L.,Sao Tome and Principe
Annonaceae,Annona senegalensis,Pers.,Sao Tome and Principe
Annonaceae,Greenwayodendron suaveolens,(Engl. & Diels) Verdc.,Sao Tome and Principe
Annonaceae,Monodora myristica,(Gaertn.) Dunal,Sao Tome and Principe
Annonaceae,Monodora undulata,(P.Beauv.) Couvreur,Sao Tome and Principe
Annonaceae,Uvaria ovata,(Vahl ex DC.) Hook.f. & Benth.,Sao Tome and Principe
Annonaceae,Xylopia aethiopica,(Dunal) A.Rich.,Sao Tome and Principe
Annonaceae,Xylopia africana,(Benth.) Oliv.,Sao Tome and Principe
Annonaceae,Xylopia quintasii,Pierre ex Engl. & Diels,Sao Tome and Principe
Annonaceae,Xylopia staudtii,Engl. & Diels,Sao Tome and Principe
Apocynaceae,Funtumia africana,(Benth.) Stapf,Sao Tome and Principe
Apocynaceae,Funtumia elastica,(Preuss) Stapf,Sao Tome and Principe
Apocynaceae,Rauvolfia dichotoma,K.Schum.,Sao Tome and Principe
Apocynaceae,Tabernaemontana pachysiphon,Stapf,Sao Tome and Principe
Apocynaceae,Tabernaemontana stenosiphon,Stapf,Sao Tome and Principe
Apocynaceae,Voacanga africana,Stapf ex Scott Elliot,Sao Tome and Principe
Apocynaceae,Voacanga madureirae,"Paiva, O.Lachenaud & Covelo",Sao Tome and Principe
Aquifoliaceae,Ilex mitis,(L.) Radlk.,Sao Tome and Principe
Araliaceae,Astropanax mannii,(Hook.f.) Seem.,Sao Tome and Principe
Araliaceae,Polyscias quintasii,Exell,Sao Tome and Principe
Arecaceae,Borassus aethiopum,Mart.,Sao Tome and Principe
Arecaceae,Elaeis guineensis,Jacq.,Sao Tome and Principe
Asparagaceae,Dracaena arborea,(Willd.) Link,Sao Tome and Principe
Asteraceae,Gymnanthemum amygdalinum,(Delile) Sch.Bip.,Sao Tome and Principe
Bignoniaceae,Newbouldia laevis,(P.Beauv.) Seem. ex Bureau,Sao Tome and Principe
Boraginaceae,Ehretia scrobiculata,Hiern,Sao Tome and Principe
Burseraceae,Dacryodes edulis,(G.Don) H.J.Lam,Sao Tome and Principe
Burseraceae,Santiria balsamifera,Oliv.,Sao Tome and Principe
Burseraceae,Santiria trimera,(Oliv.) Aubrév.,Sao Tome and Principe
Calophyllaceae,Mammea africana,Sabine,Sao Tome and Principe
Cannabaceae,Celtis mildbraedii,Engl.,Sao Tome and Principe
Cannabaceae,Celtis philippensis,Blanco,Sao Tome and Principe
Cannabaceae,Sparrea gomphophylla,(Baker) X.G.Fu & T.S.Yi,Sao Tome and Principe
Cannabaceae,Trema orientale,(L.) Blume,Sao Tome and Principe
Capparaceae,Buchholzia coriacea,Engl.,Sao Tome and Principe
Celastraceae,Salacia pyriformis,(Sabine) Steud.,Sao Tome and Principe
Clusiaceae,Pentadesma butyracea,Sabine,Sao Tome and Principe
Clusiaceae,Symphonia globulifera,L.f.,Sao Tome and Principe
Combretaceae,Conocarpus erectus,L.,Sao Tome and Principe
Dichapetalaceae,Dichapetalum bocageanum,(Henriq.) Engl.,Sao Tome and Principe
Ebenaceae,Diospyros ferrea,(Willd.) Bakh.,Sao Tome and Principe
Erythroxylaceae,Erythroxylum emarginatum,Thonn.,Sao Tome and Principe
Euphorbiaceae,Anthostema aubryanum,Baill.,Sao Tome and Principe
Euphorbiaceae,Cavacoa quintasii,(Pax & K.Hoffm.) J.Léonard,Sao Tome and Principe
Euphorbiaceae,Croton draconopsis,Müll.Arg.,Sao Tome and Principe
Euphorbiaceae,Croton stellulifer,Hutch.,Sao Tome and Principe
Euphorbiaceae,Discoclaoxylon occidentale,(Müll.Arg.) Pax & K.Hoffm.,Sao Tome and Principe
Euphorbiaceae,Discoglypremna caloneura,(Pax) Prain,Sao Tome and Principe
Euphorbiaceae,Erythrococca columnaris,(Müll.Arg.) Prain,Sao Tome and Principe
Euphorbiaceae,Erythrococca molleri,(Pax) Prain,Sao Tome and Principe
Euphorbiaceae,Euphorbia drupifera,Thonn.,Sao Tome and Principe
Euphorbiaceae,Grossera elongata,Hutch.,Sao Tome and Principe
Euphorbiaceae,Grossera multinervis,J.Léonard,Sao Tome and Principe
Euphorbiaceae,Pseudagrostistachys africana,(Müll.Arg.) Pax & K.Hoffm.,Sao Tome and Principe
Euphorbiaceae,Sclerocroton cornutus,(Pax) Kruijt & Roebers,Sao Tome and Principe
Euphorbiaceae,Shirakiopsis elliptica,(Hochst.) Esser,Sao Tome and Principe
Euphorbiaceae,Tetrorchidium didymostemon,(Baill.) Pax & K.Hoffm.,Sao Tome and Principe
Fabaceae,Cassia mannii,Oliv.,Sao Tome and Principe
Fabaceae,Cynometra mannii,Oliv.,Sao Tome and Principe
Fabaceae,Dialium guineense,Willd.,Sao Tome and Principe
Fabaceae,Erythrina droogmansiana,De Wild. & T.Durand,Sao Tome and Principe
Fabaceae,Faidherbia albida,(Delile) A.Chev.,Sao Tome and Principe
Fabaceae,Lonchocarpus sericeus,(Poir.) Kunth ex DC.,Sao Tome and Principe
Fabaceae,Millettia griffoniana,Baill.,Sao Tome and Principe
Fabaceae,Millettia thonningii,(Schumach. & Thonn.) Baker,Sao Tome and Principe
Fabaceae,Ormocarpum sennoides,(Willd.) DC.,Sao Tome and Principe
Fabaceae,Ormocarpum verrucosum,P.Beauv.,Sao Tome and Principe
Fabaceae,Parkia biglobosa,(Jacq.) R.Br. ex G.Don,Sao Tome and Principe
Fabaceae,Pentaclethra macrophylla,Benth.,Sao Tome and Principe
Fabaceae,Tamarindus indica,L.,Sao Tome and Principe
Fabaceae,Tetrapleura tetraptera,(Schumach. & Thonn.) Taub.,Sao Tome and Principe
Gentianaceae,Anthocleista microphylla,Wernham,Sao Tome and Principe
Gentianaceae,Anthocleista nobilis,G.Don,Sao Tome and Principe
Gentianaceae,Anthocleista scandens,Hook.f.,Sao Tome and Principe
Hernandiaceae,Hernandia beninensis,Welw. ex Henriq.,Sao Tome and Principe
Hypericaceae,Harungana madagascariensis,Lam. ex Poir.,Sao Tome and Principe
Irvingiaceae,Irvingia gabonensis,(Aubry-Lecomte ex O'Rorke) Baill.,Sao Tome and Principe
Lamiaceae,Premna angolensis,Gürke,Sao Tome and Principe
Linaceae,Hugonia platysepala,Welw. ex Oliv.,Sao Tome and Principe
Malpighiaceae,Heteropterys leona,(Cav.) Exell,Sao Tome and Principe
Malvaceae,Cola acuminata,(P.Beauv.) Schott & Endl.,Sao Tome and Principe
Malvaceae,Cola digitata,Mast.,Sao Tome and Principe
Malvaceae,Cola sphaerocarpa,A.Chev.,Sao Tome and Principe
Malvaceae,Microcos oligoneura,(Sprague) Burret,Sao Tome and Principe
Malvaceae,Sterculia dawei,Sprague,Sao Tome and Principe
Malvaceae,Sterculia tragacantha,Lindl.,Sao Tome and Principe
Meliaceae,Carapa gogo,A.Chev. ex Kenfack,Sao Tome and Principe
Meliaceae,Trichilia grandifolia,Oliv.,Sao Tome and Principe
Moraceae,Ficus exasperata,Vahl,Sao Tome and Principe
Moraceae,Ficus kamerunensis,Warb. ex Mildbr. & Burret,Sao Tome and Principe
Moraceae,Ficus lutea,Vahl,Sao Tome and Principe
Moraceae,Ficus mucuso,Welw. ex Ficalho,Sao Tome and Principe
Moraceae,Ficus sur,Forssk.,Sao Tome and Principe
Moraceae,Ficus thonningii,Blume,Sao Tome and Principe
Moraceae,Mesogyne insignis,Engl.,Sao Tome and Principe
Moraceae,Milicia excelsa,(Welw.) C.C.Berg,Sao Tome and Principe
Moraceae,Trilepisium madagascariense,DC.,Sao Tome and Principe
Myristicaceae,Pycnanthus angolensis,(Welw.) Warb.,Sao Tome and Principe
Myristicaceae,Staudtia pterocarpa,(Warb.) Warb.,Sao Tome and Principe
Myrtaceae,Eugenia elliotii,Engl. & Brehmer,Sao Tome and Principe
Myrtaceae,Syzygium guineense,(Willd.) DC.,Sao Tome and Principe
