family,taxon,author,native to
Acanthaceae,Avicennia marina,(Forssk.) Vierh.,Saudi Arabia
Amaranthaceae,Haloxylon persicum,Bunge,Saudi Arabia
Anacardiaceae,Pistacia khinjuk,Stocks,Saudi Arabia
Anacardiaceae,Searsia glutinosa,(Hochst. ex A.Rich.) Moffett,Saudi Arabia
Anacardiaceae,Searsia retinorrhoea,(Steud. ex Oliv.) Moffett,Saudi Arabia
Anacardiaceae,Searsia tripartita,(Ucria) Moffett,Saudi Arabia
Apocynaceae,Adenium obesum,(Forssk.) Roem. & Schult.,Saudi Arabia
Apocynaceae,Calotropis procera,(Aiton) W.T.Aiton,Saudi Arabia
Apocynaceae,Carissa spinarum,L.,Saudi Arabia
Apocynaceae,Periploca aphylla,Decne.,Saudi Arabia
Arecaceae,Hyphaene thebaica,(L.) Mart.,Saudi Arabia
Arecaceae,Phoenix reclinata,Jacq.,Saudi Arabia
Asparagaceae,Dracaena ombet,Heuglin ex Kotschy & Peyr.,Saudi Arabia
Asparagaceae,Dracaena serrulata,Baker,Saudi Arabia
Asphodelaceae,Aloidendron sabaeum,(Schweinf.) Boatwr. & J.C.Manning,Saudi Arabia
Barbeyaceae,Barbeya oleoides,Schweinf.,Saudi Arabia
Boraginaceae,Cordia africana,Lam.,Saudi Arabia
Boraginaceae,Cordia monoica,Roxb.,Saudi Arabia
Boraginaceae,Cordia sinensis,Lam.,Saudi Arabia
Boraginaceae,Ehretia cymosa,Thonn.,Saudi Arabia
Burseraceae,Commiphora gileadensis,(L.) C.Chr.,Saudi Arabia
Burseraceae,Commiphora quadricincta,Schweinf.,Saudi Arabia
Capparaceae,Cadaba linearifolia,(J.Graham) M.R.Almeida,Saudi Arabia
Capparaceae,Capparis decidua,(Forssk.) Edgew.,Saudi Arabia
Celastraceae,Catha edulis,(Vahl) Endl.,Saudi Arabia
Celastraceae,Gymnosporia arbutifolia,(Hochst. ex A.Rich.) Loes.,Saudi Arabia
Celastraceae,Gymnosporia parviflora,(Vahl) Chiov.,Saudi Arabia
Celastraceae,Gymnosporia senegalensis,(Lam.) Loes.,Saudi Arabia
Combretaceae,Combretum molle,R.Br. ex G.Don,Saudi Arabia
Cupressaceae,Juniperus phoenicea,L.,Saudi Arabia
Cupressaceae,Juniperus procera,Hochst. ex Endl.,Saudi Arabia
Cupressaceae,Juniperus turbinata,Guss.,Saudi Arabia
Ericaceae,Erica arborea,L.,Saudi Arabia
Euphorbiaceae,Acalypha fruticosa,Forssk.,Saudi Arabia
Euphorbiaceae,Euphorbia ammak,Schweinf.,Saudi Arabia
Euphorbiaceae,Euphorbia cuneata,Vahl,Saudi Arabia
Euphorbiaceae,Euphorbia parciramulosa,Schweinf.,Saudi Arabia
Euphorbiaceae,Jatropha glauca,Vahl,Saudi Arabia
Euphorbiaceae,Jatropha spinosa,Vahl,Saudi Arabia
Fabaceae,Acacia pachyceras,O.Schwartz,Saudi Arabia
Fabaceae,Anagyris foetida,L.,Saudi Arabia
Fabaceae,Anonychium africanum,(Guill. & Perr.) C.E.Hughes & G.P.Lewis,Saudi Arabia
Fabaceae,Cadia purpurea,(G.Piccioli) Aiton,Saudi Arabia
Fabaceae,Delonix elata,(L.) Gamble,Saudi Arabia
Fabaceae,Dichrostachys cinerea,(L.) Wight & Arn.,Saudi Arabia
Fabaceae,Faidherbia albida,(Delile) A.Chev.,Saudi Arabia
Fabaceae,Guilandina bonduc,L.,Saudi Arabia
Fabaceae,Prosopis cineraria,(L.) Druce,Saudi Arabia
Fabaceae,Prosopis farcta,(Sol.) J.F.Macbr.,Saudi Arabia
Fabaceae,Prosopis koelziana,Burkart,Saudi Arabia
Fabaceae,Senegalia asak,(Forssk.) Kyal. & Boatwr.,Saudi Arabia
Fabaceae,Senegalia hamulosa,(Benth.) Boatwr.,Saudi Arabia
Fabaceae,Senegalia laeta,(R.Br. ex Benth.) Seigler & Ebinger,Saudi Arabia
Fabaceae,Senegalia mellifera,(Benth.) Seigler & Ebinger,Saudi Arabia
Fabaceae,Senegalia senegal,(L.) Britton,Saudi Arabia
Fabaceae,Senna alexandrina,Mill.,Saudi Arabia
Fabaceae,Vachellia etbaica,(Schweinf.) Kyal. & Boatwr.,Saudi Arabia
Fabaceae,Vachellia flava,(Forssk.) Kyal. & Boatwr.,Saudi Arabia
Fabaceae,Vachellia gerrardii,(Benth.) P.J.H.Hurter,Saudi Arabia
Fabaceae,Vachellia johnwoodii,"(Boulos) Ragup., Seigler, Ebinger & Maslin",Saudi Arabia
Fabaceae,Vachellia nilotica,(L.) P.J.H.Hurter & Mabb.,Saudi Arabia
Fabaceae,Vachellia oerfota,(Forssk.) Kyal. & Boatwr.,Saudi Arabia
Fabaceae,Vachellia seyal,(Delile) P.J.H.Hurter,Saudi Arabia
Fabaceae,Vachellia tortilis,(Forssk.) Galasso & Banfi,Saudi Arabia
Hypericaceae,Hypericum revolutum,Vahl,Saudi Arabia
Lamiaceae,Premna resinosa,(Hochst.) Schauer,Saudi Arabia
Loranthaceae,Phragmanthera austroarabica,A.G.Mill. & J.Nyberg,Saudi Arabia
Malvaceae,Dombeya torrida,(J.F.Gmel.) Bamps,Saudi Arabia
Malvaceae,Grewia flavescens,Juss.,Saudi Arabia
Malvaceae,Grewia gillettii,Sebsebe & B.Mathew,Saudi Arabia
Meliaceae,Trichilia emetica,Vahl,Saudi Arabia
Meliaceae,Turraea parvifolia,Deflers,Saudi Arabia
Moraceae,Ficus glumosa,Delile,Saudi Arabia
Moraceae,Ficus ingens,(Miq.) Miq.,Saudi Arabia
Moraceae,Ficus palmata,Forssk.,Saudi Arabia
Moraceae,Ficus populifolia,Vahl,Saudi Arabia
Moraceae,Ficus sycomorus,L.,Saudi Arabia
Moraceae,Ficus vasta,Forssk.,Saudi Arabia
Moringaceae,Moringa peregrina,(Forssk.) Fiori,Saudi Arabia
Myrtaceae,Syzygium guineense,(Willd.) DC.,Saudi Arabia
Nyctaginaceae,Pisonia aculeata,L.,Saudi Arabia
Oleaceae,Olea europaea,L.,Saudi Arabia
Phyllanthaceae,Flueggea virosa,(Roxb. ex Willd.) Royle,Saudi Arabia
Pittosporaceae,Pittosporum viridiflorum,Sims,Saudi Arabia
Rhamnaceae,Ziziphus nummularia,(Burm.f.) Wight & Arn.,Saudi Arabia
Rhamnaceae,Ziziphus spina-christi,(L.) Desf.,Saudi Arabia
Rhizophoraceae,Rhizophora mucronata,Poir.,Saudi Arabia
Rosaceae,Prunus korshinskyi,Hand.-Mazz.,Saudi Arabia
Rubiaceae,Breonadia salicina,(Vahl) Hepper & J.R.I.Wood,Saudi Arabia
Rubiaceae,Coptosperma graveolens,(S.Moore) Degreef,Saudi Arabia
Rubiaceae,Psydrax schimperianus,(A.Rich.) Bridson,Saudi Arabia
Rubiaceae,Pyrostria phyllanthoidea,(Baill.) Bridson,Saudi Arabia
Salicaceae,Salix acmophylla,Boiss.,Saudi Arabia
Salicaceae,Salix excelsa,S.G.Gmel.,Saudi Arabia
Salicaceae,Salix mucronata,Thunb.,Saudi Arabia
Santalaceae,Osyris lanceolata,Hochst. & Steud.,Saudi Arabia
Sapindaceae,Dodonaea viscosa,(L.) Jacq.,Saudi Arabia
Sapotaceae,Mimusops laurifolia,(Forssk.) Friis,Saudi Arabia
Sapotaceae,Sideroxylon mascatense,(A.DC.) T.D.Penn.,Saudi Arabia
Sapotaceae,Sideroxylon oxyacanthum,Baill.,Saudi Arabia
Scrophulariaceae,Buddleja polystachya,Fresen.,Saudi Arabia
Stilbaceae,Nuxia congesta,R.Br. ex Fresen.,Saudi Arabia
Stilbaceae,Nuxia oppositifolia,(Hochst.) Benth.,Saudi Arabia
Tamaricaceae,Tamarix amplexicaulis,Ehrenb.,Saudi Arabia
Tamaricaceae,Tamarix aphylla,(L.) H.Karst.,Saudi Arabia
Tamaricaceae,Tamarix mascatensis,Bunge,Saudi Arabia
Tamaricaceae,Tamarix nilotica,(Ehrenb.) Bunge,Saudi Arabia
Tamaricaceae,Tamarix pycnocarpa,DC.,Saudi Arabia
Tamaricaceae,Tamarix senegalensis,DC.,Saudi Arabia
Urticaceae,Debregeasia saeneb,(Forssk.) Hepper & J.R.I.Wood,Saudi Arabia
Zygophyllaceae,Balanites aegyptiaca,(L.) Delile,Saudi Arabia
