family,taxon,author,native to
Acanthaceae,Avicennia germinans,(L.) L.,Senegal
Achariaceae,Scottellia leonensis,Oliv.,Senegal
Anacardiaceae,Lannea acida,A.Rich.,Senegal
Anacardiaceae,Lannea humilis,(Oliv.) Engl.,Senegal
Anacardiaceae,Lannea microcarpa,Engl. & K.Krause,Senegal
Anacardiaceae,Lannea nigritana,(Scott Elliot) Keay,Senegal
Anacardiaceae,Lannea velutina,A.Rich.,Senegal
Anacardiaceae,Ozoroa insignis,Delile,Senegal
Anacardiaceae,Pseudospondias microcarpa,(A.Rich.) Engl.,Senegal
Anacardiaceae,Sclerocarya birrea,(A.Rich.) Hochst.,Senegal
Anacardiaceae,Searsia longipes,(Engl.) Moffett,Senegal
Anacardiaceae,Sorindeia juglandifolia,(A.Rich.) Planch. ex Oliv.,Senegal
Anisophylleaceae,Anisophyllea laurina,R.Br. ex Sabine,Senegal
Annonaceae,Annona glabra,L.,Senegal
Annonaceae,Annona senegalensis,Pers.,Senegal
Annonaceae,Cleistopholis patens,(Benth.) Engl. & Diels,Senegal
Annonaceae,Hexalobus crispiflorus,A.Rich.,Senegal
Annonaceae,Hexalobus monopetalus,(A.Rich.) Engl. & Diels,Senegal
Annonaceae,Monodora tenuifolia,Benth.,Senegal
Annonaceae,Xylopia aethiopica,(Dunal) A.Rich.,Senegal
Annonaceae,Xylopia longipetala,De Wild. & T.Durand,Senegal
Annonaceae,Xylopia quintasii,Pierre ex Engl. & Diels,Senegal
Apocynaceae,Adenium obesum,(Forssk.) Roem. & Schult.,Senegal
Apocynaceae,Alstonia boonei,De Wild.,Senegal
Apocynaceae,Calotropis procera,(Aiton) W.T.Aiton,Senegal
Apocynaceae,Carissa spinarum,L.,Senegal
Apocynaceae,Funtumia africana,(Benth.) Stapf,Senegal
Apocynaceae,Funtumia elastica,(Preuss) Stapf,Senegal
Apocynaceae,Holarrhena floribunda,(G.Don) T.Durand & Schinz,Senegal
Apocynaceae,Hunteria umbellata,(K.Schum.) Hallier f.,Senegal
Apocynaceae,Pleiocarpa pycnantha,(K.Schum.) Stapf,Senegal
Apocynaceae,Rauvolfia vomitoria,Afzel.,Senegal
Apocynaceae,Tabernaemontana africana,Hook.,Senegal
Apocynaceae,Voacanga africana,Stapf ex Scott Elliot,Senegal
Apocynaceae,Voacanga thouarsii,Roem. & Schult.,Senegal
Arecaceae,Borassus aethiopum,Mart.,Senegal
Arecaceae,Borassus akeassii,"Bayton, Ouédr. & Guinko",Senegal
Arecaceae,Elaeis guineensis,Jacq.,Senegal
Arecaceae,Hyphaene thebaica,(L.) Mart.,Senegal
Arecaceae,Phoenix reclinata,Jacq.,Senegal
Arecaceae,Raphia farinifera,(Gaertn.) Hyl.,Senegal
Arecaceae,Raphia palma-pinus,(Gaertn.) Hutch.,Senegal
Arecaceae,Raphia sudanica,A.Chev.,Senegal
Asparagaceae,Dracaena mannii,Baker,Senegal
Asteraceae,Gymnanthemum coloratum,(Willd.) H.Rob. & B.Kahn,Senegal
Bignoniaceae,Kigelia africana,(Lam.) Benth.,Senegal
Bignoniaceae,Markhamia tomentosa,(Benth.) K.Schum. ex Engl.,Senegal
Bignoniaceae,Newbouldia laevis,(P.Beauv.) Seem. ex Bureau,Senegal
Bignoniaceae,Stereospermum kunthianum,Cham.,Senegal
Boraginaceae,Cordia senegalensis,Juss. ex Poir.,Senegal
Boraginaceae,Cordia sinensis,Lam.,Senegal
Boraginaceae,Cordia uncinulata,De Wild.,Senegal
Burseraceae,Boswellia dalzielii,Hutch.,Senegal
Burseraceae,Canarium schweinfurthii,Engl.,Senegal
Burseraceae,Commiphora africana,(A.Rich.) Engl.,Senegal
Burseraceae,Commiphora pedunculata,(Kotschy & Peyr.) Engl.,Senegal
Calophyllaceae,Mammea africana,Sabine,Senegal
Cannabaceae,Celtis africana,Burm.f.,Senegal
Cannabaceae,Celtis philippensis,Blanco,Senegal
Cannabaceae,Celtis toka,(Forssk.) Hepper & J.R.I.Wood,Senegal
Cannabaceae,Trema orientale,(L.) Blume,Senegal
Capparaceae,Boscia angustifolia,A.Rich.,Senegal
Capparaceae,Boscia salicifolia,Oliv.,Senegal
Capparaceae,Cadaba farinosa,Forssk.,Senegal
Capparaceae,Cadaba glandulosa,Forssk.,Senegal
Capparaceae,Capparis decidua,(Forssk.) Edgew.,Senegal
Capparaceae,Crateva adansonii,DC.,Senegal
Capparaceae,Maerua angolensis,DC.,Senegal
Capparaceae,Maerua crassifolia,Forssk.,Senegal
Capparaceae,Ritchiea capparoides,(Andrews) Britten,Senegal
Cardiopteridaceae,Leptaulus daphnoides,Benth.,Senegal
Celastraceae,Gymnosporia senegalensis,(Lam.) Loes.,Senegal
Chrysobalanaceae,Chrysobalanus icaco,L.,Senegal
Chrysobalanaceae,Neocarya macrophylla,(Sabine) Prance ex F.White,Senegal
Chrysobalanaceae,Parinari curatellifolia,Planch. ex Benth.,Senegal
Chrysobalanaceae,Parinari excelsa,Sabine,Senegal
Clusiaceae,Garcinia livingstonei,T.Anderson,Senegal
Clusiaceae,Garcinia ovalifolia,Oliv.,Senegal
Combretaceae,Combretum aculeatum,Vent.,Senegal
Combretaceae,Combretum glutinosum,Perr. ex DC.,Senegal
Combretaceae,Combretum micranthum,G.Don,Senegal
Combretaceae,Combretum molle,R.Br. ex G.Don,Senegal
Combretaceae,Combretum nigricans,Lepr. ex Guill. & Perr.,Senegal
Combretaceae,Conocarpus erectus,L.,Senegal
Combretaceae,Guiera senegalensis,J.F.Gmel.,Senegal
Combretaceae,Laguncularia racemosa,(L.) C.F.Gaertn.,Senegal
Combretaceae,Terminalia avicennioides,Guill. & Perr.,Senegal
Combretaceae,Terminalia engleri,Gere & Boatwr.,Senegal
Combretaceae,Terminalia laxiflora,Engl.,Senegal
Combretaceae,Terminalia leiocarpa,(DC.) Baill.,Senegal
Combretaceae,Terminalia macroptera,Guill. & Perr.,Senegal
Combretaceae,Terminalia superba,Engl. & Diels,Senegal
Connaraceae,Rourea thomsonii,(Baker) Jongkind,Senegal
Ebenaceae,Diospyros elliotii,(Hiern) F.White,Senegal
Ebenaceae,Diospyros ferrea,(Willd.) Bakh.,Senegal
Ebenaceae,Diospyros heudelotii,Hiern,Senegal
Ebenaceae,Diospyros mespiliformis,Hochst. ex A.DC.,Senegal
Euphorbiaceae,Alchornea cordifolia,(Schumach. & Thonn.) Müll.Arg.,Senegal
Euphorbiaceae,Alchornea hirtella,Benth.,Senegal
Euphorbiaceae,Anthostema senegalense,A.Juss.,Senegal
Euphorbiaceae,Croton gratissimus,Burch.,Senegal
Euphorbiaceae,Euphorbia grandifolia,Haw.,Senegal
Euphorbiaceae,Euphorbia kamerunica,Pax,Senegal
Euphorbiaceae,Euphorbia sudanica,A.Chev.,Senegal
Euphorbiaceae,Macaranga heterophylla,(Müll.Arg.) Müll.Arg.,Senegal
Euphorbiaceae,Macaranga heudelotii,Baill.,Senegal
Euphorbiaceae,Mallotus oppositifolius,(Geiseler) Müll.Arg.,Senegal
Euphorbiaceae,Ricinodendron heudelotii,(Baill.) Heckel,Senegal
Euphorbiaceae,Shirakiopsis elliptica,(Hochst.) Esser,Senegal
Fabaceae,Aeschynomene elaphroxylon,(Guill. & Perr.) Taub.,Senegal
Fabaceae,Afzelia africana,Sm.,Senegal
Fabaceae,Aganope stuhlmannii,(Taub.) Adema,Senegal
Fabaceae,Albizia adianthifolia,(Schumach.) W.Wight,Senegal
Fabaceae,Albizia chevalieri,Harms,Senegal
Fabaceae,Albizia ferruginea,(Guill. & Perr.) Benth.,Senegal
Fabaceae,Albizia malacophylla,(A.Rich.) Walp.,Senegal
Fabaceae,Albizia zygia,(DC.) J.F.Macbr.,Senegal
Fabaceae,Andira inermis,(W.Wright) DC.,Senegal
Fabaceae,Anonychium africanum,(Guill. & Perr.) C.E.Hughes & G.P.Lewis,Senegal
Fabaceae,Anthonotha crassifolia,(Baill.) J.Léonard,Senegal
Fabaceae,Anthonotha macrophylla,P.Beauv.,Senegal
Fabaceae,Baphia heudelotiana,Baill.,Senegal
Fabaceae,Baphia nitida,G.Lodd.,Senegal
Fabaceae,Bauhinia rufescens,Lam.,Senegal
Fabaceae,Bobgunnia madagascariensis,(Desv.) J.H.Kirkbr. & Wiersema,Senegal
Fabaceae,Burkea africana,Hook.,Senegal
Fabaceae,Cassia sieberiana,DC.,Senegal
Fabaceae,Cordyla pinnata,(A.Rich.) Milne-Redh.,Senegal
Fabaceae,Crudia senegalensis,Planch. ex Benth.,Senegal
Fabaceae,Cynometra vogelii,Hook.f.,Senegal
Fabaceae,Dalbergia boehmii,Taub.,Senegal
Fabaceae,Dalbergia ecastaphyllum,(L.) Taub.,Senegal
Fabaceae,Dalbergia heudelotii,Stapf,Senegal
Fabaceae,Dalbergia melanoxylon,Guill. & Perr.,Senegal
Fabaceae,Daniellia ogea,(Harms) Rolfe ex Holland,Senegal
Fabaceae,Daniellia oliveri,(Rolfe) Hutch. & Dalziel,Senegal
Fabaceae,Detarium microcarpum,Guill. & Perr.,Senegal
Fabaceae,Detarium senegalense,J.F.Gmel.,Senegal
Fabaceae,Dialium guineense,Willd.,Senegal
Fabaceae,Dichrostachys cinerea,(L.) Wight & Arn.,Senegal
Fabaceae,Entada africana,Guill. & Perr.,Senegal
Fabaceae,Erythrina senegalensis,DC.,Senegal
Fabaceae,Erythrina sigmoidea,Hua,Senegal
Fabaceae,Erythrophleum africanum,(Benth.) Harms,Senegal
Fabaceae,Erythrophleum suaveolens,(Guill. & Perr.) Brenan,Senegal
Fabaceae,Faidherbia albida,(Delile) A.Chev.,Senegal
Fabaceae,Guibourtia copallifera,Benn.,Senegal
Fabaceae,Guibourtia leonensis,J.Léonard,Senegal
Fabaceae,Hydrochorea rhombifolia,(Benth.) E.J.M.Koenen,Senegal
Fabaceae,Lonchocarpus sericeus,(Poir.) Kunth ex DC.,Senegal
Fabaceae,Machaerium lunatum,(L.f.) Ducke,Senegal
Fabaceae,Ormocarpum pubescens,(Hochst.) Cufod.,Senegal
Fabaceae,Ormocarpum sennoides,(Willd.) DC.,Senegal
Fabaceae,Ormocarpum verrucosum,P.Beauv.,Senegal
Fabaceae,Osodendron altissimum,(Hook.f.) E.J.M.Koenen,Senegal
Fabaceae,Osodendron dinklagei,(Harms) E.J.M.Koenen,Senegal
Fabaceae,Parkia biglobosa,(Jacq.) R.Br. ex G.Don,Senegal
Fabaceae,Pentaclethra macrophylla,Benth.,Senegal
Fabaceae,Pericopsis laxiflora,(Benth. ex Baker) Meeuwen,Senegal
Fabaceae,Philenoptera laxiflora,(Guill. & Perr.) Roberty,Senegal
