family,taxon,author,native to
Anacardiaceae,Cotinus coggygria,Scop.,Serbia
Anacardiaceae,Rhus coriaria,L.,Serbia
Aquifoliaceae,Ilex aquifolium,L.,Serbia
Betulaceae,Alnus alnobetula,(Ehrh.) K.Koch,Serbia
Betulaceae,Alnus glutinosa,(L.) Gaertn.,Serbia
Betulaceae,Alnus incana,(L.) Moench,Serbia
Betulaceae,Alnus rohlenae,"Vít, Douda & Mandák",Serbia
Betulaceae,Betula pendula,Roth,Serbia
Betulaceae,Betula pubescens,Ehrh.,Serbia
Betulaceae,Carpinus betulus,L.,Serbia
Betulaceae,Carpinus orientalis,Mill.,Serbia
Betulaceae,Corylus avellana,L.,Serbia
Betulaceae,Corylus colurna,L.,Serbia
Betulaceae,Ostrya carpinifolia,Scop.,Serbia
Cornaceae,Cornus mas,L.,Serbia
Cupressaceae,Juniperus communis,L.,Serbia
Cupressaceae,Juniperus deltoides,R.P.Adams,Serbia
Cupressaceae,Juniperus oxycedrus,L.,Serbia
Fabaceae,Laburnum alpinum,(Mill.) Bercht. & J.Presl,Serbia
Fabaceae,Laburnum anagyroides,Medik.,Serbia
Fagaceae,Castanea sativa,Mill.,Serbia
Fagaceae,Quercus cerris,L.,Serbia
Fagaceae,Quercus coccifera,L.,Serbia
Fagaceae,Quercus frainetto,Ten.,Serbia
Fagaceae,Quercus ilex,L.,Serbia
Fagaceae,Quercus petraea,(Matt.) Liebl.,Serbia
Fagaceae,Quercus pubescens,Willd.,Serbia
Fagaceae,Quercus robur,L.,Serbia
Fagaceae,Quercus trojana,Webb,Serbia
Juglandaceae,Juglans regia,L.,Serbia
Lamiaceae,Vitex agnus-castus,L.,Serbia
Malvaceae,Tilia platyphyllos,Scop.,Serbia
Malvaceae,Tilia tomentosa,Moench,Serbia
Oleaceae,Fraxinus angustifolia,Vahl,Serbia
Oleaceae,Fraxinus excelsior,L.,Serbia
Oleaceae,Fraxinus ornus,L.,Serbia
Oleaceae,Syringa vulgaris,L.,Serbia
Pinaceae,Abies alba,Mill.,Serbia
Pinaceae,Picea abies,(L.) H.Karst.,Serbia
Pinaceae,Picea omorika,(Pancic) Purk.,Serbia
Pinaceae,Pinus heldreichii,Christ,Serbia
Pinaceae,Pinus mugo,Turra,Serbia
Pinaceae,Pinus nigra,J.F.Arnold,Serbia
Pinaceae,Pinus peuce,Griseb.,Serbia
Pinaceae,Pinus sylvestris,L.,Serbia
Rhamnaceae,Frangula alnus,Mill.,Serbia
Rhamnaceae,Rhamnus alpina,L.,Serbia
Rhamnaceae,Rhamnus cathartica,L.,Serbia
Rosaceae,Crataegus heldreichii,Boiss.,Serbia
Rosaceae,Crataegus monogyna,Jacq.,Serbia
Rosaceae,Crataegus nigra,Waldst. & Kit.      ,Serbia
Rosaceae,Crataegus pentagyna,Waldst. & Kit. ex Willd.,Serbia
Rosaceae,Crataegus rhipidophylla,Gand.,Serbia
Rosaceae,Malus dasyphylla,Borkh.,Serbia
Rosaceae,Malus florentina,(Zuccagni) C.K.Schneid.,Serbia
Rosaceae,Malus sylvestris,(L.) Mill.,Serbia
Rosaceae,Prunus avium,(L.) L.,Serbia
Rosaceae,Prunus cerasifera,Ehrh.,Serbia
Rosaceae,Prunus cocomilia,Ten.,Serbia
Rosaceae,Prunus laurocerasus,L.,Serbia
Rosaceae,Prunus mahaleb,L.,Serbia
Rosaceae,Prunus padus,L.,Serbia
Rosaceae,Prunus spinosa,L.,Serbia
Rosaceae,Pyrus communis,L.,Serbia
Rosaceae,Pyrus elaeagrifolia,Pall.,Serbia
Rosaceae,Pyrus nivalis,Jacq.,Serbia
Rosaceae,Pyrus spinosa,Forssk.,Serbia
Rosaceae,Sorbus aria,(L.) Crantz,Serbia
Rosaceae,Sorbus aucuparia,L.,Serbia
Rosaceae,Sorbus austriaca,(Beck) Hedl.,Serbia
Rosaceae,Sorbus domestica,L.        ,Serbia
Rosaceae,Sorbus graeca,(Lodd. ex Spach) Kotschy,Serbia
Rosaceae,Sorbus torminalis,Garsault,Serbia
Rosaceae,Sorbus umbellata,(Desf.) Fritsch,Serbia
Salicaceae,Populus alba,L.,Serbia
Salicaceae,Populus nigra,L.,Serbia
Salicaceae,Populus tremula,L.,Serbia
Salicaceae,Salix caprea,L.,Serbia
Salicaceae,Salix cinerea,L.,Serbia
Salicaceae,Salix eleagnos,Scop.,Serbia
Salicaceae,Salix pentandra,L.,Serbia
Salicaceae,Salix purpurea,L.,Serbia
Salicaceae,Salix triandra,L.,Serbia
Salicaceae,Salix viminalis,L.,Serbia
Sapindaceae,Acer campestre,L.,Serbia
Sapindaceae,Acer heldreichii,Orph. ex Boiss.,Serbia
Sapindaceae,Acer hyrcanum,Fisch. & C.A.Mey.,Serbia
Sapindaceae,Acer monspessulanum,L.,Serbia
Sapindaceae,Acer opalus,Mill.,Serbia
Sapindaceae,Acer pseudoplatanus,L.,Serbia
Sapindaceae,Acer tataricum,L.,Serbia
Staphyleaceae,Staphylea pinnata,L.,Serbia
Tamaricaceae,Tamarix parviflora,DC.,Serbia
Taxaceae,Taxus baccata,L.,Serbia
Ulmaceae,Ulmus glabra,Huds.,Serbia
Ulmaceae,Ulmus laevis,Pall.,Serbia
Ulmaceae,Ulmus minor,Mill.,Serbia
Viburnaceae,Sambucus racemosa,L.,Serbia
