family,taxon,author,native to
Acanthaceae,Avicennia marina,(Forssk.) Vierh.,Seychelles
Anacardiaceae,Campnosperma seychellarum,Marchand,Seychelles
Anacardiaceae,Operculicarya gummifera,(Sprague) Capuron,Seychelles
Aphloiaceae,Aphloia theiformis,(Vahl) Benn.,Seychelles
Apocynaceae,Carissa spinarum,L.,Seychelles
Apocynaceae,Cerbera manghas,L.,Seychelles
Apocynaceae,Ochrosia oppositifolia,(Lam.) K.Schum.,Seychelles
Apocynaceae,Tabernaemontana coffeoides,Bojer ex A.DC.,Seychelles
Araliaceae,Polyscias crassa,(Hemsl.) Lowry & G.M.Plunkett,Seychelles
Araliaceae,Polyscias lionnetii,(F.Friedmann) Lowry & G.M.Plunkett,Seychelles
Araliaceae,Polyscias sechellarum,Baker,Seychelles
Arecaceae,Deckenia nobilis,H.Wendl. ex Seem.,Seychelles
Arecaceae,Lodoicea maldivica,(J.F.Gmel.) Pers.,Seychelles
Arecaceae,Nephrosperma vanhoutteanum,(H.Wendl. ex Van Houtte) Balf.f.,Seychelles
Arecaceae,Phoenicophorium borsigianum,(K.Koch) Stuntz,Seychelles
Arecaceae,Roscheria melanochaetes,(B.S.Williams) H.Wendl. ex Balf.f.,Seychelles
Arecaceae,Verschaffeltia splendida,H.Wendl.,Seychelles
Asparagaceae,Dracaena reflexa,Lam.,Seychelles
Bignoniaceae,Colea seychellarum,Seem.,Seychelles
Boraginaceae,Cordia subcordata,Lam.,Seychelles
Boraginaceae,Ehretia cymosa,Thonn.,Seychelles
Boraginaceae,Heliotropium arboreum,(Blanco) Mabb.,Seychelles
Calophyllaceae,Calophyllum inophyllum,L.,Seychelles
Capparaceae,Capparis cartilaginea,Decne.,Seychelles
Capparaceae,Maerua triphylla,A.Rich.,Seychelles
Celastraceae,Brexia madagascariensis,(Lam.) Thouars ex Ker Gawl.,Seychelles
Celastraceae,Gymnosporia senegalensis,(Lam.) Loes.,Seychelles
Combretaceae,Lumnitzera racemosa,Willd.,Seychelles
Combretaceae,Terminalia boivinii,Tul.,Seychelles
Combretaceae,Terminalia catappa,L.,Seychelles
Cycadaceae,Cycas thouarsii,R.Br. ex Gaudich.,Seychelles
Dilleniaceae,Dillenia ferruginea,(Baill.) Gilg,Seychelles
Dipterocarpaceae,Vateriopsis seychellarum,(Dyer) F.Heim,Seychelles
Ebenaceae,Diospyros boiviniana,(Baill.) G.E.Schatz & Lowry,Seychelles
Erythroxylaceae,Erythroxylum sechellarum,O.E.Schulz,Seychelles
Euphorbiaceae,Euphorbia analalavensis,Leandri,Seychelles
Euphorbiaceae,Excoecaria benthamiana,Hemsl.,Seychelles
Fabaceae,Dendrolobium umbellatum,(L.) Benth.,Seychelles
Fabaceae,Intsia bijuga,(Colebr.) Kuntze,Seychelles
Fabaceae,Pongamia pinnata,(L.) Pierre,Seychelles
Fabaceae,Sophora tomentosa,L.,Seychelles
Hernandiaceae,Hernandia nymphaeifolia,(C.Presl) Kubitzki,Seychelles
Lamiaceae,Premna serratifolia,L.,Seychelles
Lamiaceae,Volkameria glabra,(E.Mey.) Mabb. & Y.W.Yuan,Seychelles
Lecythidaceae,Barringtonia racemosa,(L.) Spreng.,Seychelles
Lythraceae,Pemphis acidula,J.R.Forst. & G.Forst.,Seychelles
Lythraceae,Sonneratia alba,Sm.,Seychelles
Malvaceae,Grewia glandulosa,Vahl,Seychelles
Malvaceae,Grewia picta,Baill.,Seychelles
Malvaceae,Hibiscus tiliaceus,L.,Seychelles
Malvaceae,Thespesia populnea,(L.) Sol. ex Corrêa,Seychelles
Melastomataceae,Memecylon elaeagni,Blume,Seychelles
Meliaceae,Malleastrum depauperatum,(Baill.) J.-F.Leroy,Seychelles
Meliaceae,Xylocarpus granatum,J.Koenig,Seychelles
Metteniusaceae,Apodytes dimidiata,E.Mey. ex Arn.,Seychelles
Moraceae,Ficus bojeri,Baker,Seychelles
Moraceae,Ficus lutea,Vahl,Seychelles
Moraceae,Ficus reflexa,Thunb.,Seychelles
Moraceae,Ficus rubra,Vahl,Seychelles
Moraceae,Maillardia montana,Leandri,Seychelles
Moraceae,Trilepisium gymnandrum,D.C.,Seychelles
Moraceae,Trilepisium madagascariense,DC.,Seychelles
Myrtaceae,Syzygium wrightii,(Baker) A.J.Scott,Seychelles
Nyctaginaceae,Ceodes sechellarum,(F.Friedmann) E.F.S.Rossetto & Caraballo,Seychelles
Nyctaginaceae,Pisonia grandis,R.Br.,Seychelles
Ochnaceae,Medusagyne oppositifolia,Baker,Seychelles
Ochnaceae,Ochna ciliata,Lam.,Seychelles
Pandanaceae,Martellidendron hornei,(Balf.f.) Callm. & Chassot,Seychelles
Pandanaceae,Pandanus aldabraensis,H.St.John,Seychelles
Pandanaceae,Pandanus balfourii,Martelli,Seychelles
Pandanaceae,Pandanus odorifer,(Forssk.) Kuntze,Seychelles
Pandanaceae,Pandanus sechellarum,Balf.f.,Seychelles
Phyllanthaceae,Margaritaria anomala,(Baill.) Fosberg,Seychelles
Phyllanthaceae,Phyllanthus casticum,P.Willemet,Seychelles
Phyllanthaceae,Phyllanthus pervilleanus,(Baill.) Müll.Arg.,Seychelles
Phyllanthaceae,Wielandia elegans,Baill.,Seychelles
Pittosporaceae,Pittosporum senacia,Putt.,Seychelles
Primulaceae,Myrsine seychellarum,(Mez) Ricketson & Pipoly,Seychelles
Putranjivaceae,Drypetes riseleyi,Airy Shaw,Seychelles
Rhamnaceae,Scutia myrtina,(Burm.f.) Kurz,Seychelles
Rhizophoraceae,Bruguiera gymnorhiza,(L.) Lam.,Seychelles
Rhizophoraceae,Ceriops tagal,(Perr.) C.B.Rob.,Seychelles
Rhizophoraceae,Rhizophora mucronata,Poir.,Seychelles
Rubiaceae,Coptosperma supra-axillare,(Hemsl.) Degreef,Seychelles
Rubiaceae,Empogona ovalifolia,(Hiern) Tosh & Robbr.,Seychelles
Rubiaceae,Glionnetia sericea,(Baker) Tirveng.,Seychelles
Rubiaceae,Guettarda speciosa,L.,Seychelles
Rubiaceae,Ixora pudica,Baker,Seychelles
Rubiaceae,Paracephaelis trichantha,(Baker) De Block,Seychelles
Rubiaceae,Paragenipa lancifolia,(Bojer ex Baker) Tirveng. & Robbr.,Seychelles
Rubiaceae,Polysphaeria multiflora,Hiern,Seychelles
Rubiaceae,Psychotria silhouettae,F.Friedmann,Seychelles
Rubiaceae,Pyrostria bibracteata,(Baker) Cavaco,Seychelles
Rubiaceae,Rothmannia annae,(E.P.Wright) Keay,Seychelles
Rubiaceae,Seychellea sechellarum,"(Baker) Razafim., Kainul. & Rydin",Seychelles
Rubiaceae,Timonius flavescens,(Jacq.) Baker,Seychelles
Rubiaceae,Triainolepis africana,Hook.f.,Seychelles
Salicaceae,Flacourtia indica,(Burm.f.) Merr.,Seychelles
Salicaceae,Ludia mauritiana,J.F.Gmel.,Seychelles
Salvadoraceae,Azima tetracantha,Lam.,Seychelles
Salvadoraceae,Salvadora angustifolia,Turrill,Seychelles
Sapindaceae,Allophylus aldabricus,Radlk.,Seychelles
Sapindaceae,Allophylus pervillei,Blume,Seychelles
Sapindaceae,Allophylus sechellensis,Summerh.,Seychelles
Sapindaceae,Dodonaea viscosa,(L.) Jacq.,Seychelles
Sapindaceae,Macphersonia gracilis,O. Hoffm.,Seychelles
Sapotaceae,Mimusops sechellarum,(Oliv.) Hemsl.,Seychelles
Sapotaceae,Northia seychellana,Hook.f.,Seychelles
Sapotaceae,Planchonella obovata,(R.Br.) Pierre,Seychelles
Sapotaceae,Sideroxylon inerme,L.,Seychelles
Simaroubaceae,Soulamea terminalioides,Baker,Seychelles
Stemonuraceae,Grisollea thomassetii,Hemsl.,Seychelles
Surianaceae,Suriana maritima,L.,Seychelles
Urticaceae,Pipturus argenteus,(G.Forst.) Wedd.,Seychelles
