family,taxon,author,native to
Acanthaceae,Avicennia germinans,(L.) L.,Sierra Leone
Achariaceae,Caloncoba brevipes,(Stapf) Gilg,Sierra Leone
Achariaceae,Caloncoba echinata,(Oliv.) Gilg,Sierra Leone
Achariaceae,Caloncoba gilgiana,(Sprague) Gilg,Sierra Leone
Achariaceae,Lindackeria dentata,(Oliv.) Gilg,Sierra Leone
Achariaceae,Scottellia klaineana,Pierre,Sierra Leone
Achariaceae,Scottellia leonensis,Oliv.,Sierra Leone
Anacardiaceae,Antrocaryon micraster,A.Chev. & Guillaumin,Sierra Leone
Anacardiaceae,Fegimanra acuminatissima,Keay,Sierra Leone
Anacardiaceae,Fegimanra afzelii,Engl.,Sierra Leone
Anacardiaceae,Lannea barteri,(Oliv.) Engl.,Sierra Leone
Anacardiaceae,Lannea nigritana,(Scott Elliot) Keay,Sierra Leone
Anacardiaceae,Pseudospondias microcarpa,(A.Rich.) Engl.,Sierra Leone
Anacardiaceae,Searsia longipes,(Engl.) Moffett,Sierra Leone
Anacardiaceae,Sorindeia grandifolia,Engl.,Sierra Leone
Anacardiaceae,Sorindeia juglandifolia,(A.Rich.) Planch. ex Oliv.,Sierra Leone
Anacardiaceae,Trichoscypha arborea,(A.Chev.) A.Chev.,Sierra Leone
Anacardiaceae,Trichoscypha baldwinii,Keay,Sierra Leone
Anacardiaceae,Trichoscypha longifolia,(Hook.f.) Engl.,Sierra Leone
Anacardiaceae,Trichoscypha smythei,Hutch. & Dalziel,Sierra Leone
Anisophylleaceae,Anisophyllea laurina,R.Br. ex Sabine,Sierra Leone
Anisophylleaceae,Anisophyllea meniaudii,Aubrév. & Pellegr.,Sierra Leone
Annonaceae,Annickia polycarpa,(DC.) Setten & Maas ex I.M.Turner,Sierra Leone
Annonaceae,Annona glabra,L.,Sierra Leone
Annonaceae,Annona senegalensis,Pers.,Sierra Leone
Annonaceae,Cleistopholis patens,(Benth.) Engl. & Diels,Sierra Leone
Annonaceae,Duguetia staudtii,(Engl. & Diels) Chatrou,Sierra Leone
Annonaceae,Greenwayodendron oliveri,(Engl.) Verdc.,Sierra Leone
Annonaceae,Hexalobus crispiflorus,A.Rich.,Sierra Leone
Annonaceae,Isolona campanulata,Engl. & Diels,Sierra Leone
Annonaceae,Isolona deightonii,Keay,Sierra Leone
Annonaceae,Mischogyne elliotiana,(Engl. & Diels) R.E.Fr. ex Le Thomas,Sierra Leone
Annonaceae,Monodora crispata,Engl.,Sierra Leone
Annonaceae,Monodora myristica,(Gaertn.) Dunal,Sierra Leone
Annonaceae,Monodora tenuifolia,Benth.,Sierra Leone
Annonaceae,Monodora undulata,(P.Beauv.) Couvreur,Sierra Leone
Annonaceae,Neostenanthera hamata,(Benth.) Exell,Sierra Leone
Annonaceae,Uvaria afzelii,Scott Elliot,Sierra Leone
Annonaceae,Uvaria angolensis,Welw. ex Oliv.,Sierra Leone
Annonaceae,Uvaria sofa,Scott Elliot,Sierra Leone
Annonaceae,Uvariastrum pierreanum,Engl.,Sierra Leone
Annonaceae,Uvariopsis guineensis,Keay,Sierra Leone
Annonaceae,Uvariopsis tripetala,(Baker f.) G.E.Schatz,Sierra Leone
Annonaceae,Xylopia acutiflora,(Dunal) A.Rich.,Sierra Leone
Annonaceae,Xylopia aethiopica,(Dunal) A.Rich.,Sierra Leone
Annonaceae,Xylopia elliotii,Pierre ex Engl. & Diels,Sierra Leone
Annonaceae,Xylopia longipetala,De Wild. & T.Durand,Sierra Leone
Annonaceae,Xylopia quintasii,Pierre ex Engl. & Diels,Sierra Leone
Annonaceae,Xylopia staudtii,Engl. & Diels,Sierra Leone
Annonaceae,Xylopia villosa,Chipp,Sierra Leone
Apiaceae,Steganotaenia araliacea,Hochst.,Sierra Leone
Apocynaceae,Alstonia boonei,De Wild.,Sierra Leone
Apocynaceae,Calotropis procera,(Aiton) W.T.Aiton,Sierra Leone
Apocynaceae,Funtumia africana,(Benth.) Stapf,Sierra Leone
Apocynaceae,Funtumia elastica,(Preuss) Stapf,Sierra Leone
Apocynaceae,Holarrhena floribunda,(G.Don) T.Durand & Schinz,Sierra Leone
Apocynaceae,Hunteria simii,(Stapf) H.Huber,Sierra Leone
