family,taxon,author,native to
Acanthaceae,Avicennia alba,Blume,Singapore
Acanthaceae,Avicennia marina,(Forssk.) Vierh.,Singapore
Acanthaceae,Avicennia officinalis,L.,Singapore
Achariaceae,Ryparosa hullettii,King,Singapore
Achariaceae,Ryparosa scortechinii,King,Singapore
Anacardiaceae,Bouea macrophylla,Griff.,Singapore
Anacardiaceae,Bouea oppositifolia,(Roxb.) Meisn.,Singapore
Anacardiaceae,Buchanania lanzan,Spreng.,Singapore
Anacardiaceae,Buchanania sessifolia,Blume,Singapore
Anacardiaceae,Campnosperma squamatum,Ridl.,Singapore
Anacardiaceae,Dracontomelon dao,(Blanco) Merr. & Rolfe,Singapore
Anacardiaceae,Gluta wallichii,(Hook.f.) Ding Hou,Singapore
Anacardiaceae,Mangifera caesia,Jack,Singapore
Anacardiaceae,Mangifera foetida,Lour.,Singapore
Anacardiaceae,Mangifera lagenifera,Griff.,Singapore
Anacardiaceae,Mangifera laurina,Blume,Singapore
Anacardiaceae,Mangifera macrocarpa,Blume,Singapore
Anacardiaceae,Mangifera magnifica,Kochummen,Singapore
Anacardiaceae,Mangifera pajang,Kosterm.,Singapore
Anacardiaceae,Mangifera paludosa,Kosterm. ex S.K.Ganesan,Singapore
Anacardiaceae,Mangifera parvifolia,Boerl. & Koord.,Singapore
Anacardiaceae,Mangifera pentandra,Hook.f.,Singapore
Anacardiaceae,Mangifera quadrifida,Jack,Singapore
Anacardiaceae,Mangifera subsessilifolia,Kosterm.,Singapore
Anacardiaceae,Melanochyla angustifolia,Hook.f.,Singapore
Anacardiaceae,Melanochyla auriculata,Hook.f.,Singapore
Anacardiaceae,Melanochyla bracteata,King,Singapore
Anacardiaceae,Melanochyla caesia,(Blume) Ding Hou,Singapore
Anacardiaceae,Parishia insignis,Hook.f.,Singapore
Anacardiaceae,Parishia maingayi,Hook.f.,Singapore
Anacardiaceae,Pentaspadon velutinus,Hook.f.,Singapore
Anacardiaceae,Rhus chinensis,Mill.,Singapore
Anacardiaceae,Semecarpus curtisii,King,Singapore
Anacardiaceae,Swintonia schwenckii,Teijsm. & Binn. ex Hook.f.,Singapore
Anisophylleaceae,Anisophyllea disticha,(Jack) Baill.,Singapore
Anisophylleaceae,Anisophyllea griffithii,Oliv.,Singapore
Anisophylleaceae,Anisophyllea scortechinii,King,Singapore
Annonaceae,Cyathocalyx sumatranus,Scheff.,Singapore
Annonaceae,Dendrokingstonia nervosa,(Hook.f. & Thomson) Rauschert,Singapore
Annonaceae,Goniothalamus malayanus,Hook.f. & Thomson,Singapore
Annonaceae,Goniothalamus ridleyi,King,Singapore
Annonaceae,Goniothalamus tapis,Miq.,Singapore
Annonaceae,Maasia glauca,"(Hassk.) Mols, Kessler & Rogstad",Singapore
Annonaceae,Mezzettia parviflora,Becc.,Singapore
Annonaceae,Monoon sclerophyllum,(Hook.f. & Thomson) B.Xue & R.M.K.Saunders,Singapore
Annonaceae,Orophea hastata,King,Singapore
Annonaceae,Polyalthia angustissima,Ridl.,Singapore
Annonaceae,Popowia fusca,King,Singapore
Annonaceae,Popowia tomentosa,Maingay ex Hook.f. & Thomson,Singapore
Annonaceae,Xylopia magna,Maingay ex Hook.f.,Singapore
Apocynaceae,Alstonia angustiloba,Miq.,Singapore
Apocynaceae,Alstonia spatulata,Blume,Singapore
Apocynaceae,Cerbera manghas,L.,Singapore
Apocynaceae,Cerbera odollam,Gaertn.,Singapore
Apocynaceae,Dyera costulata,(Miq.) Hook.f.,Singapore
Apocynaceae,Kopsia macrophylla,Hook.f.,Singapore
Apocynaceae,Kopsia singapurensis,Ridl.,Singapore
Apocynaceae,Ochrosia oppositifolia,(Lam.) K.Schum.,Singapore
Apocynaceae,Tabernaemontana corymbosa,Roxb. ex Wall.,Singapore
Apocynaceae,Tabernaemontana pauciflora,Blume,Singapore
Apocynaceae,Wrightia dubia,(Sims) Spreng.,Singapore
Apocynaceae,Wrightia laevis,Hook.f.,Singapore
Aquifoliaceae,Ilex cymosa,Blume,Singapore
Aquifoliaceae,Ilex macrophylla,Wall.,Singapore
Aquifoliaceae,Ilex nervulosa,(Loes.) S.Andrews,Singapore
Araliaceae,Heptapleurum cephalotes,C.B.Clarke,Singapore
Araliaceae,Heptapleurum hullettii,King,Singapore
Araliaceae,Heptapleurum ridleyi,King,Singapore
Araliaceae,Trevesia burckii,Boerl.,Singapore
Arecaceae,Arenga pinnata,(Wurmb) Merr.,Singapore
Arecaceae,Caryota mitis,Lour.,Singapore
Arecaceae,Cyrtostachys renda,Blume,Singapore
Arecaceae,Licuala peltata,Roxb. ex Buch.-Ham.,Singapore
Arecaceae,Licuala spinosa,Wurmb,Singapore
Arecaceae,Nenga pumila,(Blume) H.Wendl.,Singapore
Arecaceae,Nypa fruticans,Wurmb,Singapore
Arecaceae,Oncosperma horridum,(Griff.) Scheff.,Singapore
Arecaceae,Pholidocarpus kingianus,(Becc.) Ridl.,Singapore
Arecaceae,Pinanga johorensis,C.K.Lim & Saw,Singapore
Arecaceae,Pinanga malaiana,(Mart.) Scheff.,Singapore
Arecaceae,Pinanga singaporensis,Ridl.,Singapore
Arecaceae,Rhopaloblaste singaporensis,(Becc.) Hook.f.,Singapore
Asparagaceae,Dracaena elliptica,Thunb. & Dalm.,Singapore
Asparagaceae,Dracaena granulata,Hook.f.,Singapore
Asteraceae,Strobocalyx arborea,(Buch.-Ham.) Sch.Bip.,Singapore
Bignoniaceae,Deplanchea bancana,(Scheff.) Steenis,Singapore
Bignoniaceae,Dolichandrone spathacea,(L.f.) Seem.,Singapore
Bignoniaceae,Fernandoa adenophylla,(Wall. ex G.Don) Steenis,Singapore
Bignoniaceae,Pajanelia longifolia,(Willd.) K.Schum.,Singapore
Bonnetiaceae,Ploiarium alternifolium,(Vahl) Melch.,Singapore
Boraginaceae,Cordia dichotoma,G.Forst.,Singapore
Boraginaceae,Cordia subcordata,Lam.,Singapore
Burseraceae,Canarium littorale,Blume,Singapore
Burseraceae,Canarium patentinervium,Miq.,Singapore
Burseraceae,Canarium pilosum,A.W.Benn.,Singapore
Burseraceae,Dacryodes costata,(A.W.Benn.) H.J.Lam,Singapore
Burseraceae,Dacryodes laxa,(A.W.Benn.) H.J.Lam,Singapore
Burseraceae,Dacryodes rostrata,(Blume) H.J.Lam,Singapore
Burseraceae,Santiria griffithii,(Hook.f.) Engl.,Singapore
Burseraceae,Santiria laevigata,Blume,Singapore
Burseraceae,Santiria rubiginosa,Blume,Singapore
Burseraceae,Santiria tomentosa,Blume,Singapore
Calophyllaceae,Calophyllum biflorum,M.R.Hend. & Wyatt-Sm.,Singapore
Calophyllaceae,Calophyllum costulatum,M.R.Hend. & Wyatt-Sm.,Singapore
Calophyllaceae,Calophyllum dispar,P.F.Stevens,Singapore
Calophyllaceae,Calophyllum ferrugineum,Ridl.,Singapore
Calophyllaceae,Calophyllum inophyllum,L.,Singapore
Calophyllaceae,Calophyllum lanigerum,Miq.,Singapore
Calophyllaceae,Calophyllum macrocarpum,Hook.f.,Singapore
Calophyllaceae,Calophyllum pulcherrimum,Wall. ex Choisy,Singapore
Calophyllaceae,Calophyllum rigidum,Miq.,Singapore
Calophyllaceae,Calophyllum rubiginosum,M.R.Hend. & Wyatt-Sm.,Singapore
Calophyllaceae,Calophyllum rufigemmatum,Hend. & Wyatt-Sm. ex P.F.Stevens,Singapore
Calophyllaceae,Calophyllum soulattri,Burm.f.,Singapore
Calophyllaceae,Calophyllum sundaicum,P.F.Stevens,Singapore
Calophyllaceae,Calophyllum tetrapterum,Miq.,Singapore
Calophyllaceae,Calophyllum teysmannii,Miq.,Singapore
Calophyllaceae,Calophyllum wallichianum,Planch. & Triana,Singapore
Calophyllaceae,Kayea elegans,King,Singapore
Calophyllaceae,Kayea ferruginea,Pierre,Singapore
Calophyllaceae,Kayea racemosa,Planch. & Triana,Singapore
Cannabaceae,Gironniera hirta,Ridl.,Singapore
Cannabaceae,Gironniera nervosa,Planch.,Singapore
Capparaceae,Capparis micracantha,DC.,Singapore
Celastraceae,Elaeodendron viburnifolium,(Juss.) Merr.,Singapore
Celastraceae,Lophopetalum wightianum,Arn.,Singapore
Centroplacaceae,Bhesa paniculata,Arn.,Singapore
Centroplacaceae,Bhesa robusta,(Roxb.) Ding Hou,Singapore
Chrysobalanaceae,Maranthes corymbosa,Blume,Singapore
Chrysobalanaceae,Parinari costata,(Korth.) Blume,Singapore
Clusiaceae,Garcinia atroviridis,Griff. ex T.Anderson,Singapore
Clusiaceae,Garcinia bancana,Miq.,Singapore
Clusiaceae,Garcinia brevirostris,Scheff.,Singapore
Clusiaceae,Garcinia nervosa,Miq.,Singapore
Clusiaceae,Garcinia nigrolineata,Planch. ex T.Anderson,Singapore
Clusiaceae,Garcinia parvifolia,(Miq.) Miq.,Singapore
Clusiaceae,Garcinia pyrifera,Ridl.,Singapore
Clusiaceae,Garcinia rostrata,(Hassk.) Miq.,Singapore
Clusiaceae,Garcinia scortechinii,King,Singapore
Combretaceae,Lumnitzera littorea,(Jack) Voigt,Singapore
Combretaceae,Lumnitzera racemosa,Willd.,Singapore
Combretaceae,Terminalia catappa,L.,Singapore
Combretaceae,Terminalia phellocarpa,King,Singapore
Combretaceae,Terminalia subspathulata,King,Singapore
Connaraceae,Agelaea borneensis,(Hook.f.) Merr.,Singapore
Connaraceae,Agelaea macrophylla,(Zoll.) Leenh.,Singapore
Connaraceae,Connarus grandis,Jack,Singapore
Connaraceae,Connarus semidecandrus,Jack,Singapore
Connaraceae,Ellipanthus tomentosus,Kurz,Singapore
Cornaceae,Alangium denudatum,(Bloemb.) W.J.de Wilde & Duyfjes,Singapore
Cornaceae,Alangium meyeri,Merr.,Singapore
Cornaceae,Alangium nobile,(C.B.Clarke) Harms,Singapore
Cornaceae,Alangium ridleyi,King,Singapore
Cornaceae,Alangium salviifolium,(L.f.) Wangerin,Singapore
Ctenolophonaceae,Ctenolophon parvifolius,Oliv.,Singapore
Dichapetalaceae,Dichapetalum sordidum,(Hook.f.) Leenh.,Singapore
Dilleniaceae,Dillenia excelsa,(Jack) Martelli ex Gilg.,Singapore
Dilleniaceae,Dillenia grandifolia,Wall. ex Hook.f. & Thomson,Singapore
Dilleniaceae,Dillenia pulchella,(Jack) Gilg,Singapore
Dipterocarpaceae,Anisoptera laevis,Ridl.,Singapore
Dipterocarpaceae,Anisoptera marginata,Korth.,Singapore
Dipterocarpaceae,Anisoptera megistocarpa,Slooten,Singapore
Dipterocarpaceae,Cotylelobium lanceolatum,Craib,Singapore
Dipterocarpaceae,Dipterocarpus chartaceus,Symington,Singapore
Dipterocarpaceae,Dipterocarpus condorensis,Pierre,Singapore
Dipterocarpaceae,Dipterocarpus cornutus,Dyer,Singapore
Dipterocarpaceae,Dipterocarpus elongatus,Korth.,Singapore
Dipterocarpaceae,Dipterocarpus grandiflorus,(Blanco) Blanco,Singapore
Dipterocarpaceae,Dipterocarpus kerrii,King,Singapore
Dipterocarpaceae,Dipterocarpus kunstleri,King,Singapore
Dipterocarpaceae,Dipterocarpus palembanicus,Slooten,Singapore
Dipterocarpaceae,Dipterocarpus sublamellatus,Foxw.,Singapore
Dipterocarpaceae,Dipterocarpus tempehes,Slooten,Singapore
Dipterocarpaceae,Hopea ferruginea,Parijs,Singapore
Dipterocarpaceae,Hopea griffithii,Kurz,Singapore
Dipterocarpaceae,Hopea mengarawan,Miq.,Singapore
Dipterocarpaceae,Hopea sangal,Korth.,Singapore
Dipterocarpaceae,Neobalanocarpus heimii,(King) P.S.Ashton,Singapore
Dipterocarpaceae,Shorea bracteolata,Dyer,Singapore
Dipterocarpaceae,Shorea curtisii,Dyer ex King,Singapore
Dipterocarpaceae,Shorea gibbosa,Brandis,Singapore
Dipterocarpaceae,Shorea gratissima,(Wall. ex Kurz) Dyer,Singapore
Dipterocarpaceae,Shorea johorensis,Foxw.,Singapore
Dipterocarpaceae,Shorea leprosula,Miq.,Singapore
Dipterocarpaceae,Shorea macroptera,Dyer,Singapore
Dipterocarpaceae,Shorea ochrophloia,Symington,Singapore
Dipterocarpaceae,Shorea ovalis,Blume,Singapore
Dipterocarpaceae,Shorea parvifolia,Dyer,Singapore
Dipterocarpaceae,Shorea pauciflora,King,Singapore
Dipterocarpaceae,Shorea platycarpa,F.Heim,Singapore
Dipterocarpaceae,Shorea sumatrana,(Slooten) Desch,Singapore
Dipterocarpaceae,Vatica maingayi,Dyer,Singapore
Dipterocarpaceae,Vatica odorata,(Griff.) Symington,Singapore
Dipterocarpaceae,Vatica pauciflora,Blume,Singapore
Dipterocarpaceae,Vatica ridleyana,Brandis,Singapore
Ebenaceae,Diospyros adenophora,Bakh.,Singapore
Ebenaceae,Diospyros apiculata,Hiern,Singapore
Ebenaceae,Diospyros areolata,King & Gamble,Singapore
Ebenaceae,Diospyros argentea,Griff.,Singapore
Ebenaceae,Diospyros bibracteata,Bakh.,Singapore
Ebenaceae,Diospyros blumutensis,Ng,Singapore
Ebenaceae,Diospyros buxifolia,(Blume) Hiern,Singapore
Ebenaceae,Diospyros coriacea,Hiern,Singapore
Ebenaceae,Diospyros daemona,Bakh.,Singapore
Ebenaceae,Diospyros lanceifolia,Roxb.,Singapore
Ebenaceae,Diospyros latisepala,Ridl.,Singapore
Ebenaceae,Diospyros penangiana,King & Gamble,Singapore
Ebenaceae,Diospyros pyrrhocarpa,Miq.,Singapore
Ebenaceae,Diospyros siamang,Bakh.,Singapore
Ebenaceae,Diospyros singaporensis,Bakh.,Singapore
Ebenaceae,Diospyros subrhomboidea,King & Gamble,Singapore
Ebenaceae,Diospyros sumatrana,Miq.,Singapore
Ebenaceae,Diospyros transitoria,Bakh.,Singapore
Ebenaceae,Diospyros venosa,Wall. ex A.DC.,Singapore
Elaeocarpaceae,Elaeocarpus acmosepalus,Stapf ex Ridl.,Singapore
Elaeocarpaceae,Elaeocarpus ferrugineus,(Jack) Steud.,Singapore
Elaeocarpaceae,Elaeocarpus floribundus,Blume,Singapore
Elaeocarpaceae,Elaeocarpus griffithii,(Wight) A.Gray,Singapore
Elaeocarpaceae,Elaeocarpus macrocerus,(Turcz.) Merr.,Singapore
Elaeocarpaceae,Elaeocarpus mastersii,King,Singapore
Elaeocarpaceae,Elaeocarpus nitidus,Jack,Singapore
Elaeocarpaceae,Elaeocarpus palembanicus,(Miq.) Corner,Singapore
Elaeocarpaceae,Elaeocarpus pedunculatus,Wall. ex Mast.,Singapore
Elaeocarpaceae,Elaeocarpus polystachyus,Wall. ex Müll.Berol.,Singapore
Elaeocarpaceae,Elaeocarpus rugosus,Roxb. ex G.Don,Singapore
Elaeocarpaceae,Elaeocarpus stipularis,Blume,Singapore
Escalloniaceae,Polyosma fragrans,Benn.,Singapore
Escalloniaceae,Polyosma kingiana,Schltr.,Singapore
