family,taxon,author,native to
Acanthaceae,Avicennia germinans,(L.) L.,Sint Maarten (Dutch part)
Cactaceae,Cereus repandus,(L.) Mill.,Sint Maarten (Dutch part)
Cactaceae,Consolea rubescens,(Salm-Dyck ex DC.) Lem.,Sint Maarten (Dutch part)
Cactaceae,Pilosocereus lanuginosus,(L.) Byles & G.D.Rowley,Sint Maarten (Dutch part)
Cactaceae,Stenocereus griseus,(Haw.) Buxb.,Sint Maarten (Dutch part)
Combretaceae,Conocarpus erectus,L.,Sint Maarten (Dutch part)
Combretaceae,Laguncularia racemosa,(L.) C.F.Gaertn.,Sint Maarten (Dutch part)
Euphorbiaceae,Adelia ricinella,L.,Sint Maarten (Dutch part)
Euphorbiaceae,Manihot carthagenensis,(Jacq.) Müll.Arg.,Sint Maarten (Dutch part)
Fabaceae,Hymenaea courbaril,L.,Sint Maarten (Dutch part)
Fabaceae,Pithecellobium unguis-cati,(L.) Mart.,Sint Maarten (Dutch part)
Fabaceae,Swartzia simplex,(Sw.) Spreng.,Sint Maarten (Dutch part)
Lauraceae,Nectandra krugii,Mez,Sint Maarten (Dutch part)
Primulaceae,Jacquinia armillaris,Jacq.,Sint Maarten (Dutch part)
Rhizophoraceae,Rhizophora mangle,L.,Sint Maarten (Dutch part)
Rubiaceae,Ernodea littoralis,Sw.,Sint Maarten (Dutch part)
Salicaceae,Casearia dodecandra,(Jacq.) T.Samar. & M.H.Alford,Sint Maarten (Dutch part)
Sapindaceae,Hypelate trifoliata,Sw.,Sint Maarten (Dutch part)
Zygophyllaceae,Guaiacum officinale,L.,Sint Maarten (Dutch part)
