family,taxon,author,native to
Anacardiaceae,Cotinus coggygria,Scop.,Slovakia
Betulaceae,Alnus alnobetula,(Ehrh.) K.Koch,Slovakia
Betulaceae,Alnus glutinosa,(L.) Gaertn.,Slovakia
Betulaceae,Alnus incana,(L.) Moench,Slovakia
Betulaceae,Betula pendula,Roth,Slovakia
Betulaceae,Carpinus betulus,L.,Slovakia
Betulaceae,Corylus avellana,L.,Slovakia
Celastraceae,Euonymus europaeus,L.,Slovakia
Elaeagnaceae,Hippophae rhamnoides,L.,Slovakia
Fabaceae,Laburnum anagyroides,Medik.,Slovakia
Fagaceae,Quercus frainetto,Ten.,Slovakia
Fagaceae,Quercus petraea,(Matt.) Liebl.,Slovakia
Fagaceae,Quercus pubescens,Willd.,Slovakia
Fagaceae,Quercus robur,L.,Slovakia
Malvaceae,Tilia cordata,Mill.,Slovakia
Malvaceae,Tilia platyphyllos,Scop.,Slovakia
Oleaceae,Fraxinus angustifolia,Vahl,Slovakia
Oleaceae,Fraxinus excelsior,L.,Slovakia
Oleaceae,Fraxinus ornus,L.,Slovakia
Pinaceae,Abies alba,Mill.,Slovakia
Pinaceae,Picea abies,(L.) H.Karst.,Slovakia
Pinaceae,Pinus mugo,Turra,Slovakia
Pinaceae,Pinus nigra,J.F.Arnold,Slovakia
Pinaceae,Pinus sylvestris,L.,Slovakia
Rhamnaceae,Frangula alnus,Mill.,Slovakia
Rhamnaceae,Rhamnus cathartica,L.,Slovakia
Rosaceae,Crataegus laevigata,(Poir.) DC.,Slovakia
Rosaceae,Crataegus monogyna,Jacq.,Slovakia
Rosaceae,Crataegus pentagyna,Waldst. & Kit. ex Willd.,Slovakia
Rosaceae,Crataegus rhipidophylla,Gand.,Slovakia
Rosaceae,Malus dasyphylla,Borkh.,Slovakia
Rosaceae,Malus sylvestris,(L.) Mill.,Slovakia
Rosaceae,Prunus avium,(L.) L.,Slovakia
Rosaceae,Prunus mahaleb,L.,Slovakia
Rosaceae,Prunus padus,L.,Slovakia
Rosaceae,Prunus spinosa,L.,Slovakia
Rosaceae,Pyrus communis,L.,Slovakia
Rosaceae,Pyrus nivalis,Jacq.,Slovakia
Rosaceae,Sorbus amici-petri,Mikoláš,Slovakia
Rosaceae,Sorbus aria,(L.) Crantz,Slovakia
Rosaceae,Sorbus aucuparia,L.,Slovakia
Rosaceae,Sorbus buekkensis,(Soó) Soó,Slovakia
Rosaceae,Sorbus danubialis,(Jáv.) Kárpáti,Slovakia
Rosaceae,Sorbus dolomiticola,Mikoláš.,Slovakia
Rosaceae,Sorbus domestica,L.        ,Slovakia
Rosaceae,Sorbus dominii,Kárpáti,Slovakia
Rosaceae,Sorbus futakiana,Kárpáti,Slovakia
Rosaceae,Sorbus graeca,(Lodd. ex Spach) Kotschy,Slovakia
Rosaceae,Sorbus hazslinszkyana,(Soó) Májovský,Slovakia
Rosaceae,Sorbus hornadensis,Mikoláš,Slovakia
Rosaceae,Sorbus hungarica,(Bornm.) Kárpáti,Slovakia
Rosaceae,Sorbus javorkana,"Somlyay, Sennikov & Vojtkó",Slovakia
Rosaceae,Sorbus joannis,Kárpáti,Slovakia
Rosaceae,Sorbus klasterskyana,Kárpáti,Slovakia
Rosaceae,Sorbus kmetiana,Kárpáti,Slovakia
Rosaceae,Sorbus magocsyana,Kárpáti,Slovakia
Rosaceae,Sorbus pekarovae,J.Májovský & D.Bernátová,Slovakia
Rosaceae,Sorbus scepusiensis,Kovanda,Slovakia
Rosaceae,Sorbus slovenica,Kovanda,Slovakia
Rosaceae,Sorbus subdanubialis,(Soó) Kárpáti,Slovakia
Rosaceae,Sorbus thaiszii,(Soó) Kárpáti,Slovakia
Rosaceae,Sorbus torminalis,Garsault,Slovakia
Rosaceae,Sorbus zertovae,Kárpáti,Slovakia
Salicaceae,Populus alba,L.,Slovakia
Salicaceae,Populus nigra,L.,Slovakia
Salicaceae,Populus tremula,L.,Slovakia
Salicaceae,Salix alba,L.,Slovakia
Salicaceae,Salix cinerea,L.,Slovakia
Salicaceae,Salix daphnoides,Vill.,Slovakia
Salicaceae,Salix eleagnos,Scop.,Slovakia
Salicaceae,Salix pentandra,L.,Slovakia
Salicaceae,Salix purpurea,L.,Slovakia
Salicaceae,Salix triandra,L.,Slovakia
Salicaceae,Salix viminalis,L.,Slovakia
Sapindaceae,Acer campestre,L.,Slovakia
Sapindaceae,Acer platanoides,L.,Slovakia
Sapindaceae,Acer pseudoplatanus,L.,Slovakia
Sapindaceae,Acer tataricum,L.,Slovakia
Staphyleaceae,Staphylea pinnata,L.,Slovakia
Taxaceae,Taxus baccata,L.,Slovakia
Ulmaceae,Ulmus laevis,Pall.,Slovakia
Ulmaceae,Ulmus minor,Mill.,Slovakia
Viburnaceae,Sambucus nigra,L.,Slovakia
Viburnaceae,Sambucus racemosa,L.,Slovakia
