family,taxon,author,native to
Anacardiaceae,Cotinus coggygria,Scop.,Slovenia
Anacardiaceae,Pistacia terebinthus,L.,Slovenia
Anacardiaceae,Rhus coriaria,L.,Slovenia
Aquifoliaceae,Ilex aquifolium,L.,Slovenia
Betulaceae,Alnus alnobetula,(Ehrh.) K.Koch,Slovenia
Betulaceae,Alnus glutinosa,(L.) Gaertn.,Slovenia
Betulaceae,Alnus incana,(L.) Moench,Slovenia
Betulaceae,Betula pendula,Roth,Slovenia
Betulaceae,Betula pubescens,Ehrh.,Slovenia
Betulaceae,Carpinus betulus,L.,Slovenia
Betulaceae,Carpinus orientalis,Mill.,Slovenia
Betulaceae,Corylus avellana,L.,Slovenia
Betulaceae,Corylus maxima,Mill.,Slovenia
Betulaceae,Ostrya carpinifolia,Scop.,Slovenia
Buxaceae,Buxus sempervirens,L.,Slovenia
Cannabaceae,Celtis australis,L.,Slovenia
Celastraceae,Euonymus europaeus,L.,Slovenia
Celastraceae,Euonymus latifolius,(L.) Mill.,Slovenia
Cornaceae,Cornus mas,L.,Slovenia
Cupressaceae,Juniperus deltoides,R.P.Adams,Slovenia
Ericaceae,Arbutus unedo,L.,Slovenia
Fabaceae,Cercis siliquastrum,L.,Slovenia
Fabaceae,Laburnum alpinum,(Mill.) Bercht. & J.Presl,Slovenia
Fabaceae,Laburnum anagyroides,Medik.,Slovenia
Fagaceae,Castanea sativa,Mill.,Slovenia
Fagaceae,Fagus sylvatica,L.,Slovenia
Fagaceae,Quercus cerris,L.,Slovenia
Fagaceae,Quercus ilex,L.,Slovenia
Fagaceae,Quercus petraea,(Matt.) Liebl.,Slovenia
Fagaceae,Quercus pubescens,Willd.,Slovenia
Fagaceae,Quercus robur,L.,Slovenia
Lamiaceae,Vitex agnus-castus,L.,Slovenia
Lauraceae,Laurus nobilis,L.,Slovenia
Malvaceae,Tilia cordata,Mill.,Slovenia
Malvaceae,Tilia platyphyllos,Scop.,Slovenia
Myrtaceae,Myrtus communis,L.,Slovenia
Oleaceae,Fraxinus angustifolia,Vahl,Slovenia
Oleaceae,Fraxinus excelsior,L.,Slovenia
Oleaceae,Fraxinus ornus,L.,Slovenia
Oleaceae,Olea europaea,L.,Slovenia
Oleaceae,Phillyrea latifolia,L.,Slovenia
Oleaceae,Syringa vulgaris,L.,Slovenia
Pinaceae,Abies alba,Mill.,Slovenia
Pinaceae,Larix decidua,Mill.,Slovenia
Pinaceae,Picea abies,(L.) H.Karst.,Slovenia
Pinaceae,Pinus mugo,Turra,Slovenia
Pinaceae,Pinus nigra,J.F.Arnold,Slovenia
Pinaceae,Pinus sylvestris,L.,Slovenia
Rhamnaceae,Frangula alnus,Mill.,Slovenia
Rhamnaceae,Rhamnus alaternus,L.,Slovenia
Rhamnaceae,Rhamnus alpina,L.,Slovenia
Rhamnaceae,Rhamnus cathartica,L.,Slovenia
Rosaceae,Crataegus laevigata,(Poir.) DC.,Slovenia
Rosaceae,Crataegus monogyna,Jacq.,Slovenia
Rosaceae,Crataegus rhipidophylla,Gand.,Slovenia
Rosaceae,Malus dasyphylla,Borkh.,Slovenia
Rosaceae,Malus sylvestris,(L.) Mill.,Slovenia
Rosaceae,Prunus avium,(L.) L.,Slovenia
Rosaceae,Prunus mahaleb,L.,Slovenia
Rosaceae,Prunus padus,L.,Slovenia
Rosaceae,Prunus spinosa,L.,Slovenia
Rosaceae,Pyrus communis,L.,Slovenia
Rosaceae,Pyrus nivalis,Jacq.,Slovenia
Rosaceae,Pyrus spinosa,Forssk.,Slovenia
Rosaceae,Sorbus aria,(L.) Crantz,Slovenia
Rosaceae,Sorbus aucuparia,L.,Slovenia
Rosaceae,Sorbus austriaca,(Beck) Hedl.,Slovenia
Rosaceae,Sorbus domestica,L.        ,Slovenia
Rosaceae,Sorbus graeca,(Lodd. ex Spach) Kotschy,Slovenia
Rosaceae,Sorbus torminalis,Garsault,Slovenia
Salicaceae,Populus alba,L.,Slovenia
Salicaceae,Populus nigra,L.,Slovenia
Salicaceae,Populus tremula,L.,Slovenia
Salicaceae,Salix alba,L.,Slovenia
Salicaceae,Salix appendiculata,Vill.,Slovenia
Salicaceae,Salix cinerea,L.,Slovenia
Salicaceae,Salix daphnoides,Vill.,Slovenia
Salicaceae,Salix eleagnos,Scop.,Slovenia
Salicaceae,Salix myrsinifolia,Salisb.,Slovenia
Salicaceae,Salix pentandra,L.,Slovenia
Salicaceae,Salix purpurea,L.,Slovenia
Salicaceae,Salix triandra,L.,Slovenia
Salicaceae,Salix viminalis,L.,Slovenia
Sapindaceae,Acer campestre,L.,Slovenia
Sapindaceae,Acer monspessulanum,L.,Slovenia
Sapindaceae,Acer opalus,Mill.,Slovenia
Sapindaceae,Acer platanoides,L.,Slovenia
Sapindaceae,Acer pseudoplatanus,L.,Slovenia
Sapindaceae,Acer tataricum,L.,Slovenia
Staphyleaceae,Staphylea pinnata,L.,Slovenia
Tamaricaceae,Tamarix parviflora,DC.,Slovenia
Taxaceae,Taxus baccata,L.,Slovenia
Ulmaceae,Ulmus glabra,Huds.,Slovenia
Ulmaceae,Ulmus laevis,Pall.,Slovenia
Ulmaceae,Ulmus minor,Mill.,Slovenia
Viburnaceae,Sambucus nigra,L.,Slovenia
Viburnaceae,Sambucus racemosa,L.,Slovenia
