family,taxon,author,native to
Acanthaceae,Avicennia alba,Blume,Solomon Islands
Acanthaceae,Avicennia marina,(Forssk.) Vierh.,Solomon Islands
Achariaceae,Erythrospermum candidum,(Becc.) Becc.,Solomon Islands
Achariaceae,Pangium edule,Reinw.,Solomon Islands
Actinidiaceae,Saurauia conferta,Warb.,Solomon Islands
Anacardiaceae,Buchanania amboinensis,Miq.,Solomon Islands
Anacardiaceae,Buchanania arborescens,(Blume) Blume,Solomon Islands
Anacardiaceae,Buchanania attenuata,A.C.Sm.,Solomon Islands
Anacardiaceae,Buchanania macrocarpa,Lauterb.,Solomon Islands
Anacardiaceae,Campnosperma brevipetiolatum,Volkens,Solomon Islands
Anacardiaceae,Dracontomelon dao,(Blanco) Merr. & Rolfe,Solomon Islands
Anacardiaceae,Dracontomelon vitiense,Engl.,Solomon Islands
Anacardiaceae,Mangifera altissima,Blanco,Solomon Islands
Anacardiaceae,Mangifera minor,Blume,Solomon Islands
Anacardiaceae,Pentaspadon motleyi,Hook.f.,Solomon Islands
Anacardiaceae,Pleiogynium timoriense,(DC.) Leenh.,Solomon Islands
Anacardiaceae,Rhus taitensis,Guill.,Solomon Islands
Anacardiaceae,Semecarpus australiensis,Engl.,Solomon Islands
Anacardiaceae,Semecarpus brachystachys,Merr. & L.M.Perry,Solomon Islands
Anacardiaceae,Semecarpus decipiens,Merr. & L.M.Perry,Solomon Islands
Anacardiaceae,Semecarpus forstenii,Blume,Solomon Islands
Anacardiaceae,Spondias dulcis,Parkinson,Solomon Islands
Annonaceae,Cananga odorata,(Lam.) Hook.f. & Thomson,Solomon Islands
Annonaceae,Drepananthus obtusifolius,(Becc. & Scheff.) Survesw. & R.M.K.Saunders,Solomon Islands
Annonaceae,Drepananthus petiolatus,(Diels) Survesw. & R.M.K.Saunders,Solomon Islands
Annonaceae,Goniothalamus aruensis,Scheff.,Solomon Islands
Annonaceae,Goniothalamus grandiflorus,(Warb.) Boerl.,Solomon Islands
Annonaceae,Huberantha asymmetrica,I.M.Turner & Utteridge,Solomon Islands
Annonaceae,Monoon salomonicum,I.M.Turner & Utteridge,Solomon Islands
Annonaceae,Polyalthia longirostris,(Scheff.) B.Xue & R.M.K.Saunders,Solomon Islands
Annonaceae,Xylopia peekelii,Diels,Solomon Islands
Apocynaceae,Allowoodsonia whitmorei,Markgr.,Solomon Islands
Apocynaceae,Alstonia costata,(G.Forst.) R.Br.,Solomon Islands
Apocynaceae,Alstonia scholaris,(L.) R.Br.,Solomon Islands
Apocynaceae,Alstonia spectabilis,R.Br.,Solomon Islands
Apocynaceae,Cerbera floribunda,K.Schum.,Solomon Islands
Apocynaceae,Cerbera manghas,L.,Solomon Islands
Apocynaceae,Kopsia flavida,Blume,Solomon Islands
Apocynaceae,Lepinia solomonensis,Hemsl.,Solomon Islands
Apocynaceae,Ochrosia ackeringae,(Teijsm. & Binn.) Miq.,Solomon Islands
Apocynaceae,Ochrosia coccinea,(Teijsm. & Binn.) Miq.,Solomon Islands
Apocynaceae,Ochrosia glomerata,(Blume) F.Muell.,Solomon Islands
Apocynaceae,Ochrosia oppositifolia,(Lam.) K.Schum.,Solomon Islands
Apocynaceae,Ochrosia sciadophylla,Markgr.,Solomon Islands
Apocynaceae,Ochrosia solomonensis,(Merr. & L.M.Perry) Fosberg & Boiteau,Solomon Islands
Apocynaceae,Tabernaemontana aurantiaca,Gaudich.,Solomon Islands
Apocynaceae,Tabernaemontana salomonensis,(Markgr.) Leeuwenb.,Solomon Islands
Aquifoliaceae,Ilex vitiensis,A.Gray,Solomon Islands
Araliaceae,Heptapleurum waterhousei,(Harms) G.M.Plunkett & Lowry,Solomon Islands
Araliaceae,Meryta neoebudica,(Guillaumin) Harms,Solomon Islands
Araliaceae,Osmoxylon arrhenicum,B.J.Conn & Frodin,Solomon Islands
Araliaceae,Osmoxylon chrysanthum,B.J.Conn & Frodin,Solomon Islands
Araliaceae,Osmoxylon confertiflorum,B.J.Conn & Frodin,Solomon Islands
Araliaceae,Osmoxylon corneri,B.J.Conn & Frodin,Solomon Islands
Araliaceae,Osmoxylon novoguineense,(Scheff.) Becc.,Solomon Islands
Araliaceae,Osmoxylon pseudofoliatum,B.J.Conn & Frodin,Solomon Islands
Araliaceae,Osmoxylon puniceopolleniferum,(B.C.Stone) B.C.Stone,Solomon Islands
Araliaceae,Osmoxylon reburrum,(B.C.Stone) B.C.Stone,Solomon Islands
Araliaceae,Osmoxylon spathipedunculatum,(Philipson) Philipson,Solomon Islands
Araliaceae,Osmoxylon striatifructum,B.J.Conn & Frodin,Solomon Islands
Araliaceae,Osmoxylon superantiflorum,B.J.Conn & Frodin,Solomon Islands
Araliaceae,Osmoxylon tetrandrum,(C.T.White) B.C.Stone,Solomon Islands
Araliaceae,Osmoxylon whitmorei,B.J.Conn & Frodin,Solomon Islands
Araliaceae,Plerandra brassii,Philipson,Solomon Islands
Araliaceae,Plerandra micrantha,Philipson,Solomon Islands
Araliaceae,Plerandra solomonensis,Philipson,Solomon Islands
Araliaceae,Plerandra stahliana,Warb.,Solomon Islands
Araliaceae,Polyscias cissodendron,(C.Moore & F.Muell.) Harms,Solomon Islands
Araliaceae,Polyscias guilfoylei,(W.Bull) L.H.Bailey,Solomon Islands
Araliaceae,Polyscias macgillivrayi,(Benth.) Harms,Solomon Islands
Araliaceae,Polyscias nodosa,(Blume) Seem.,Solomon Islands
Araliaceae,Polyscias scutellaria,(Burm.f.) Fosberg,Solomon Islands
Araliaceae,Polyscias serratifolia,(Miq.) Lowry & G.M.Plunkett,Solomon Islands
Araliaceae,Polyscias spectabilis,(Harms) Lowry & G.M.Plunkett,Solomon Islands
Araliaceae,Polyscias verticillata,B.C.Stone,Solomon Islands
Araucariaceae,Agathis macrophylla,(Lindl.) Mast.,Solomon Islands
Arecaceae,Actinorhytis calapparia,(Blume) H.Wendl. & Drude ex Scheff.,Solomon Islands
Arecaceae,Areca macrocalyx,Zipp. ex Blume,Solomon Islands
Arecaceae,Areca novohibernica,(Lauterb.) Becc.,Solomon Islands
Arecaceae,Caryota rumphiana,Mart.,Solomon Islands
Arecaceae,Clinostigma gronophyllum,H.E.Moore,Solomon Islands
Arecaceae,Clinostigma haerestigma,H.E.Moore,Solomon Islands
Arecaceae,Cocos nucifera,L.,Solomon Islands
