family,taxon,author,native to
Acanthaceae,Avicennia marina,(Forssk.) Vierh.,Somalia
Achariaceae,Rawsonia lucida,Harv. & Sond.,Somalia
Anacardiaceae,Lannea alata,(Engl.) Engl.,Somalia
Anacardiaceae,Lannea cotoneaster,(Chiov.) Sacleux,Somalia
Anacardiaceae,Lannea malifolia,Sacleux,Somalia
Anacardiaceae,Lannea obovata,(Hook.f. ex Oliv.) Engl.,Somalia
Anacardiaceae,Lannea schweinfurthii,Engl.,Somalia
Anacardiaceae,Lannea triphylla,(Hochst. ex A.Rich.) Engl.,Somalia
Anacardiaceae,Ozoroa insignis,Delile,Somalia
Anacardiaceae,Pistacia aethiopica,Kokwaro,Somalia
Anacardiaceae,Pistacia falcata,Becc. ex Martelli,Somalia
Anacardiaceae,Sclerocarya birrea,(A.Rich.) Hochst.,Somalia
Anacardiaceae,Searsia crenulata,(A.Rich.) Moffett,Somalia
Anacardiaceae,Searsia natalensis,(Bernh. ex C.Krauss) F.A.Barkley,Somalia
Anacardiaceae,Searsia retinorrhoea,(Steud. ex Oliv.) Moffett,Somalia
Anacardiaceae,Searsia somalensis,(Engl.) Moffett,Somalia
Annonaceae,Monanthotaxis fornicata,(Baill.) Verdc.,Somalia
Annonaceae,Monodora grandidieri,Baill.,Somalia
Annonaceae,Uvaria acuminata,Oliv.,Somalia
Annonaceae,Uvaria leptocladon,Oliv.,Somalia
Apiaceae,Steganotaenia araliacea,Hochst.,Somalia
Apiaceae,Steganotaenia commiphoroides,Thulin,Somalia
Apocynaceae,Acokanthera schimperi,(A.DC.) Schweinf.,Somalia
Apocynaceae,Adenium obesum,(Forssk.) Roem. & Schult.,Somalia
Apocynaceae,Calotropis procera,(Aiton) W.T.Aiton,Somalia
Apocynaceae,Carissa spinarum,L.,Somalia
Apocynaceae,Hunteria zeylanica,(Retz.) Gardner ex Thwaites,Somalia
Apocynaceae,Schizozygia coffaeoides,Baill.,Somalia
Apocynaceae,Tabernaemontana elegans,Stapf,Somalia
Apocynaceae,Wrightia demartiniana,Chiov.,Somalia
Araliaceae,Astropanax abyssinicus,(Hochst. ex A.Rich.) Seem.,Somalia
Araliaceae,Cussonia holstii,Harms ex Engl.,Somalia
Arecaceae,Hyphaene compressa,H.Wendl.,Somalia
Arecaceae,Hyphaene coriacea,Gaertn.,Somalia
Arecaceae,Hyphaene reptans,Becc.,Somalia
Arecaceae,Hyphaene thebaica,(L.) Mart.,Somalia
Arecaceae,Livistona carinensis,(Chiov.) J.Dransf. & N.W.Uhl,Somalia
Arecaceae,Phoenix reclinata,Jacq.,Somalia
Asparagaceae,Dracaena ellenbeckiana,Engl.,Somalia
Asparagaceae,Dracaena ombet,Heuglin ex Kotschy & Peyr.,Somalia
