family,taxon,author,native to
Acanthaceae,Anisotes pubinervius,(T.Anderson) Heine,South Africa
Acanthaceae,Avicennia marina,(Forssk.) Vierh.,South Africa
Acanthaceae,Justicia adhatodoides,(Nees) V.A.W.Graham,South Africa
Acanthaceae,Mackaya bella,Harv.,South Africa
Achariaceae,Kiggelaria africana,L.,South Africa
Achariaceae,Rawsonia lucida,Harv. & Sond.,South Africa
Achariaceae,Xylotheca kraussiana,Hochst.,South Africa
Amaranthaceae,Caroxylon arboreum,(C.A.Sm. ex Aellen) Mucina,South Africa
Anacardiaceae,Harpephyllum caffrum,Bernh.,South Africa
Anacardiaceae,Heeria argentea,Meisn.,South Africa
Anacardiaceae,Lannea discolor,(Sond.) Engl.,South Africa
Anacardiaceae,Lannea schweinfurthii,Engl.,South Africa
Anacardiaceae,Laurophyllus capensis,Thunb.,South Africa
Anacardiaceae,Loxostylis alata,Spreng. ex Rchb.,South Africa
Anacardiaceae,Ozoroa cinerea,(Engl.) R.Fern. & A.Fern.,South Africa
Anacardiaceae,Ozoroa concolor,(C.Presl ex Sond.) De Winter,South Africa
Anacardiaceae,Ozoroa crassinervia,(Engl.) R.Fern. & A.Fern.,South Africa
Anacardiaceae,Ozoroa dispar,(C.Presl) R.Fern. & A.Fern.,South Africa
Anacardiaceae,Ozoroa engleri,R.Fern. & A.Fern.,South Africa
Anacardiaceae,Ozoroa mucronata,(Bernh. ex Krauss) R.Fern. & A.Fern.,South Africa
Anacardiaceae,Ozoroa namaensis,(Schinz & Dinter) R.Fern.,South Africa
Anacardiaceae,Ozoroa namaquensis,(Sprague) Von Teichman & A.E.van Wyk,South Africa
Anacardiaceae,Ozoroa obovata,(Oliv.) R.Fern. & A.Fern.,South Africa
Anacardiaceae,Ozoroa paniculosa,(Sond.) R.Fern. & A.Fern.,South Africa
Anacardiaceae,Ozoroa sphaerocarpa,R.Fern. & A.Fern.,South Africa
Anacardiaceae,Protorhus longifolia,(Bernh.) Engl.,South Africa
Anacardiaceae,Sclerocarya birrea,(A.Rich.) Hochst.,South Africa
Anacardiaceae,Searsia angustifolia,(L.) F.A.Barkley,South Africa
Anacardiaceae,Searsia burchellii,(Sond. ex Engl.) Moffett,South Africa
Anacardiaceae,Searsia chirindensis,(Baker f.) Moffett,South Africa
Anacardiaceae,Searsia crenata,(Thunb.) Moffett,South Africa
Anacardiaceae,Searsia dentata,(Thunb.) F.A.Barkley,South Africa
Anacardiaceae,Searsia divaricata,(Eckl. & Zeyh.) Moffett,South Africa
Anacardiaceae,Searsia engleri,(Britten) Moffett,South Africa
Anacardiaceae,Searsia glauca,(Thunb.) Moffett,South Africa
Anacardiaceae,Searsia gueinzii,(Sond.) F.A.Barkley,South Africa
Anacardiaceae,Searsia incisa,(L.f.) F.A.Barkley,South Africa
Anacardiaceae,Searsia krebsiana,(C.Presl ex Engl.) Moffett,South Africa
Anacardiaceae,Searsia laevigata,(L.) F.A.Barkley,South Africa
Anacardiaceae,Searsia lancea,(L.f.) F.A.Barkley,South Africa
Anacardiaceae,Searsia leptodictya,"(Diels) T.S.Yi, A.J.Mill. & J.Wen",South Africa
Anacardiaceae,Searsia longispina,(Eckl. & Zeyh.) Moffett,South Africa
Anacardiaceae,Searsia lucida,(L.) F.A.Barkley,South Africa
Anacardiaceae,Searsia montana,(Diels) Moffett,South Africa
Anacardiaceae,Searsia natalensis,(Bernh. ex C.Krauss) F.A.Barkley,South Africa
Anacardiaceae,Searsia nebulosa,(Schönland) Moffett,South Africa
Anacardiaceae,Searsia pallens,(Eckl. & Zeyh.) Moffett,South Africa
Anacardiaceae,Searsia pendulina,(Jacq.) Moffett,South Africa
Anacardiaceae,Searsia pentheri,(Zahlbr.) Moffett,South Africa
Anacardiaceae,Searsia populifolia,(E.Mey. ex Sond.) Moffett,South Africa
Anacardiaceae,Searsia pyroides,(Burch.) Moffett,South Africa
Anacardiaceae,Searsia refracta,(Eckl. & Zeyh.) Moffett,South Africa
Anacardiaceae,Searsia rehmanniana,(Engl.) Moffett,South Africa
Anacardiaceae,Searsia rigida,(Mill.) F.A.Barkley,South Africa
Anacardiaceae,Searsia tomentosa,(L.) F.A. Barkley,South Africa
Anacardiaceae,Searsia transvaalensis,(Engl.) Moffett,South Africa
Anacardiaceae,Searsia tumulicola,(S.Moore) Moffett,South Africa
Anacardiaceae,Searsia undulata,"(Jacq.) T.S.Yi, A.J.Mill. & J.Wen",South Africa
Anacardiaceae,Smodingium argutum,E. Mey. ex Sond.,South Africa
Annonaceae,Annona senegalensis,Pers.,South Africa
Annonaceae,Artabotrys brachypetalus,Benth.,South Africa
