family,taxon,author,native to
Acanthaceae,Anisotes pubinervius,(T.Anderson) Heine,South Sudan
Achariaceae,Caloncoba crepiniana,(De Wild. & T.Durand) Gilg,South Sudan
Achariaceae,Lindackeria bukobensis,Gilg,South Sudan
Achariaceae,Scottellia orientalis,Gilg,South Sudan
Anacardiaceae,Haematostaphis barteri,Hook.f.,South Sudan
Anacardiaceae,Lannea barteri,(Oliv.) Engl.,South Sudan
Anacardiaceae,Lannea fruticosa,(Hochst. ex A.Rich.) Engl.,South Sudan
Anacardiaceae,Lannea humilis,(Oliv.) Engl.,South Sudan
Anacardiaceae,Lannea nigritana,(Scott Elliot) Keay,South Sudan
Anacardiaceae,Lannea schweinfurthii,Engl.,South Sudan
Anacardiaceae,Ozoroa insignis,Delile,South Sudan
Anacardiaceae,Sclerocarya birrea,(A.Rich.) Hochst.,South Sudan
Anacardiaceae,Searsia crenulata,(A.Rich.) Moffett,South Sudan
Anacardiaceae,Searsia longipes,(Engl.) Moffett,South Sudan
Anacardiaceae,Searsia natalensis,(Bernh. ex C.Krauss) F.A.Barkley,South Sudan
Anacardiaceae,Searsia pyroides,(Burch.) Moffett,South Sudan
Anacardiaceae,Sorindeia grandifolia,Engl.,South Sudan
Annonaceae,Annona senegalensis,Pers.,South Sudan
Annonaceae,Artabotrys monteiroae,Oliv.,South Sudan
Annonaceae,Cleistopholis patens,(Benth.) Engl. & Diels,South Sudan
Annonaceae,Hexalobus crispiflorus,A.Rich.,South Sudan
Annonaceae,Hexalobus monopetalus,(A.Rich.) Engl. & Diels,South Sudan
Annonaceae,Monanthotaxis buchananii,(Engl.) Verdc.,South Sudan
Annonaceae,Monanthotaxis ferruginea,(Oliv.) Verdc.,South Sudan
Annonaceae,Monodora angolensis,Welw.,South Sudan
Annonaceae,Monodora myristica,(Gaertn.) Dunal,South Sudan
Annonaceae,Uvaria angolensis,Welw. ex Oliv.,South Sudan
Annonaceae,Uvaria schweinfurthii,Engl. & Diels,South Sudan
Annonaceae,Xylopia acutiflora,(Dunal) A.Rich.,South Sudan
Annonaceae,Xylopia nilotica,D.M.Johnson & N.A.Murray,South Sudan
Annonaceae,Xylopia rubescens,Oliv.,South Sudan
Annonaceae,Xylopia thomsonii,Oliv.,South Sudan
Apiaceae,Steganotaenia araliacea,Hochst.,South Sudan
Apocynaceae,Adenium obesum,(Forssk.) Roem. & Schult.,South Sudan
Apocynaceae,Alstonia boonei,De Wild.,South Sudan
Apocynaceae,Calotropis procera,(Aiton) W.T.Aiton,South Sudan
Apocynaceae,Carissa spinarum,L.,South Sudan
Apocynaceae,Funtumia elastica,(Preuss) Stapf,South Sudan
Apocynaceae,Holarrhena floribunda,(G.Don) T.Durand & Schinz,South Sudan
