family,taxon,author,native to
Anacardiaceae,Pistacia atlantica,Desf.,Spain
Anacardiaceae,Pistacia lentiscus,L.,Spain
Anacardiaceae,Pistacia terebinthus,L.,Spain
Anacardiaceae,Rhus coriaria,L.,Spain
Apocynaceae,Calotropis procera,(Aiton) W.T.Aiton,Spain
Aquifoliaceae,Ilex aquifolium,L.,Spain
Aquifoliaceae,Ilex canariensis,Poir.,Spain
Aquifoliaceae,Ilex perado,Aiton,Spain
Arecaceae,Chamaerops humilis,L.,Spain
Arecaceae,Phoenix canariensis,H.Wildpret,Spain
Asparagaceae,Dracaena draco,(L.) L.,Spain
Asparagaceae,Dracaena tamaranae,"Marrero Rodr., R.S.Almeira & M.Gonzáles-Martin",Spain
Betulaceae,Alnus glutinosa,(L.) Gaertn.,Spain
Betulaceae,Alnus lusitanica,"Vít, Douda & Mandák",Spain
Betulaceae,Betula celtiberica,Rothm. & Vasc.,Spain
Betulaceae,Betula pendula,Roth,Spain
Betulaceae,Betula pubescens,Ehrh.,Spain
Betulaceae,Carpinus betulus,L.,Spain
Betulaceae,Corylus avellana,L.,Spain
Buxaceae,Buxus sempervirens,L.,Spain
Cannabaceae,Celtis australis,L.,Spain
Caprifoliaceae,Lonicera arborea,Boiss.,Spain
Celastraceae,Euonymus europaeus,L.,Spain
Celastraceae,Euonymus latifolius,(L.) Mill.,Spain
Celastraceae,Gymnosporia senegalensis,(Lam.) Loes.,Spain
Celastraceae,Maytenus canariensis,(Loes.) G.Kunkel & Sunding,Spain
Cupressaceae,Juniperus cedrus,Webb & Berthel.,Spain
Cupressaceae,Juniperus communis,L.,Spain
Cupressaceae,Juniperus oxycedrus,L.,Spain
Cupressaceae,Juniperus phoenicea,L.,Spain
Cupressaceae,Juniperus thurifera,L.,Spain
Cupressaceae,Juniperus turbinata,Guss.,Spain
Cupressaceae,Tetraclinis articulata,(Vahl) Mast.,Spain
Elaeagnaceae,Hippophae rhamnoides,L.,Spain
Ericaceae,Arbutus canariensis,Veill. ex Duhamel,Spain
Ericaceae,Arbutus unedo,L.,Spain
Ericaceae,Erica arborea,L.,Spain
Euphorbiaceae,Euphorbia dendroides,L.,Spain
