family,taxon,author,native to
Acanthaceae,Avicennia marina,(Forssk.) Vierh.,Sri Lanka
Acanthaceae,Avicennia officinalis,L.,Sri Lanka
Achariaceae,Chlorocarpa pentaschista,Alston,Sri Lanka
Achariaceae,Erythrospermum zeylanicum,(Gaertn.) Alston,Sri Lanka
Achariaceae,Hydnocarpus alpinus,Wight,Sri Lanka
Achariaceae,Hydnocarpus octandrus,Thwaites,Sri Lanka
Achariaceae,Hydnocarpus venenatus,Gaertn.,Sri Lanka
Achariaceae,Trichadenia zeylanica,Thwaites,Sri Lanka
Actinidiaceae,Saurauia roxburghii,Wall.,Sri Lanka
Anacardiaceae,Buchanania axillaris,(Desr.) Ramamoorthy,Sri Lanka
Anacardiaceae,Campnosperma zeylanica,Thwaites,Sri Lanka
Anacardiaceae,Lannea coromandelica,(Houtt.) Merr.,Sri Lanka
Anacardiaceae,Mangifera pseudoindica,Kosterm.,Sri Lanka
Anacardiaceae,Mangifera zeylanica,Hook.f.,Sri Lanka
Anacardiaceae,Nothopegia beddomei,Gamble,Sri Lanka
Anacardiaceae,Nothopegia colebrookeana,(Wight) Blume,Sri Lanka
Anacardiaceae,Semecarpus acuminatus,Thwaites,Sri Lanka
Anacardiaceae,Semecarpus anacardium,L.f.,Sri Lanka
Anacardiaceae,Semecarpus coriaceus,Thwaites,Sri Lanka
Anacardiaceae,Semecarpus gardneri,Thwaites,Sri Lanka
Anacardiaceae,Semecarpus marginatus,Thwaites,Sri Lanka
Anacardiaceae,Semecarpus moonii,Thwaites,Sri Lanka
Anacardiaceae,Semecarpus nigroviridis,Thwaites,Sri Lanka
Anacardiaceae,Semecarpus obovatus,Moon ex Thwaites,Sri Lanka
Anacardiaceae,Semecarpus ochraceus,Alston,Sri Lanka
Anacardiaceae,Semecarpus parvifolius,Thwaites,Sri Lanka
Anacardiaceae,Semecarpus pseudoemarginatus,Kosterm.,Sri Lanka
Anacardiaceae,Semecarpus pubescens,Thwaites,Sri Lanka
Anacardiaceae,Semecarpus subpeltatus,Thwaites,Sri Lanka
Anacardiaceae,Semecarpus walkeri,Hook.f.,Sri Lanka
Anacardiaceae,Spondias xerophila,Kosterm.,Sri Lanka
Anisophylleaceae,Anisophyllea cinnamomoides,(Gardner & Champ.) Alston,Sri Lanka
Annonaceae,Alphonsea hortensis,H.Huber,Sri Lanka
Annonaceae,Alphonsea lutea,(Roxb.) Hook.f. & Thomson,Sri Lanka
Annonaceae,Alphonsea zeylanica,Hook.f. & Thomson,Sri Lanka
Annonaceae,Anaxagorea luzonensis,A.Gray,Sri Lanka
Annonaceae,Cyathocalyx zeylanicus,Champ. ex Hook.f. & Thomson,Sri Lanka
Annonaceae,Desmos elegans,(Thwaites) Saff.,Sri Lanka
Annonaceae,Desmos zeylanicus,(Hook.f. & Thomson) Saff.,Sri Lanka
Annonaceae,Goniothalamus gardneri,Hook.f. & Thomson,Sri Lanka
Annonaceae,Goniothalamus hookeri,Thwaites,Sri Lanka
Annonaceae,Goniothalamus salicinus,Hook.f. & Thomson,Sri Lanka
Annonaceae,Goniothalamus thomsonii,Thwaites,Sri Lanka
Annonaceae,Goniothalamus thwaitesii,Hook.f. & Thomson,Sri Lanka
Annonaceae,Huberantha korinti,(Dunal) Chaowasku,Sri Lanka
Annonaceae,Miliusa indica,Lesch. ex A.DC.,Sri Lanka
Annonaceae,Miliusa tomentosa,(Roxb.) Finet & Gagnep.,Sri Lanka
Annonaceae,Miliusa zeylanica,Gardner ex Hook.f. & Thomson,Sri Lanka
Annonaceae,Mitrephora heyneana,(Hook.f. & Thomson) Thwaites,Sri Lanka
Annonaceae,Monoon acuminatum,(Thwaites) B.Xue & R.M.K.Saunders,Sri Lanka
Annonaceae,Monoon coffeoides,(Thwaites ex Hook.f. & Thomson) B.Xue & R.M.K.Saunders,Sri Lanka
Annonaceae,Monoon longifolium,(Sonn.) B.Xue & R.M.K.Saunders,Sri Lanka
Annonaceae,Orophea polycarpa,A.DC.,Sri Lanka
Annonaceae,Phoenicanthus coriacea,(Thwaites) H.Huber,Sri Lanka
Annonaceae,Phoenicanthus obliquus,(Hook.f. & Thomson) Alston,Sri Lanka
Annonaceae,Polyalthia moonii,Thwaites,Sri Lanka
Annonaceae,Polyalthia persicifolia,(Hook.f. & Thomson) Bedd.,Sri Lanka
Annonaceae,Polyalthia suberosa,(Roxb.) Thwaites,Sri Lanka
Annonaceae,Sageraea thwaitesii,Hook.f. & Thomson,Sri Lanka
Annonaceae,Sageraea zeylanica,Heusden,Sri Lanka
Annonaceae,Xylopia championii,Hook.f. & Thomson,Sri Lanka
Annonaceae,Xylopia nigricans,Hook.f. & Thomson,Sri Lanka
Apocynaceae,Alstonia macrophylla,Wall. ex G.Don,Sri Lanka
Apocynaceae,Alstonia scholaris,(L.) R.Br.,Sri Lanka
Apocynaceae,Carissa spinarum,L.,Sri Lanka
Apocynaceae,Cerbera manghas,L.,Sri Lanka
Apocynaceae,Cerbera odollam,Gaertn.,Sri Lanka
Apocynaceae,Holarrhena mitis,(Vahl) R.Br. ex Roem. & Schult.,Sri Lanka
Apocynaceae,Hunteria zeylanica,(Retz.) Gardner ex Thwaites,Sri Lanka
Apocynaceae,Ochrosia oppositifolia,(Lam.) K.Schum.,Sri Lanka
Apocynaceae,Rauvolfia verticillata,(Lour.) Baill.,Sri Lanka
Apocynaceae,Tabernaemontana dichotoma,Roxb. ex Wall.,Sri Lanka
Apocynaceae,Tabernaemontana divaricata,(L.) R.Br. ex Roem. & Schult.,Sri Lanka
Apocynaceae,Willughbeia cirrhifera,Abeyw.,Sri Lanka
Apocynaceae,Wrightia angustifolia,Thwaites,Sri Lanka
Apocynaceae,Wrightia antidysenterica,(L.) R.Br.,Sri Lanka
Apocynaceae,Wrightia arborea,(Dennst.) Mabb.,Sri Lanka
Apocynaceae,Wrightia flavidorosea,Trimen,Sri Lanka
Apocynaceae,Wrightia puberula,(Thwaites) Ngan,Sri Lanka
Aquifoliaceae,Ilex knucklesensis,Philcox,Sri Lanka
Aquifoliaceae,Ilex walkeri,Wight & Gardner ex Thwaites,Sri Lanka
Aquifoliaceae,Ilex wightiana,Wall. ex Wight,Sri Lanka
Araliaceae,Aralia leschenaultii,(DC.) J.Wen,Sri Lanka
Araliaceae,Heptapleurum exaltatum,(Thwaites) Seem.,Sri Lanka
Araliaceae,Heptapleurum heterobotryum,(Frodin) Lowry & G.M.Plunkett,Sri Lanka
Araliaceae,Heptapleurum stellatum,Gaertn.,Sri Lanka
Araliaceae,Polyscias acuminata,(Wight) Seem.,Sri Lanka
Arecaceae,Areca concinna,Thwaites,Sri Lanka
Arecaceae,Borassus flabellifer,L.,Sri Lanka
Arecaceae,Caryota urens,L.,Sri Lanka
Arecaceae,Loxococcus rupicola,(Thwaites) H.Wendl. & Drude,Sri Lanka
Arecaceae,Nypa fruticans,Wurmb,Sri Lanka
Arecaceae,Oncosperma fasciculatum,Thwaites,Sri Lanka
Arecaceae,Phoenix pusilla,Gaertn.,Sri Lanka
Asteraceae,Senecio scandens,Buch.-Ham. ex D.Don,Sri Lanka
Asteraceae,Strobocalyx arborea,(Buch.-Ham.) Sch.Bip.,Sri Lanka
Bignoniaceae,Dolichandrone spathacea,(L.f.) Seem.,Sri Lanka
Bignoniaceae,Pajanelia longifolia,(Willd.) K.Schum.,Sri Lanka
Bignoniaceae,Pauldopia ghorta,(Buch.-Ham. ex G.Don) Steenis,Sri Lanka
Bignoniaceae,Stereospermum chelonoides,(L.f.) DC.,Sri Lanka
Bignoniaceae,Stereospermum colais,(Buch.-Ham. ex Dillwyn) Mabb.,Sri Lanka
Boraginaceae,Cordia dichotoma,G.Forst.,Sri Lanka
Boraginaceae,Cordia monoica,Roxb.,Sri Lanka
Boraginaceae,Cordia myxa,L.,Sri Lanka
Boraginaceae,Cordia sinensis,Lam.,Sri Lanka
Boraginaceae,Cordia subcordata,Lam.,Sri Lanka
Boraginaceae,Ehretia aspera,Willd.,Sri Lanka
Boraginaceae,Heliotropium arboreum,(Blanco) Mabb.,Sri Lanka
Burseraceae,Canarium zeylanicum,(Retz.) Blume,Sri Lanka
Burseraceae,Commiphora caudata,(Wight & Arn.) Engl,Sri Lanka
Burseraceae,Scutinanthe brunnea,Thwaites,Sri Lanka
Calophyllaceae,Calophyllum acidus,Kosterm.,Sri Lanka
Calophyllaceae,Calophyllum bracteatum,Thwaites,Sri Lanka
Calophyllaceae,Calophyllum calaba,L.,Sri Lanka
Calophyllaceae,Calophyllum cordato-oblongum,Thwaites,Sri Lanka
Calophyllaceae,Calophyllum cuneifolium,Thwaites,Sri Lanka
Calophyllaceae,Calophyllum inophyllum,L.,Sri Lanka
Calophyllaceae,Calophyllum lankaensis,Kosterm.,Sri Lanka
Calophyllaceae,Calophyllum moonii,Wight,Sri Lanka
Calophyllaceae,Calophyllum soulattri,Burm.f.,Sri Lanka
Calophyllaceae,Calophyllum thwaitesii,Planch. & Triana,Sri Lanka
Calophyllaceae,Calophyllum tomentosum,Wight,Sri Lanka
Calophyllaceae,Calophyllum trapezifolium,Thwaites,Sri Lanka
