family,taxon,author,native to
Amaranthaceae,Haloxylon persicum,Bunge,State of Palestine
Anacardiaceae,Pistacia atlantica,Desf.,State of Palestine
Anacardiaceae,Pistacia lentiscus,L.,State of Palestine
Anacardiaceae,Searsia pentaphylla,(Jacq.) F.A.Barkley,State of Palestine
Apocynaceae,Calotropis procera,(Aiton) W.T.Aiton,State of Palestine
Apocynaceae,Periploca aphylla,Decne.,State of Palestine
Boraginaceae,Cordia sinensis,Lam.,State of Palestine
Cannabaceae,Celtis australis,L.,State of Palestine
Capparaceae,Capparis decidua,(Forssk.) Edgew.,State of Palestine
Cupressaceae,Juniperus deltoides,R.P.Adams,State of Palestine
Cupressaceae,Juniperus oxycedrus,L.,State of Palestine
Cupressaceae,Juniperus turbinata,Guss.,State of Palestine
Ericaceae,Arbutus andrachne,L.,State of Palestine
Fabaceae,Acacia pachyceras,O.Schwartz,State of Palestine
Fabaceae,Ceratonia siliqua,L.,State of Palestine
Fabaceae,Cercis siliquastrum,L.,State of Palestine
Fabaceae,Faidherbia albida,(Delile) A.Chev.,State of Palestine
Fabaceae,Prosopis farcta,(Sol.) J.F.Macbr.,State of Palestine
Fabaceae,Senegalia laeta,(R.Br. ex Benth.) Seigler & Ebinger,State of Palestine
Fabaceae,Vachellia gerrardii,(Benth.) P.J.H.Hurter,State of Palestine
Fabaceae,Vachellia tortilis,(Forssk.) Galasso & Banfi,State of Palestine
Fagaceae,Quercus coccifera,L.,State of Palestine
Lamiaceae,Vitex agnus-castus,L.,State of Palestine
Malvaceae,Grewia villosa,Willd.,State of Palestine
Moraceae,Ficus carica,L.,State of Palestine
Moraceae,Ficus sycomorus,L.,State of Palestine
Moringaceae,Moringa peregrina,(Forssk.) Fiori,State of Palestine
Oleaceae,Fraxinus angustifolia,Vahl,State of Palestine
Oleaceae,Olea europaea,L.,State of Palestine
Oleaceae,Phillyrea latifolia,L.,State of Palestine
Platanaceae,Platanus orientalis,L.,State of Palestine
Rhamnaceae,Rhamnus alaternus,L.,State of Palestine
Rhamnaceae,Ziziphus nummularia,(Burm.f.) Wight & Arn.,State of Palestine
Rhamnaceae,Ziziphus spina-christi,(L.) Desf.,State of Palestine
Rosaceae,Prunus korshinskyi,Hand.-Mazz.,State of Palestine
Salicaceae,Salix acmophylla,Boiss.,State of Palestine
Tamaricaceae,Tamarix aphylla,(L.) H.Karst.,State of Palestine
Tamaricaceae,Tamarix jordanis,Boiss.,State of Palestine
Tamaricaceae,Tamarix nilotica,(Ehrenb.) Bunge,State of Palestine
Tamaricaceae,Tamarix palaestina,Bertol.,State of Palestine
Tamaricaceae,Tamarix tetragyna,Ehrenb.,State of Palestine
Zygophyllaceae,Balanites aegyptiaca,(L.) Delile,State of Palestine
